DateTime,AddedIPs,RemovedIPs
1582733731,14,11
1582737296,10,9
1582740866,10,8
1582744446,8,15
1582748083,10,8
1582751627,11,9
1582756772,11,16
1582758828,12,8
1582762535,26,8
1582766053,12,14
1582769684,14,8
1582773314,9,33
1582776935,12,19
1582780464,12,20
1582784067,19,8
1582787685,12,7
1582791313,14,10
1582794865,7,9
1582798469,11,12
1582802027,6,14
1582805719,14,14
1582809328,12,12
1582812945,15,10
1582816540,7,8
1582820099,10,24
1582823691,17,9
1582828786,13,17
1582830870,14,14
1582834452,19,8
1582838029,10,13
1582841681,10,11
1582845244,10,10
1582848876,11,8
1582852491,33,10
1582856102,4,21
1582859741,12,17
1582863266,9,36
1582866890,5,5
1582870509,15,8
1582874060,9,8
1582877699,6,4
1582881305,3,5
1582884875,5,10
1582888509,5,10
1582892576,4,3
1582895750,9,3
1582899275,8,7
1582903000,8,3
1582906458,9,6
1582910162,6,9
1582913675,3,10
1582917268,4,9
1582920838,4,1
1582924471,6,11
1582928020,2,6
1582931653,10,10
1582935332,26,9
1582938843,9,3
1582942445,9,5
1582946079,8,23
1582949679,8,6
1582953299,2,8
1582956874,6,14
1582961172,4,6
1582964085,14,7
1582967716,5,4
1582971289,3,6
1582974890,10,4
1582978481,6,11
1582982076,8,5
1582985724,4,2
1582989368,2,9
1582992864,7,8
1582996493,11,7
1583000110,12,11
1583003645,4,8
1583007283,8,8
1583010849,8,2
1583014476,9,6
1583018063,4,8
1583021686,16,1
1583025321,25,5
1583028874,8,5
1583032506,8,9
1583036078,6,23
1583039695,2,8
1583043269,8,13
1583046867,6,5
1583050551,4,13
1583054015,7,1
1583057693,9,4
1583061216,3,1
1583064877,0,1
1583068430,6,3
1583072049,4,4
1583075635,3,7
1583079310,3,3
1583082813,7,11
1583086434,6,4
1583089987,2,14
1583093652,7,11
1583097244,13,5
1583100784,6,4
1583104402,9,4
1583108263,12,6
1583111627,26,6
1583115245,2,6
1583118825,6,9
1583122479,4,33
1583126026,3,10
1583129666,7,3
1583133316,6,9
1583136861,4,9
1583140456,4,6
1583144099,11,5
1583147693,17,6
1583151956,7,4
1583154870,6,5
1583158491,4,8
1583162152,5,8
1583165662,8,3
1583169334,4,2
1583172931,3,9
1583176506,4,7
1583180058,5,7
1583183699,7,5
1583187274,6,4
1583190887,8,10
1583194426,10,4
1583198122,12,5
1583201674,7,4
1583205233,3,13
1583208905,5,22
1583212524,9,5
1583216059,7,11
1583220753,7,6
1583223297,8,6
1583226873,6,3
1583230514,2,4
1583234058,4,3
1583237669,5,8
1583241268,4,2
1583244953,6,3
1583248466,5,4
1583252098,5,3
1583255615,5,4
1583259233,2,4
1583262853,2,9
1583266419,8,4
1583270047,3,3
1583273658,5,5
1583277256,2,3
1583280837,6,2
1583284484,14,3
1583288078,5,6
1583291687,3,6
1583295228,4,21
1583298874,4,5
1583302668,3,9
1583306046,6,5
1583309664,4,6
1583313307,5,5
1583316777,8,5
1583320406,4,4
1583323993,6,10
1583327664,7,4
1583331217,5,6
1583334842,4,5
1583338429,6,6
1583342058,3,3
1583345600,3,2
1583349181,5,4
1583352819,4,4
1583356391,5,2
1583360019,5,6
1583363592,3,4
1583367320,10,4
1583370863,21,5
1583374443,9,7
1583378056,15,5
1583381664,2,32
1583385211,6,4
1583388862,6,5
1583392478,9,8
1583396009,6,5
1583399696,4,9
1583403328,7,8
1583406840,11,4
1583411018,4,4
1583414050,6,2
1583417714,4,16
1583421264,7,4
1583424897,4,7
1583428437,9,6
1583432110,5,4
1583435631,5,4
1583439301,9,1
1583442827,4,3
