DateTime,AddedIPs,RemovedIPs
1582502806,1,1
1582506388,2,1
1582509980,1,0
1582513595,0,2
1582517195,1,0
1582520790,2,0
1582524370,0,5
1582527977,0,2
1582531594,1,1
1582535205,0,2
1582538785,0,1
1582542388,1,0
1582545990,1,1
1582549580,2,1
1582553186,0,1
1582556795,1,0
1582563979,1,3
1582567576,0,1
1582571181,0,4
1582574783,2,0
1582578395,2,1
1582581977,2,0
1582585593,2,0
1582589215,0,1
1582592787,2,0
1582596394,8,2
1582599999,5,1
1582603600,0,3
1582607193,5,1
1582610793,3,0
1582614380,0,4
1582617987,2,0
1582621587,3,5
1582625186,3,3
1582628788,3,0
1582632386,3,1
1582635975,1,1
1582643199,1,5
1582646779,0,5
1582650380,2,2
1582653978,3,0
1582657576,2,2
1582661191,1,2
1582664791,5,2
1582668389,2,3
1582671995,1,0
1582675578,0,1
1582679187,6,0
1582682780,0,5
1582686387,1,6
1582689982,1,0
1582693584,0,2
1582697184,1,2
1582700800,1,0
1582704388,2,1
1582711587,0,1
1582715190,1,1
1582718793,0,4
1582722390,3,3
1582725998,0,1
1582729592,3,1
1582733206,0,2
1582736801,2,0
1582740390,2,0
1582747601,2,0
1582751190,0,1
1582754784,1,4
1582758394,3,0
1582762031,8,0
1582765603,1,1
1582769223,1,1
1582772831,1,3
1582776416,1,6
1582779999,4,3
1582783601,6,1
1582787207,2,0
1582790809,3,2
1582794406,0,1
1582798001,2,5
1582801601,1,6
1582805199,5,1
1582808804,1,1
1582812420,2,0
1582816010,1,0
1582819606,0,6
1582823219,4,4
1582826812,3,3
1582830429,3,1
1582834008,6,0
1582837616,0,2
1582841208,2,0
1582852014,0,1
1582855624,0,10
1582859227,3,1
1582862826,1,3
1582866413,1,1
1582870003,6,2
1582873619,2,1
1582877210,1,2
1582884410,2,3
1582888024,1,1
1582891619,2,0
1582895209,1,0
1582898809,0,1
1582902401,1,0
1582913203,0,2
1582916808,1,1
1582920392,1,0
1582924010,0,5
1582927594,0,2
1582931215,5,1
1582934837,1,1
1582938405,1,1
1582941996,2,1
1582945607,3,1
1582949205,1,1
1582952804,1,3
1582956403,1,6
1582960022,2,3
1582963605,5,5
1582967211,2,2
1582970804,1,2
1582974415,8,1
1582978004,2,4
1582981604,1,1
1582985210,1,0
1582988803,0,3
1582992407,2,4
1582996012,3,2
1582999616,6,3
1583003205,1,1
1583006804,1,1
1583010409,2,0
1583014010,1,1
1583017613,1,2
1583021215,5,0
1583024816,5,0
1583028399,6,2
1583032023,1,2
1583035607,2,6
1583039188,0,1
1583042817,0,9
1583046381,1,4
1583049983,1,5
1583053585,5,0
1583057184,3,2
1583067988,3,1
1583071604,0,3
1583075187,1,0
1583082382,0,4
1583085990,0,1
1583089571,0,4
1583093202,3,4
1583096789,6,1
1583100389,3,1
1583103988,1,2
1583107584,1,1
1583111181,4,1
1583118394,2,0
1583122002,1,0
1583125589,2,4
1583129186,1,2
1583132792,1,2
1583136393,0,5
1583139995,2,2
1583143601,4,0
1583147197,4,3
1583150796,3,0
1583154409,3,3
1583157997,2,1
1583161599,1,4
1583165186,4,1
1583168811,3,0
1583172406,1,3
1583175994,1,0
1583179599,2,1
1583183212,1,3
1583186809,0,1
1583190405,2,4
1583193995,5,1
1583197582,2,0
1583201211,1,0
1583204786,2,2
1583208403,1,11
1583211991,3,2
1583215575,2,5
1583219176,3,0
1583222791,1,1
1583237186,0,4
1583240793,2,0
1583244395,1,0
1583247980,2,0
1583251586,0,1
1583255180,1,0
1583262381,0,4
1583265996,4,2
1583269595,2,1
1583273196,2,0
1583283994,0,1
1583287590,0,3
1583291194,1,0
1583294783,2,0
1583298392,0,2
1583301996,0,3
1583309175,0,3
1583312785,1,1
1583316388,1,1
1583319982,1,0
1583327175,1,1
1583330789,2,1
1583334385,0,1
1583337984,2,0
1583352383,0,1
1583359579,1,2
