DateTime,AddedIPs,RemovedIPs
1583518574,2,2
1583520493,4,4
1583524329,2,2
1583526251,5,2
1583528168,2,3
1583530336,2,1
1583532257,0,2
1583534172,1,4
1583536108,1,0
1583538011,2,2
1583539940,3,1
1583541853,0,2
1583543772,0,5
1583545697,3,2
1583547611,2,0
1583549528,6,3
1583551452,2,3
1583553372,1,3
1583558175,7,7
1583560096,2,3
1583562018,1,6
1583563926,1,1
1583565871,4,4
1583567769,1,6
1583569714,2,4
1583572622,7,2
1583574520,5,4
1583576406,1,2
1583578372,4,5
1583580250,3,1
1583582166,4,3
1583584088,4,5
1583586975,5,2
1583588919,3,4
1583590808,6,9
1583592752,4,1
1583594679,1,2
1583596569,4,4
1583598491,0,4
1583601377,5,3
1583603292,3,0
1583605235,3,2
1583607128,0,4
1583609050,2,0
1583610994,2,3
1583612886,4,4
1583615799,5,2
1583617696,3,0
1583619614,1,1
1583621558,3,1
1583625371,4,2
1583627316,1,3
1583632096,2,3
1583634031,0,2
1583635928,3,9
1583637853,3,2
1583639790,4,1
1583641686,1,0
1583644572,6,7
1583646494,2,2
1583648430,3,1
1583650327,4,1
1583652251,5,5
1583654189,5,1
1583656111,6,2
1583658058,1,5
1583659935,2,3
1583661876,5,6
1583663776,4,1
1583665713,1,4
1583667610,4,4
1583669535,3,4
1583671474,1,4
1583673374,1,3
1583675296,3,2
1583677212,5,5
1583679152,3,4
1583681073,0,1
1583682968,4,0
1583684890,1,0
1583687775,5,5
1583689693,2,3
1583691632,4,3
1583693527,2,0
1583695452,1,2
1583697390,3,2
1583699287,5,5
1583701260,5,3
1583703131,3,2
1583705323,16,2
1583707231,3,2
1583709133,0,2
1583711074,3,2
1583712974,3,4
1583714896,1,0
1583716831,1,0
1583718754,3,3
1583720653,4,1
1583722590,2,2
1583724511,4,2
1583727375,4,4
1583729292,1,4
1583731229,1,1
1583733127,2,1
1583735051,1,3
1583736992,3,5
1583738886,2,4
1583741775,4,10
1583743697,0,1
1583745630,3,4
1583747548,6,4
1583749448,4,2
1583751389,6,3
1583753308,2,2
1583756182,6,5
1583758089,3,2
1583760034,5,2
1583761951,0,2
1583763850,5,6
1583765792,3,0
1583767687,5,2
1583770569,7,4
1583772501,6,4
1583774432,3,2
1583776327,2,1
1583778257,6,3
1583780193,4,2
1583782109,2,1
1583784972,7,7
1583786891,5,3
1583788810,4,1
