DateTime,AddedIPs,RemovedIPs
1583546680,234,206
1583548571,242,189
1583550493,216,186
1583552412,230,211
1583554333,225,33
1583556252,186,13
1583558177,20,10
1583560098,23,13
1583562020,95,11
1583563928,1191,847
1583565873,1061,86
1583567771,1426,35
1583569716,1120,23
1583571692,484,40
1583573544,244,29
1583575491,35,31
1583577383,42,33
1583579309,25,23
1583581238,24,32
1583583137,17,27
1583585052,5,25
1583586976,8,34
1583588921,15,37
1583590810,14,274
1583592754,11,26
1583594681,358,29
1583596572,561,17
1583598493,445,18
1583600526,481,29
1583602359,438,19
1583604287,405,25
1583606171,390,27
1583608117,893,25
1583610021,2651,34
1583611938,882,20
1583613881,110,19
1583615802,16,27
1583617698,61,19
1583619616,5,19
1583621560,3,22
1583623459,18,10
1583625375,6,21
1583627318,10,21
1583629282,10,28
1583631158,9,15
1583633325,9,21
1583635216,20,18
1583637139,7,18
1583639076,12,22
1583640986,15,24
1583642899,15,36
1583644836,11,14
1583646734,16,19
1583648663,6,96
1583650594,924,22
1583652498,11,17
1583654521,13,27
1583656339,10,19
1583658284,8,8
1583660178,15,25
1583662097,16,85
1583664023,15,240
1583665942,7,127
1583667875,7,325
1583669788,22,152
1583671697,14,297
1583673655,9,229
1583675533,372,271
1583677565,15,309
1583679372,7,281
1583681293,15,707
1583684176,27,1219
1583686119,16,785
1583688034,21,795
1583689932,5,934
1583691851,12,726
1583693790,17,1555
1583695691,5,516
1583697710,9,481
1583699557,6,219
1583701725,19,11
1583703635,16,67
1583705534,13,9
1583707478,19,6
1583709376,14,20
1583711293,13,8
1583713232,16,6
1583715130,10,13
1583717056,13,6
1583718967,12,16
1583720892,10,20
1583722889,12,15
1583724733,15,13
1583726939,7,13
1583728820,6,12
1583730737,9,15
1583732672,140,13
1583734612,25,12
1583736493,22,729
1583738436,49,80
1583740329,91,149
1583742253,156,180
1583744191,202,239
1583746090,228,261
1583748986,327,384
1583750896,247,287
1583752822,223,257
1583754755,266,309
1583756658,204,251
1583758596,242,271
1583760767,670,280
1583762685,228,618
1583764714,253,281
1583766523,228,239
1583768419,255,262
1583770338,230,257
1583772289,287,265
1583774196,222,241
1583776105,270,1496
1583778038,223,1861
1583779952,284,238
1583781883,232,237
1583783778,261,265
1583785693,182,208
1583788605,347,382
1583790494,260,275
1583792414,195,256
1583794352,256,286
1583796253,224,249
1583798170,260,276
1583800093,227,81
1583802057,254,17
1583803932,209,13
1583805909,226,10
1583807772,110,10
1583809718,14,10
1583811609,430,13
1583813548,330,7
1583815458,17,7
1583817397,62,53
1583819290,705,98
1583821233,922,21
1583823128,1896,138
1583825052,2134,157
1583826968,2117,164
1583828919,1813,127
1583830853,2254,179
1583832736,340,160
1583834667,245,173
1583836575,339,167
1583838491,183,155
1583840435,215,155
1583842336,64,160
1583844251,72,159
1583846170,36,256
1583848116,89,424
1583850023,43,147
1583851891,24,174
1583853854,16,170
1583855771,796,185
1583857718,1118,138
1583859693,663,156
1583861544,190,121
1583863472,8,126
1583865373,22,147
1583867334,16,133
1583869228,18,152
1583871151,14,75
1583873055,19,138
1583874978,22,122
1583876889,14,142
1583878811,14,102
1583880738,10,109
1583883612,166,166
1583885783,450,193
1583887698,394,160
1583889621,274,112
1583891555,340,139
1583893453,249,93
1583895375,243,16
1583897290,1,8
1583900200,7,454
1583902092,5,13
1583904013,326,77
1583905937,10,96
1583907860,19,315
1583909773,11,1745
1583911693,42,1604
1583914579,27,2138
1583916527,6,1981
1583918419,4,908
1583920332,4,203
1583922257,8,458
1583924173,8,271
1583926100,7,692
1583928985,7,1003
1583930899,9,186
1583932814,3,255
1583934789,8,1452
1583936657,7,90
1583938601,8,21
1583940527,6,19
1583942544,13,1071
1583944358,7,1312
1583946323,7,928
1583948189,12,228
1583950097,8,13
1583952030,4,24
1583953950,6,15
1583955856,8,20
1583957805,12,23
1583959763,6,20
1583961627,5,21
1583963543,4,17
1583965477,6,17
1583967391,4,12
1583969290,6,9
1583972407,10,34
1583974327,6,6
1583976255,9,10
1583978172,11,8
1583980092,9,17
1583982159,25,4
1583984171,15,8
1583986089,9,9
1583988044,11,7
1583989934,12,5
1583991857,2672,335
1583993778,609,21
1583995697,23,14
1583997609,21,17
1583999528,22,55
1584001451,16,9
1584003407,384,21
1584005313,34,8
1584007267,24,4
1584009228,26,5
1584011300,22,14
1584013213,22,5
1584015164,19,5
1584017058,9,12
1584018972,18,3
1584020919,16,9
1584022827,11,6
1584024730,11,12
1584026535,11,7
1584028349,9,13
1584030257,19,8
1584032170,13,6
1584034114,13,10
1584036119,29,11
1584037963,18,4
1584039785,12,7
1584042071,22,8
1584043963,9,13
1584045881,16,4
1584047802,17,5
1584049943,14,5
1584051853,112,6
1584053776,580,4
1584055693,537,5
1584058812,718,7
1584060727,523,7
1584062650,440,9
1584064977,484,18
1584066973,366,23
1584068904,412,4
1584070816,491,9
1584072751,595,9
1584074654,1452,9
1584076575,1202,81
1584078501,2117,1070
1584080413,892,2087
1584082330,751,495
1584084259,701,501
1584086176,491,557
1584088106,622,419
1584090102,856,825
1584091934,431,407
1584093869,618,237
1584095775,397,27
1584097695,436,19
1584099647,560,20
1584101556,280,18
1584103456,374,9
1584105378,539,17
1584107299,277,15
1584109249,236,11
1584111134,194,9
1584113055,225,13
1584114978,263,6
1584116892,192,20
1584118978,246,12
1584120973,186,15
1584122899,27,24
1584124842,40,18
1584126767,52,11
1584128652,43,19
1584130589,28,12
1584132498,20,11
1584134415,15,10
1584136329,25,12
1584138253,15,132
1584140169,28,753
1584142092,12,667
1584144080,24,690
1584145945,16,566
1584147875,18,608
1584149774,26,711
1584151705,19,490
1584153631,19,585
1584155537,14,560
1584157451,28,701
1584159375,25,604
1584161317,35,584
1584163244,175,429
1584166117,1349,1479
1584168010,652,454
1584169935,112,572
1584171855,34,365
1584173776,28,495
1584175695,31,943
1584177623,26,481
1584179530,29,360
1584181480,26,914
1584183372,39,627
1584185291,32,957
1584187360,52,514
1584189207,59,499
1584191300,64,1303
1584193212,35,540
1584195137,31,517
1584197060,32,441
1584198972,39,508
1584201011,29,477
1584202812,12,461
1584204736,31,458
1584206650,23,495
1584208575,33,60
1584210491,21,76
1584213375,148,186
1584215302,846,49
1584217213,698,23
1584219136,761,21
1584221053,706,18
1584223097,856,27
1584225239,668,28
1584227126,502,19
1584228982,623,15
1584230971,599,18
1584232819,728,19
1584234735,402,15
1584236659,9,26
1584238577,8,29
1584240498,11,17
1584242414,23,13
1584244344,15,26
1584246257,19,12
1584248173,24,36
1584250106,22,15
1584253211,13,1928
1584255129,24,294
1584257080,22,31
1584258973,16,27
1584260889,25,20
