DateTime,AddedIPs,RemovedIPs
1583542881,249,250
1583544731,221,220
1583546682,235,210
1583548571,243,190
1583550496,216,185
1583552412,233,214
1583554334,229,37
1583556253,185,17
1583558177,23,12
1583560098,25,13
1583562020,96,13
1583563929,1194,850
1583565874,1071,87
1583567772,1431,39
1583569716,1119,25
1583571706,489,41
1583573545,245,31
1583575492,35,36
1583577383,44,34
1583579311,26,25
1583581239,27,32
1583583138,24,27
1583585053,7,29
1583586977,13,38
1583588922,16,40
1583590811,16,275
1583592755,15,28
1583594682,360,30
1583596572,563,19
1583598494,444,23
1583600543,483,33
1583602361,441,24
1583604291,404,25
1583606172,392,30
1583608120,897,26
1583610022,2649,36
1583611939,884,23
1583613882,111,21
1583615803,18,34
1583617699,64,21
1583619617,5,24
1583621561,6,24
1583623460,26,14
1583625376,8,24
1583627319,16,25
1583630431,22,37
1583632327,11,17
1583634253,21,22
1583636188,14,26
1583638092,14,20
1583640987,25,41
1583642900,16,37
1583644837,15,16
1583646734,18,17
1583648664,8,97
1583650595,926,27
1583652499,16,27
1583654535,15,30
1583656340,13,19
1583658297,11,13
1583660179,16,26
1583662098,18,85
1583664024,16,241
1583665943,7,128
1583667876,10,328
1583669789,23,159
1583671698,16,298
1583673656,13,235
1583675534,376,272
1583677566,18,311
1583679372,11,285
1583681294,15,708
1583684177,45,1219
1583686121,20,786
1583688035,28,797
1583689933,9,932
1583691853,18,732
1583693792,20,1557
1583695692,9,515
1583697725,14,480
1583699558,8,222
1583701726,24,12
1583703636,19,70
1583705535,14,10
1583707479,22,10
1583709377,16,27
1583711294,13,13
1583713233,17,14
1583715132,15,16
1583717057,14,11
1583718968,17,21
1583720893,13,23
1583723798,24,31
1583725697,13,14
1583727635,7,15
1583729531,11,19
1583731456,137,13
1583733397,13,17
1583735290,22,240
1583738173,46,546
1583740094,88,150
1583742033,152,176
1583743931,197,236
1583745852,231,265
1583747792,258,310
1583749690,215,236
1583752595,362,411
1583754492,258,305
1583756434,216,259
1583758329,245,270
1583760333,557,258
1583762171,326,636
1583764112,217,238
1583766030,273,289
1583767957,234,244
1583769875,241,261
1583771796,274,265
1583773726,229,245
1583775611,256,918
1583777546,228,2079
1583779478,285,610
1583781396,238,230
1583783292,263,271
1583785261,195,222
1583787150,257,254
1583789051,220,252
1583790969,261,281
1583792911,200,261
1583795815,361,403
1583797688,257,269
1583799635,240,149
1583801528,255,16
1583803450,216,15
1583805372,249,18
1583807558,157,16
1583809492,18,10
1583811371,180,15
1583813327,587,10
1583815250,20,8
1583817139,13,11
1583819053,640,141
1583820972,919,23
1583822897,1591,123
1583824834,2307,161
1583826750,2043,170
1583828679,1812,128
1583830567,2482,167
1583832511,338,164
1583835369,614,260
1583837290,161,181
1583839210,211,145
1583841152,138,181
1583843051,116,135
1583844968,20,163
1583846893,56,510
1583849769,111,242
1583851892,26,199
1583853855,19,172
1583855772,797,187
1583857719,1119,139
1583859709,661,158
1583861546,191,121
1583863475,8,128
1583865374,24,150
1583867336,16,138
1583869230,22,153
1583871154,17,76
1583873056,20,145
1583874979,26,128
1583876890,16,142
1583878812,15,107
1583880739,11,111
1583883613,164,172
1583885785,449,199
1583887699,395,168
1583889622,277,114
1583891556,340,143
1583893472,254,96
1583895376,244,17
1583897291,4,13
1583899296,9,449
1583901151,7,16
1583903118,6,12
1583904971,332,92
1583906912,17,240
1583908813,17,562
1583910736,74,2073
1583912652,44,1705
1583914580,21,1379
1583916528,8,1981
1583918419,9,905
1583920332,7,207
1583922257,12,458
1583924174,10,273
1583926101,9,701
1583928051,2,532
1583929940,17,591
1583932098,7,88
1583934015,9,1142
1583935930,14,641
1583937884,12,17
1583939774,8,27
1583941719,13,455
1583943608,12,1373
1583945561,9,1292
1583947459,13,427
1583949390,11,10
1583951288,6,21
1583953247,8,26
1583955243,9,23
1583957323,15,21
1583959224,7,22
1583961150,9,25
1583963066,7,23
1583964970,12,23
1583966906,5,11
1583968810,9,12
1583970727,3,28
1583972654,12,11
1583974568,6,7
1583976488,17,16
1583979613,20,23
1583981549,30,8
1583983457,16,8
1583985367,11,14
1583987290,21,11
1583990413,297,344
1583992334,3001,18
1583994256,20,21
1583996172,31,15
1583998092,22,47
1584000116,30,28
1584001996,21,14
1584004404,403,27
1584006277,22,10
1584008195,31,8
1584010118,35,9
1584012044,19,14
1584013973,24,4
1584015873,13,18
1584017773,17,8
1584019693,14,7
1584022581,33,21
1584024515,13,15
1584026537,16,12
1584028349,12,14
1584030258,20,9
1584032171,14,7
1584034115,17,14
1584036135,32,12
1584037963,24,5
1584039802,14,8
1584042072,25,11
1584043964,8,15
1584045882,18,5
1584047803,19,10
1584049944,14,8
1584051854,115,11
1584053777,582,5
1584055694,536,8
1584057702,503,5
1584059539,402,6
1584061488,456,11
1584063373,511,16
1584065310,337,16
1584067215,385,27
1584069137,408,8
1584071053,502,11
1584073007,701,14
1584074894,1401,13
1584076816,1422,290
1584078737,1824,2598
1584080656,961,373
1584082571,787,598
1584084517,645,484
1584087377,799,721
1584089296,902,411
1584091211,529,825
1584093129,367,409
1584095051,606,26
1584096970,460,25
1584098888,597,18
1584100900,300,25
1584102738,331,10
1584104656,562,16
1584106572,293,14
1584108493,243,20
1584110412,215,13
1584112334,233,20
1584114250,240,7
1584116178,213,17
1584118093,211,18
1584120012,242,11
1584121931,69,14
1584123850,39,33
1584125779,22,16
1584127692,93,14
1584130591,42,25
1584132499,25,13
1584134416,23,11
1584136330,30,12
1584138254,24,134
1584140170,33,755
1584142093,16,667
1584144099,24,692
1584145946,20,569
1584147884,21,609
1584149775,32,712
1584151705,25,489
1584153632,22,589
1584155538,22,560
1584157452,38,703
1584159389,34,611
1584161318,39,579
1584163246,180,431
1584166118,1359,1480
1584168011,660,455
1584169936,115,573
1584171856,40,368
1584173776,34,494
1584175696,41,942
1584177624,32,486
1584179531,31,362
1584181481,32,918
1584183373,45,628
1584185292,39,957
1584187372,56,518
1584189207,68,501
1584191301,68,1302
1584193212,40,544
1584195138,34,518
1584197060,35,442
1584198973,51,509
1584201012,33,477
1584202812,17,462
1584204737,36,460
1584206650,30,508
1584208575,41,60
1584210492,29,80
1584213376,152,201
1584215303,847,53
1584217213,697,29
1584219136,761,25
1584221054,707,27
1584223099,853,53
1584225240,670,40
1584227128,508,19
1584228982,619,19
1584230971,612,21
1584232819,728,20
1584234736,408,18
1584236659,15,30
1584238578,17,32
1584240498,16,20
1584242415,28,23
1584244345,19,34
1584246258,24,19
1584248173,29,40
1584250106,27,20
1584252098,14,1357
1584253940,32,854
1584255908,15,47
1584257800,30,33
1584259722,23,16
1584261617,33,36
1584263540,17,42
1584265476,17,29
1584267376,25,39
1584269298,16,44
1584271235,24,40
1584273139,61,37
1584275092,169,45
1584276975,210,83
1584278891,149,37
1584280979,663,44
1584282976,218,28
1584284932,137,33
1584286815,204,33
1584288987,569,28
1584290897,1939,28
1584292833,20,31
1584294727,14,32
1584296649,16,28
1584298588,22,31
1584300489,5,13
1584303412,28,51
1584305303,30,34
1584307210,16,44
1584309131,283,55
1584311069,19,19
1584312970,18,24
1584314898,18,58
1584316905,27,22
1584318756,23,25
1584320917,25,30
1584322819,12,12
1584324754,31,76
1584326657,14,441
1584328586,12,435
1584330514,11,518
1584332410,9,425
1584334327,169,430
1584336251,845,367
1584338189,1065,382
1584340105,389,334
1584342097,458,467
1584343952,368,339
1584345867,446,438
1584347773,410,269
1584349712,352,17
1584351611,455,13
1584353534,398,18
1584355486,513,22
1584357410,92,16
1584359302,23,39
1584361218,26,137
1584363136,35,177
1584365064,26,122
1584366973,27,162
1584368900,35,171
1584371019,25,131
1584372978,25,182
1584374923,29,173
1584376819,126,2560
1584378742,214,19
1584380679,23,19
1584385697,164,51
1584387622,69,14
1584389551,28,11
1584391457,23,23
1584393387,21,25
1584395296,16,315
1584397231,26,26
1584399133,31,20
1584401057,23,22
1584402989,73,18
1584404894,21,20
1584406969,17,24
1584408977,34,22
1584411153,34,29
1584413080,23,17
1584414975,39,13
1584416925,769,13
1584418815,12,10
1584420746,26,13
1584422652,32,13
1584424587,921,993
1584426488,760,18
1584428548,645,39
1584430380,450,33
1584432519,416,35
1584434415,403,25
1584436352,502,27
1584438250,582,26
1584440180,296,44
1584442112,328,44
1584444027,223,21
1584445937,141,22
1584447861,76,27
1584449789,42,33
1584451701,18,25
1584454841,96,487
1584456751,94,30
1584458654,147,13
1584460605,83,32
1584462721,114,39
1584464898,1306,287
1584466813,947,22
1584468761,20,13
1584470651,124,29
1584472575,260,21
1584474509,387,23
1584476410,84,22
1584478327,34,21
1584480265,46,14
1584482166,34,16
1584484092,28,504
1584486064,31,859
1584487936,16,727
1584489860,25,673
1584491788,23,673
1584493958,19,654
1584495856,18,551
1584497780,28,531
1584499763,16,623
1584501693,23,591
1584503603,22,1414
1584505469,23,141
1584507371,19,111
1584509290,95,33
1584512175,45,172
1584514141,28,184
1584516009,72,119
1584517937,22,95
1584519889,40,98
1584521771,21,60
1584523692,26,122
1584526601,49,177
1584528514,30,99
1584530442,23,108
