DateTime,Entries,UniqueIPs
1583542881,10826,10826
1583544731,10827,10827
1583546682,10852,10852
1583548571,10905,10905
1583550496,10936,10936
1583552412,10955,10955
1583554334,11147,11147
1583556253,11315,11315
1583558177,11326,11326
1583560098,11338,11338
1583562020,11421,11421
1583563929,11765,11765
1583565874,12749,12749
1583567772,14141,14141
1583569716,15235,15235
1583571706,15683,15683
1583573545,15897,15897
1583575492,15896,15896
1583577383,15906,15906
1583579311,15907,15907
1583581239,15902,15902
1583583138,15899,15899
1583585053,15877,15877
1583586977,15852,15852
1583588922,15828,15828
1583590811,15569,15569
1583592755,15556,15556
1583594682,15886,15886
1583596572,16430,16430
1583598494,16851,16851
1583600543,17301,17301
1583602361,17718,17718
1583604291,18097,18097
1583606172,18459,18459
1583608120,19330,19330
1583610022,21943,21943
1583611939,22804,22804
1583613882,22894,22894
1583615803,22878,22878
1583617699,22921,22921
1583619617,22902,22902
1583621561,22884,22884
1583623460,22896,22896
1583625376,22880,22880
1583627319,22871,22871
1583630431,22856,22856
1583632327,22850,22850
1583634253,22849,22849
1583636188,22837,22837
1583638092,22831,22831
1583640987,22815,22815
1583642900,22794,22794
1583644837,22793,22793
1583646734,22794,22794
1583648664,22705,22705
1583650595,23604,23604
1583652499,23593,23593
1583654535,23578,23578
1583656340,23572,23572
1583658297,23570,23570
1583660179,23560,23560
1583662098,23493,23493
1583664024,23268,23268
1583665943,23147,23147
1583667876,22829,22829
1583669789,22693,22693
1583671698,22411,22411
1583673656,22189,22189
1583675534,22293,22293
1583677566,22000,22000
1583679372,21726,21726
1583681294,21033,21033
1583684177,19859,19859
1583686121,19093,19093
1583688035,18324,18324
1583689933,17401,17401
1583691853,16687,16687
1583693792,15150,15150
1583695692,14644,14644
1583697725,14178,14178
1583699558,13964,13964
1583701726,13976,13976
1583703636,13925,13925
1583705535,13929,13929
1583707479,13941,13941
1583709377,13930,13930
1583711294,13930,13930
1583713233,13933,13933
1583715132,13932,13932
1583717057,13935,13935
1583718968,13931,13931
1583720893,13921,13921
1583723798,13914,13914
1583725697,13913,13913
1583727635,13905,13905
1583729531,13897,13897
1583731456,14021,14021
1583733397,14017,14017
1583735290,13799,13799
1583738173,13299,13299
1583740094,13237,13237
1583742033,13213,13213
1583743931,13174,13174
1583745852,13140,13140
1583747792,13088,13088
1583749690,13067,13067
1583752595,13018,13018
1583754492,12971,12971
1583756434,12928,12928
1583758329,12903,12903
1583760333,13202,13202
1583762171,12892,12892
1583764112,12871,12871
1583766030,12855,12855
1583767957,12845,12845
1583769875,12825,12825
1583771796,12834,12834
1583773726,12818,12818
1583775611,12156,12156
1583777546,10305,10305
1583779478,9980,9980
1583781396,9988,9988
1583783292,9980,9980
1583785261,9953,9953
1583787150,9956,9956
1583789051,9924,9924
1583790969,9904,9904
1583792911,9843,9843
1583795815,9801,9801
1583797688,9789,9789
1583799635,9880,9880
1583801528,10119,10119
1583803450,10320,10320
1583805372,10551,10551
1583807558,10692,10692
1583809492,10700,10700
1583811371,10865,10865
1583813327,11442,11442
1583815250,11454,11454
1583817139,11456,11456
1583819053,11955,11955
1583820972,12851,12851
1583822897,14319,14319
1583824834,16465,16465
1583826750,18338,18338
1583828679,20022,20022
1583830567,22337,22337
1583832511,22511,22511
1583835369,22865,22865
1583837290,22845,22845
1583839210,22911,22911
1583841152,22868,22868
1583843051,22849,22849
1583844968,22706,22706
1583846893,22252,22252
1583849769,22121,22121
1583851892,21948,21948
1583853855,21795,21795
1583855772,22405,22405
1583857719,23385,23385
1583859709,23888,23888
1583861546,23958,23958
1583863475,23838,23838
1583865374,23712,23712
1583867336,23590,23590
1583869230,23459,23459
1583871154,23400,23400
1583873056,23275,23275
1583874979,23173,23173
1583876890,23047,23047
1583878812,22955,22955
1583880739,22855,22855
1583883613,22847,22847
1583885785,23097,23097
1583887699,23324,23324
1583889622,23487,23487
1583891556,23684,23684
1583893472,23842,23842
1583895376,24069,24069
1583897291,24060,24060
1583899296,23620,23620
1583901151,23611,23611
1583903118,23605,23605
1583904971,23845,23845
1583906912,23622,23622
1583908813,23077,23077
1583910736,21078,21078
1583912652,19417,19417
1583914580,18059,18059
1583916528,16086,16086
1583918419,15190,15190
1583920332,14990,14990
1583922257,14544,14544
1583924174,14281,14281
1583926101,13589,13589
1583928051,13059,13059
1583929940,12485,12485
1583932098,12404,12404
1583934015,11271,11271
1583935930,10644,10644
1583937884,10639,10639
1583939774,10620,10620
1583941719,10178,10178
1583943608,8817,8817
1583945561,7534,7534
1583947459,7120,7120
1583949390,7121,7121
1583951288,7106,7106
1583953247,7088,7088
1583955243,7074,7074
1583957323,7068,7068
1583959224,7053,7053
1583961150,7037,7037
1583963066,7021,7021
1583964970,7010,7010
1583966906,7004,7004
1583968810,7001,7001
1583970727,6976,6976
1583972654,6977,6977
