DateTime,AddedIPs,RemovedIPs
1582491762,1,0
1582493581,3,1
1582495495,1,0
1582497385,3,3
1582499292,1,0
1582501223,1,0
1582505081,1,0
1582508907,1,0
1582510809,1,0
1582512730,1,0
1582514670,1,0
1582516585,0,1
1582518491,0,1
1582522583,0,1
1582526423,0,1
1582528346,1,1
1582530251,0,1
1582534108,0,1
1582536008,0,1
1582537927,0,1
1582539881,0,1
1582541769,0,18
1582543689,0,26
1582545675,0,35
1582547530,0,26
1582549495,0,33
1582551728,0,35
1582553557,0,28
1582555450,0,28
1582557381,0,11
1582559294,0,1
1582563129,0,1
1582565056,1,0
1582567005,0,1
1582568889,0,1
1582570912,0,1
1582572731,1,1
1582574685,0,2
1582576589,2,2
1582578509,0,2
1582580414,0,2
1582582347,0,1
1582584262,0,4
1582588106,1,1
1582590015,1,0
1582591980,0,1
1582593866,2,0
1582595769,0,1
1582597688,0,2
1582601533,0,1
1582603488,1,0
1582605388,1,0
1582614974,0,1
1582624611,1,0
1582634411,1,0
1582638258,1,0
1582644276,0,1
1582651950,0,1
1582659613,2,1
1582663714,0,2
1582669454,1,0
1582671380,1,0
1582673293,1,0
1582675302,0,1
1582677142,0,1
1582679092,2,0
1582680993,0,2
1582688654,0,1
1582701394,1,0
1582707135,2,0
1582710984,0,1
1582712927,1,0
1582717695,2,0
1582719686,0,1
1582725386,0,1
1582737206,1,0
1582742895,1,0
1582744823,0,1
1582746735,2,1
1582754505,2,1
1582756348,0,1
1582758211,1,0
1582760177,2,2
1582764012,2,1
1582766184,0,1
1582768108,2,0
1582771933,1,0
1582773865,2,0
1582775773,1,0
1582777694,1,0
1582781533,1,0
1582785384,1,0
1582787299,0,1
1582789212,1,0
1582793050,1,2
1582795042,2,0
1582798809,0,1
1582800752,2,0
1582804581,1,2
1582808665,4,0
1582810590,1,0
1582812499,1,0
1582816639,1,0
1582818498,1,0
1582826184,2,0
1582830981,2,1
1582832894,1,2
1582834826,1,0
1582840609,1,2
1582844553,0,1
1582846574,0,2
1582850670,0,2
1582854496,3,1
1582858352,0,1
1582860255,0,2
1582862202,0,1
1582864104,0,1
1582866988,0,1
1582868893,1,0
1582870819,1,1
1582874657,1,1
1582878494,2,1
1582880558,0,1
1582882570,2,1
1582886416,1,2
1582888335,1,0
1582890278,3,0
1582892219,3,2
1582894096,0,3
1582896021,6,1
1582897931,5,2
1582899855,6,0
1582901786,3,1
1582903689,5,1
1582906572,3,1
1582910426,4,0
1582912329,1,2
1582914249,2,0
1582916187,0,2
1582918091,4,0
1582920998,5,2
1582923141,4,0
1582925058,5,0
1582926987,2,1
1582928894,5,0
1582931798,1,0
1582933698,2,0
1582941384,0,3
1582945323,3,0
1582947150,1,0
1582949316,4,0
1582953133,1,0
1582955078,0,1
1582956989,0,1
1582960827,0,1
1582964654,0,2
1582968491,2,2
1582972361,0,1
1582974185,1,0
1582976220,0,4
1582978109,0,1
1582980014,0,2
1582981952,1,4
1582983852,0,6
1582985774,1,7
1582987696,0,3
1582989627,2,3
1582991549,1,2
1582993458,0,3
1582995384,0,2
1582997302,1,3
1582999328,1,0
1583001149,0,2
1583003314,3,1
1583005215,2,4
1583007136,2,3
1583009070,1,4
1583010994,1,4
1583012896,1,4
1583014832,2,3
1583016732,1,3
1583018657,1,1
1583020600,2,1
1583024522,6,0
1583028274,2,0
1583030171,0,2
1583032117,1,1
1583034016,0,3
1583035936,0,2
1583045568,1,0
1583054181,1,2
1583061891,0,1
1583063844,2,0
1583067679,0,1
1583071433,2,0
1583073418,1,1
1583075314,3,0
1583077221,0,2
1583079167,1,1
1583081060,1,0
1583082988,0,1
1583084912,1,1
1583086817,1,0
1583088733,1,3
1583090675,3,0
1583092578,1,4
1583097405,1,2
1583099320,3,1
1583101265,0,2
1583103150,3,1
1583105078,0,1
1583107005,1,2
1583112121,0,6
1583113984,0,1
1583115917,0,1
1583117813,0,1
1583131219,0,1
1583133147,1,0
1583136989,2,0
1583140830,1,1
1583142736,1,0
1583144664,1,0
1583146588,1,0
1583148559,1,2
1583150747,2,0
1583154544,2,0
1583156415,1,0
1583158587,3,1
1583160503,0,1
1583162459,3,3
1583164336,1,1
1583166276,1,0
1583168173,1,1
1583170092,1,0
1583173214,2,2
1583175203,3,1
1583177076,0,3
1583178974,1,1
1583182972,0,1
1583186908,0,3
1583190739,0,3
1583192653,0,1
1583196498,1,0
1583219785,0,1
1583223617,0,2
1583227477,0,1
1583229373,0,1
1583231291,0,2
1583233412,0,2
1583237292,0,2
1583241133,0,2
1583243052,0,1
1583244974,0,3
1583249097,0,3
1583250979,0,1
1583252895,0,1
1583255775,0,2
1583257696,0,1
1583259612,0,1
1583261555,0,3
1583265403,0,1
1583282901,0,1
1583332334,1,0
1583343856,1,0
1583347702,1,0
1583409767,0,1
1583419469,0,1
1583430978,1,0
1583452100,1,0
1583517871,0,1
1583537078,0,1
1583662599,1,0
1583740097,1,0
1583751764,1,0
1583778761,5,0
1583780935,2,0
1583782843,3,0
1583784737,2,0
1583786681,2,0
1583788607,5,0
1583790497,1,0
1583792416,3,0
1583794354,1,0
1583796254,4,0
1583798173,2,0
1583800095,1,0
1583802974,4,0
1583806817,1,0
1583820529,1,0
1583822423,1,0
1583826293,1,0
1583828205,1,1
1583830107,1,0
1583833962,3,0
1583837782,1,0
1583841794,2,0
1583843774,0,1
1583845689,4,0
1583847610,2,0
1583849556,3,0
1583851449,1,0
1583853397,1,0
1583855294,2,0
1583857242,1,0
1583859158,4,0
1583861077,1,0
1583863000,1,0
1583864917,1,4
1583867796,1,4
1583869703,0,2
1583871633,0,3
1583873530,0,4
1583875453,1,2
1583877371,2,3
1583879294,2,1
1583883170,0,5
1583885331,1,2
1583887212,1,1
1583889140,3,4
1583892976,0,1
1583902576,3,0
1583904491,3,0
1583906559,6,1
1583908598,1,0
1583910500,0,1
1583912416,0,1
1583914333,0,1
1583916255,0,1
1583918179,3,0
1583920095,0,3
1583922014,3,0
1583923934,1,2
1583927794,2,2
1583929693,1,0
1583931787,1,3
1583933776,0,2
1583935702,4,3
1583937618,1,1
1583939540,0,1
1583941478,2,1
1583943410,2,2
1583945307,2,4
1583947237,1,0
1583949150,2,2
1583951081,3,1
1583953012,2,0
1583954898,0,1
1583956947,1,0
1583958755,1,0
1583960721,1,0
1583962574,0,1
1583964538,1,3
1583966456,1,1
1583968345,2,0
1583972183,0,1
1583974100,2,1
1583976016,0,3
1583987537,0,1
1583989700,1,3
1583991652,0,6
1583993535,0,3
1584003132,1,2
1584005078,0,1
1584006995,0,1
1584008822,0,3
1584010980,2,1
1584014904,0,2
1584016820,2,1
1584018772,0,1
1584020674,0,2
1584022588,0,2
1584024518,1,1
1584026539,2,1
1584028352,1,2
1584030261,1,2
1584032194,1,1
1584034118,4,1
1584036245,0,3
1584038173,1,2
1584040130,0,2
1584042076,2,1
1584043966,1,1
1584045893,1,1
1584047804,1,0
1584049947,1,1
1584051857,2,0
1584053780,0,3
1584055697,2,0
1584059791,1,0
1584061692,2,2
1584063613,1,0
1584071301,2,0
1584077057,0,1
1584086890,1,0
1584088815,0,1
1584090739,2,0
1584096506,0,2
1584098410,1,0
1584100330,2,0
1584102253,1,2
1584106091,1,0
1584110901,0,1
1584112817,0,2
1584114736,0,1
1584116683,1,1
1584118572,0,1
1584120490,0,4
1584125316,0,1
1584127269,2,1
1584129173,1,1
1584131062,0,2
1584132974,1,0
1584134894,0,2
1584136985,0,1
1584138984,0,1
1584142836,0,2
1584146659,1,3
1584150497,0,1
1584158176,2,2
1584172575,0,1
1584176559,0,2
1584184361,0,1
1584186253,1,2
1584188187,0,1
1584193936,0,1
1584202573,0,1
1584214092,0,2
1584216265,0,1
1584218176,0,1
1584220110,1,0
1584231852,0,1
1584245795,0,2
1584247702,2,0
1584249612,1,0
1584255405,2,0
1584257318,3,0
1584260431,5,0
1584262327,2,0
1584268090,1,0
1584272894,0,1
1584280569,1,0
1584293049,1,0
1584295014,1,0
1584296889,1,0
1584300777,1,0
1584302703,1,0
1584304829,1,0
1584306761,1,1
1584308655,1,0
1584312514,2,0
1584316351,1,0
1584324980,1,0
1584334573,0,2
1584336493,1,1
1584342523,0,3
1584344414,0,3
1584346342,0,2
1584348270,0,3
1584350174,0,1
1584354026,1,1
1584367716,1,1
1584377295,1,0
1584379229,0,1
1584381132,59,1
1584384269,300,1
1584386182,131,0
1584388134,1,2
1584390036,1,1
1584393851,1,2
1584397703,0,2
1584408489,0,1
1584411401,0,1
1584413316,1,0
1584420971,1,0
1584422889,0,1
1584426750,1,0
1584438252,2,0
1584440183,0,1
1584449791,1,0
1584451703,1,0
1584454844,3,1
1584458658,1,0
1584462724,2,1
1584464901,1,0
1584466816,0,32
1584468765,1,118
1584470655,0,209
1584472580,2,131
1584474562,0,1
1584476414,1,1
1584478338,1,0
1584480269,0,1
1584482170,2,0
1584499773,0,1
1584507375,0,1
1584512409,0,1
1584525146,0,1
1584527089,3,0
1584529007,3,0
1584530912,3,0
