DateTime,Entries,UniqueIPs
1583549773,4090,4090
1583551692,4107,4107
1583553667,4145,4145
1583555535,4171,4171
1583557357,4200,4200
1583559374,4207,4207
1583561295,4235,4235
1583563211,4254,4254
1583565133,4228,4228
1583567060,4247,4247
1583569002,4222,4222
1583570916,4190,4190
1583572836,4199,4199
1583574733,4192,4192
1583576676,4200,4200
1583578588,4188,4188
1583580513,4134,4134
1583582561,4124,4124
1583584609,4140,4140
1583586502,4189,4189
1583588417,4187,4187
1583590220,4163,4163
1583592050,4116,4116
1583593958,4088,4088
1583595852,4070,4070
1583597782,4052,4052
1583599717,4049,4049
1583601641,4038,4038
1583603531,3940,3940
1583605452,3891,3891
1583607395,4221,4221
1583609291,5135,5135
1583611409,8293,8293
1583613371,9750,9750
1583615329,11418,11418
1583617241,12800,12800
1583619136,14423,14423
1583621056,16311,16311
1583622998,17893,17893
1583624896,19618,19618
1583626831,21329,21329
1583628778,23456,23456
1583630655,25061,25061
1583632593,26835,26835
1583634503,28343,28343
1583636516,30054,30054
1583638362,31291,31291
1583640541,32991,32991
1583642414,34862,34862
1583644338,37058,37058
1583646280,38001,38001
1583648216,37976,37976
1583650101,37978,37978
1583652044,37978,37978
1583653934,37979,37979
1583655869,37974,37974
1583657774,37975,37975
1583659718,37969,37969
1583662601,37959,37959
1583664503,37936,37936
1583666445,37935,37935
1583668338,37890,37890
1583670255,37837,37837
1583672200,37791,37791
1583674095,37772,37772
1583676188,37780,37780
1583678178,37811,37811
1583680097,37815,37815
1583682023,37841,37841
1583683958,37860,37860
1583685882,37917,37917
1583687782,37924,37924
1583689699,37947,37947
1583691638,37960,37960
1583693535,37642,37642
1583695467,36866,36866
1583697396,33587,33587
1583699305,32308,32308
1583701440,30419,30419
1583703375,29096,29096
1583705329,27454,27454
1583707237,25585,25585
1583709139,24032,24032
1583711082,22273,22273
1583712979,20678,20678
1583714902,18520,18520
1583716854,16837,16837
1583718759,15021,15021
1583720658,13553,13553
1583722597,11812,11812
1583724518,10505,10505
1583726649,8908,8908
1583728583,6921,6921
1583730526,4829,4829
1583732421,3580,3580
1583734348,3589,3589
1583736281,3584,3584
1583738177,3600,3600
1583740098,3633,3633
1583742037,3660,3660
1583743935,3651,3651
1583745856,3669,3669
1583747797,3681,3681
1583749696,3643,3643
1583752825,3636,3636
1583754758,3642,3642
1583756660,3677,3677
1583758598,3708,3708
1583760770,3718,3718
1583762699,3717,3717
1583764716,3726,3726
1583766525,3714,3714
1583768422,3691,3691
1583770340,3706,3706
1583772291,3656,3656
1583774198,3631,3631
1583776107,3611,3611
1583778041,3607,3607
1583779955,3531,3531
1583781886,3543,3543
1583783801,3543,3543
1583785696,3570,3570
1583788816,3598,3598
1583790757,3603,3603
1583792656,3592,3592
1583794587,3600,3600
1583796522,3619,3619
1583798607,3619,3619
1583800595,3628,3628
1583802516,3645,3645
1583804436,3667,3667
1583806342,3699,3699
1583808278,3703,3703
1583810175,3732,3732
1583812094,3750,3750
1583814035,3766,3766
1583815955,3814,3814
1583817853,3839,3839
1583819771,3851,3851
1583821697,3885,3885
1583823746,3888,3888
1583825585,3870,3870
1583827480,3850,3850
1583829374,3832,3832
1583831302,3817,3817
1583833236,3815,3815
1583835195,3790,3790
1583837052,3792,3792
1583839010,3801,3801
1583840893,3785,3785
1583842833,3793,3793
1583844753,3778,3778
1583846681,3768,3768
1583848568,3793,3793
1583850752,3798,3798
1583852617,3831,3831
1583854573,3847,3847
1583856493,3843,3843
1583858421,3828,3828
1583860608,3869,3869
1583862491,3912,3912
1583864414,3940,3940
1583866346,3965,3965
1583868272,3942,3942
1583870216,3938,3938
1583872128,3966,3966
1583875222,3947,3947
1583877131,3915,3915
1583879058,3899,3899
1583880978,3929,3929
1583882891,3906,3906
1583884896,3886,3886
1583886750,3879,3879
1583888739,3865,3865
1583890574,3828,3828
1583892505,3819,3819
1583894455,3809,3809
1583896335,3824,3824
1583898263,3801,3801
1583900211,3797,3797
1583902118,3773,3773
1583904016,3775,3775
1583905940,3782,3782
1583907863,3767,3767
1583909785,3799,3799
1583911697,3813,3813
1583913705,3829,3829
1583915541,3844,3844
1583917470,3839,3839
1583919371,3858,3858
1583921295,3882,3882
1583923213,3894,3894
1583925160,3904,3904
1583927055,3956,3956
1583928994,3940,3940
1583930901,3946,3946
1583932817,3939,3939
1583934792,3945,3945
1583936660,3953,3953
1583938603,3959,3959
1583940528,3950,3950
1583942591,3963,3963
1583944596,3946,3946
1583946517,3918,3918
1583948411,3909,3909
1583950336,3949,3949
1583952267,3923,3923
1583954203,3937,3937
1583956093,3946,3946
1583958008,3903,3903
1583959930,3952,3952
1583961858,3983,3983
1583963778,3997,3997
1583965689,4009,4009
1583968594,4004,4004
1583970499,4008,4008
1583972416,3996,3996
1583974329,3992,3992
1583976258,3963,3963
1583978185,3963,3963
1583980094,3981,3981
1583982350,3989,3989
1583984174,4023,4023
1583986091,4052,4052
1583988046,4111,4111
1583989937,4168,4168
1583991860,4202,4202
1583993781,4262,4262
1583995700,4280,4280
1583997612,4321,4321
1583999531,4377,4377
1584001454,4431,4431
1584003410,4485,4485
1584005377,4570,4570
1584007328,4624,4624
1584009230,4735,4735
1584011302,4819,4819
1584013215,4908,4908
1584015196,5056,5056
1584017061,5166,5166
1584019004,5194,5194
1584020929,5209,5209
1584022832,5296,5296
1584024734,5413,5413
1584026548,5488,5488
1584028361,5580,5580
1584030270,5607,5607
1584032195,5632,5632
1584034119,5665,5665
1584036282,5625,5625
1584038174,5619,5619
1584040131,5635,5635
1584042077,5615,5615
1584043967,5598,5598
1584045894,5587,5587
1584047806,5507,5507
1584049948,5468,5468
1584051858,5424,5424
1584053790,5434,5434
1584055698,5418,5418
1584057830,5429,5429
1584059792,5425,5425
1584061693,5440,5440
1584063614,5448,5448
1584065542,5449,5449
1584067457,5439,5439
1584069375,5441,5441
1584071303,5395,5395
1584073216,5374,5374
1584075134,5320,5320
1584077067,5255,5255
1584078975,5212,5212
1584080891,5175,5175
1584083024,5138,5138
1584084985,5057,5057
1584086891,4981,4981
1584088816,4939,4939
1584090740,4870,4870
1584092656,4824,4824
1584094579,4747,4747
1584096517,4583,4583
1584098411,4497,4497
1584100331,4356,4356
1584102254,4207,4207
1584104170,4146,4146
1584106092,4094,4094
1584108978,3942,3942
1584110902,3786,3786
1584112819,3704,3704
1584114737,3605,3605
1584116684,3463,3463
1584118573,3411,3411
1584120493,3381,3381
1584123417,3409,3409
1584125317,3448,3448
1584127270,3453,3453
1584129175,3450,3450
1584131064,3465,3465
1584132975,3475,3475
1584134895,3491,3491
1584136987,3488,3488
1584138985,3460,3460
1584140897,3416,3416
1584142838,3380,3380
1584144739,3374,3374
1584146662,3369,3369
1584148584,3371,3371
1584150498,3356,3356
1584152421,3323,3323
1584154359,3329,3329
1584156259,3340,3340
1584158178,3334,3334
1584160104,3343,3343
1584163003,3353,3353
1584164900,3356,3356
1584166826,3368,3368
1584168739,3438,3438
1584170681,3425,3425
1584172576,3416,3416
1584174495,3416,3416
1584176587,3393,3393
1584178575,3388,3388
1584180492,3412,3412
1584182430,3424,3424
1584184362,3434,3434
1584186255,3424,3424
1584188188,3435,3435
1584190100,3435,3435
1584192024,3421,3421
1584193938,3424,3424
1584195858,3430,3430
1584197777,3457,3457
1584199695,3485,3485
1584202575,3506,3506
1584204501,3520,3520
1584206416,3504,3504
1584208332,3505,3505
1584210254,3504,3504
1584212173,3496,3496
1584214094,3497,3497
1584216269,3496,3496
1584218178,3606,3606
1584220120,3604,3604
1584222012,3592,3592
1584223939,3592,3592
1584225855,3603,3603
1584228022,3627,3627
1584229940,3635,3635
1584231854,3639,3639
1584233780,3629,3629
1584235712,3636,3636
1584237920,3625,3625
1584239777,3638,3638
1584241946,3633,3633
1584243871,3623,3623
1584245796,3607,3607
1584247704,3599,3599
1584249614,3617,3617
1584251535,3609,3609
1584253456,3606,3606
1584255407,3557,3557
1584257332,3565,3565
1584259481,3623,3623
1584261375,3645,3645
1584263313,3678,3678
1584265215,3689,3689
1584267147,3733,3733
1584269098,3740,3740
1584271017,3752,3752
1584272895,3775,3775
1584274813,3790,3790
1584276732,3790,3790
1584278682,3792,3792
1584280571,3901,3901
1584282491,3924,3924
1584285403,3946,3946
1584287298,3969,3969
1584289240,3970,3970
1584291134,3980,3980
1584293050,3988,3988
1584295016,3987,3987
1584296891,3965,3965
1584298975,3950,3950
1584300779,3934,3934
1584302712,4005,4005
1584304831,4194,4194
1584306762,4205,4205
1584308656,4208,4208
1584310575,4200,4200
1584312516,4191,4191
1584314412,4171,4171
1584316353,4156,4156
1584318252,4170,4170
1584320186,4170,4170
1584322093,4166,4166
1584324985,4152,4152
1584326914,4139,4139
1584328811,4132,4132
1584330742,4114,4114
1584332674,4095,4095
1584334574,4092,4092
1584336495,4096,4096
1584338470,4105,4105
1584340426,4128,4128
1584343456,4178,4178
1584345393,4139,4139
1584347294,4135,4135
1584350175,4121,4121
1584352096,4114,4114
1584354028,4103,4103
1584355964,4112,4112
1584357875,4128,4128
1584359789,4148,4148
1584361700,4167,4167
1584363731,4312,4312
1584365538,4537,4537
1584367716,4464,4464
1584369622,4482,4482
1584371537,4484,4484
1584373477,4470,4470
1584375350,4521,4521
1584377303,4549,4549
1584379237,4551,4551
1584381133,4611,4611
1584384278,4924,4924
1584386183,5061,5061
1584388134,5060,5060
1584390036,4909,4909
1584391967,4744,4744
1584393852,4776,4776
1584395799,4790,4790
1584397712,4785,4785
1584399761,4813,4813
1584401772,4812,4812
1584403714,4822,4822
1584405615,4820,4820
1584407535,4834,4834
1584409483,4849,4849
1584411402,4839,4839
1584413317,4850,4850
1584415212,4848,4848
1584417131,4845,4845
1584419073,4853,4853
1584420972,4849,4849
1584422890,4830,4830
1584424878,4790,4790
1584426759,4768,4768
1584428690,4750,4750
1584430593,4738,4738
1584432522,4770,4770
1584434418,4754,4754
1584436365,4746,4746
1584438253,4782,4782
1584440184,4778,4778
1584442117,4804,4804
1584444042,4787,4787
1584445950,4783,4783
1584447875,4767,4767
1584449793,4687,4687
1584451704,4419,4419
1584453735,4412,4412
1584455565,4433,4433
1584457507,4420,4420
1584459380,4402,4402
1584461309,4359,4359
1584463464,4366,4366
1584465390,4366,4366
1584467331,4309,4309
1584469214,4146,4146
1584471161,3959,3959
1584473107,3883,3883
1584474973,3967,3967
1584476892,3976,3976
1584479788,3979,3979
1584481720,3981,3981
1584483621,4023,4023
1584485539,4010,4010
1584487474,4034,4034
1584489411,4071,4071
1584491542,4319,4319
1584493511,4345,4345
1584495397,4358,4358
1584497308,4432,4432
1584499395,4615,4615
1584501199,4963,4963
1584503180,5359,5359
1584505150,5745,5745
1584507127,5978,5978
1584509073,6001,6001
1584510971,6096,6096
1584512891,6139,6139
1584514961,6208,6208
1584516990,6213,6213
1584518903,6221,6221
1584520812,6226,6226
1584522792,6270,6270
1584524676,6260,6260
1584526603,6261,6261
1584528516,6267,6267
1584530454,6282,6282
