DateTime,AddedIPs,RemovedIPs
1582008973,3,0
1582010897,2,0
1582014996,2,1
1582018817,0,5
1582022654,2,0
1582024573,0,3
1582028437,0,7
1582032281,0,3
1582034175,0,2
1582038307,2,1
1582044019,1,0
1582045955,0,1
1582047858,0,1
1582051725,0,5
1582053622,2,0
1582055546,5,0
1582064438,6,0
1582066395,1,0
1582070224,1,1
1582072156,2,7
1582074342,2,4
1582076193,4,6
1582078116,0,2
1582080017,1,0
1582081953,1,0
1582085794,1,0
1582087714,4,6
1582091534,0,1
1582093473,3,8
1582095384,1,3
1582097294,0,3
1582099392,2,0
1582101398,0,2
1582103310,0,1
1582109065,0,2
1582110984,1,0
1582124565,5,2
1582130412,2,1
1582140043,5,2
1582141931,0,5
1582145786,1,0
1582149625,0,5
1582151555,1,1
1582153544,1,1
1582157323,6,1
1582159219,0,1
1582161151,4,4
1582163061,2,4
1582164991,0,1
1582166900,1,1
1582172658,0,1
1582174592,16,2
1582176493,3,0
1582178609,1,0
1582180570,1,3
1582182506,0,1
1582184452,0,2
1582188269,1,0
1582190190,1,0
1582197849,4,1
1582205793,2,0
1582211540,0,5
1582215397,0,2
1582221137,3,0
1582226935,0,5
1582232901,0,1
1582234824,1,0
1582237692,1,1
1582239775,0,1
1582243703,3,3
1582245614,1,0
1582247546,5,5
1582249450,7,2
1582253311,0,1
1582255219,1,0
1582257146,1,0
1582260975,13,16
1582262916,0,3
1582264955,1,1
1582266785,0,1
1582268769,1,0
1582274415,0,1
1582276353,1,1
1582284257,0,4
1582286189,1,0
1582292188,0,2
1582307548,0,2
1582313293,4,0
1582322180,3,1
1582324095,4,1
1582328910,8,0
1582330813,0,6
1582332731,1,6
1582334669,6,4
1582336573,2,1
1582338491,2,0
1582341616,0,1
1582343546,3,1
1582347373,4,14
1582351294,0,1
1582353150,5,0
1582354980,0,2
1582363002,8,1
1582370654,1,0
1582372587,0,1
1582374502,5,0
1582378610,1,0
1582380506,2,0
1582382421,4,0
1582384340,1,0
1582390097,1,0
1582395854,1,0
1582399692,0,4
1582405720,4,0
1582409536,0,3
1582411471,0,4
1582415325,0,8
1582417219,4,0
1582419131,0,1
1582421072,5,6
1582422974,9,2
1582424893,0,2
1582429038,1,2
1582430920,0,1
1582434752,11,5
1582436655,5,0
1582438581,5,4
1582442421,1,0
1582448197,0,1
1582450093,0,5
1582452295,2,0
1582454188,2,0
1582458076,1,1
1582461883,0,5
1582465714,0,1
1582467615,0,6
1582469536,0,1
1582473393,1,0
1582477412,0,1
1582481311,2,0
1582483274,0,1
1582490913,0,4
1582494738,20,0
1582496668,3,0
1582503372,1,4
1582505327,1,0
1582507234,5,8
1582509129,5,9
1582511066,7,0
1582515139,0,1
1582517091,1,0
1582518988,1,0
1582520905,11,8
1582522815,0,3
1582524747,3,6
1582526659,2,0
1582528601,9,1
1582536269,2,0
1582538191,0,2
1582540134,0,2
1582545151,0,1
1582559529,0,1
1582567339,10,4
1582570973,4,0
1582574892,15,0
1582576824,4,0
1582580658,0,19
1582582577,1,3
1582584514,3,0
1582588356,8,0
1582590266,1,1
1582592171,14,1
1582594090,1,6
1582596142,4,6
1582598183,0,7
1582603959,0,1
1582605859,3,2
1582607774,6,9
1582609706,0,1
1582611610,2,1
1582613530,0,2
1582615465,0,9
1582623409,0,1
1582633230,1,0
1582640891,1,0
1582652664,0,10
1582656503,0,4
1582662253,0,19
1582668979,0,1
1582670897,0,3
1582674740,1,9
1582676674,1,1
1582678589,1,14
1582680505,0,1
1582682571,1,4
1582684595,4,0
1582686507,5,0
1582692259,0,5
1582694202,0,7
1582698018,5,2
1582699948,2,0
1582704984,5,0
1582706909,1,0
1582708828,0,1
1582718521,0,1
1582726339,0,1
1582754596,1,0
1582760412,1,0
1582762370,0,1
1582764276,0,2
1582770015,0,4
1582771935,2,5
1582773867,3,0
1582785385,6,6
1582787300,1,0
1582789213,0,2
1582791176,0,4
1582793052,0,1
1582816640,5,0
1582820426,1,0
1582839873,0,1
1582843716,1,0
1582847536,1,1
1582849451,1,0
1582853287,4,0
1582857372,0,1
1582859318,0,3
1582861301,0,2
1582865053,1,0
1582866990,1,0
1582870822,0,6
1582874659,0,1
1582878497,1,0
1582884519,4,0
1582894098,5,0
1582899858,1,0
1582901789,0,4
