DateTime,Entries,UniqueIPs
1583547377,2465,2465
1583549296,2482,2482
1583551219,2493,2493
1583553135,2515,2515
1583555058,2555,2555
1583556969,2581,2581
1583558900,2601,2601
1583562027,2621,2621
1583563932,2602,2602
1583565876,2603,2603
1583567775,2618,2618
1583569720,2614,2614
1583571770,2616,2616
1583573823,2610,2610
1583575728,2595,2595
1583577643,2601,2601
1583579541,2582,2582
1583581451,2534,2534
1583583405,2540,2540
1583585320,2561,2561
1583587227,2589,2589
1583589132,2600,2600
1583591070,2564,2564
1583592973,2547,2547
1583594897,2530,2530
1583596890,2509,2509
1583598734,2517,2517
1583600617,2524,2524
1583602575,2456,2456
1583604521,2365,2365
1583606413,2331,2331
1583608336,2272,2272
1583610274,2239,2239
1583612176,2226,2226
1583614094,2207,2207
1583616015,2211,2211
1583617951,2206,2206
1583619874,2182,2182
1583621771,2197,2197
1583623715,2201,2201
1583625655,2197,2197
1583627537,2197,2197
1583629490,2218,2218
1583631378,2207,2207
1583633336,2223,2223
1583635221,2208,2208
1583637145,2195,2195
1583639084,2182,2182
1583640992,2157,2157
1583642909,2125,2125
1583644843,2126,2126
1583646740,2138,2138
1583648670,2117,2117
1583650601,2143,2143
1583652503,2129,2129
1583654677,2121,2121
1583656576,2128,2128
1583658494,2135,2135
1583660436,2108,2108
1583662340,2142,2142
1583664277,2133,2133
1583666175,2118,2118
1583668099,2104,2104
1583670035,2086,2086
1583671933,2051,2051
1583673856,2038,2038
1583675793,2041,2041
1583677714,2063,2063
1583679757,2078,2078
1583681799,2115,2115
1583683699,2127,2127
1583685614,2180,2180
1583687543,2204,2204
1583689485,2218,2218
1583691383,2237,2237
1583693301,2241,2241
1583695240,2238,2238
1583697134,2245,2245
1583699061,2255,2255
1583700998,2259,2259
1583702923,2240,2240
1583705059,2282,2282
1583706976,2272,2272
1583708928,2259,2259
1583710819,2238,2238
1583712742,2261,2261
1583714680,2273,2273
1583716579,2234,2234
1583718499,2241,2241
1583720438,2245,2245
1583722339,2252,2252
1583724258,2254,2254
1583726175,2272,2272
1583728093,2259,2259
1583730168,2246,2246
1583732201,2263,2263
1583734120,2256,2256
1583736023,2246,2246
1583737935,2268,2268
1583739879,2299,2299
1583741796,2325,2325
1583743717,2315,2315
1583745636,2311,2311
1583747553,2305,2305
1583749454,2276,2276
1583751396,2280,2280
1583753313,2270,2270
1583755380,2278,2278
1583757373,2299,2299
1583759319,2318,2318
1583761236,2302,2302
1583763136,2292,2292
1583765087,2293,2293
1583766977,2273,2273
1583768898,2247,2247
1583770862,2231,2231
1583772756,2180,2180
1583774663,2156,2156
1583776608,2128,2128
1583778510,2112,2112
1583780557,2103,2103
1583782582,2102,2102
1583784530,2100,2100
1583786418,2116,2116
1583788611,2120,2120
1583790501,2095,2095
1583792419,2103,2103
1583794357,2098,2098
1583796256,2088,2088
1583798178,2076,2076
1583800099,2054,2054
1583802155,2062,2062
1583804175,2062,2062
1583806097,2072,2072
1583808016,2067,2067
1583809935,2065,2065
1583811882,2084,2084
1583813775,2082,2082
1583815696,2119,2119
1583817614,2142,2142
1583819562,2147,2147
1583821461,2172,2172
1583823397,2189,2189
1583825294,2167,2167
1583828208,2123,2123
1583830110,2124,2124
