DateTime,Entries,UniqueIPs
1583547141,10434,10434
1583549063,10425,10425
1583550981,10428,10428
1583552916,10405,10405
1583554827,10434,10434
1583556761,10449,10449
1583558665,10476,10476
1583560611,10461,10461
1583562496,10479,10479
1583565435,10469,10469
1583567303,10468,10468
1583569260,10477,10477
1583571164,10470,10470
1583573080,10449,10449
1583574979,10451,10451
1583576924,10439,10439
1583580053,10425,10425
1583581959,10400,10400
1583583886,10390,10390
1583585778,10366,10366
1583587698,10372,10372
1583589868,10353,10353
1583591777,10304,10304
1583593695,10392,10392
1583595618,10419,10419
1583597572,10349,10349
1583599458,10345,10345
1583601384,10316,10316
1583603300,10310,10310
1583605246,10284,10284
1583607138,10577,10577
1583609059,11300,11300
1583611003,11532,11532
1583612893,11533,11533
1583615003,11536,11536
1583616972,11511,11511
1583618896,11499,11499
1583620835,11527,11527
1583622745,11516,11516
1583624657,11517,11517
1583626601,11538,11538
1583628499,11563,11563
1583630447,11571,11571
1583632335,9678,9678
1583634261,9703,9703
1583636212,9722,9722
1583638100,9662,9662
1583640264,9656,9656
1583642178,9641,9641
1583644117,9630,9630
1583646017,9579,9579
1583647957,9578,9578
1583649875,9585,9585
1583651777,9591,9591
1583653698,9838,9838
1583655614,9906,9906
1583657559,9967,9967
1583659455,9991,9991
1583661387,10011,10011
1583663563,10047,10047
1583665494,10042,10042
1583667375,10043,10043
1583669327,10060,10060
1583671217,10085,10085
1583673172,10107,10107
1583675075,10123,10123
1583677001,10114,10114
1583678907,10087,10087
1583680814,9975,9975
1583682734,9960,9960
1583684711,9974,9974
1583686574,9985,9985
1583688505,10022,10022
1583690577,11892,11892
1583692580,12920,12920
1583694527,13393,13393
1583696415,12820,12820
1583698339,12830,12830
1583700276,12858,12858
1583702200,12855,12855
1583704097,12864,12864
1583706060,12853,12853
1583707932,12831,12831
1583709855,12821,12821
1583711831,12886,12886
1583713695,13989,13989
1583715786,15356,15356
1583717774,16848,16848
1583719740,18121,18121
1583721618,19297,19297
1583723540,20321,20321
1583725457,21442,21442
1583727381,22435,22435
1583729297,23660,23660
1583731241,24612,24612
1583733131,25968,25968
1583735056,26755,26755
1583737009,27741,27741
1583738889,28418,28418
1583741798,29676,29676
1583743718,30709,30709
1583745637,31614,31614
1583747554,32655,32655
1583749455,33507,33507
1583751397,35593,35593
1583753314,36431,36431
1583755445,37425,37425
1583757375,38315,38315
1583759320,39086,39086
1583761238,40033,40033
1583763138,40611,40611
1583765089,40618,40618
1583766979,40645,40645
1583768900,40681,40681
1583770864,40708,40708
1583772758,40747,40747
1583774665,40818,40818
1583776609,41324,41324
1583778512,41941,41941
1583780578,41968,41968
1583782584,42002,42002
1583784532,42044,42044
1583786421,41663,41663
1583788613,40320,40320
1583790503,39872,39872
1583792422,39877,39877
1583794359,39899,39899
1583796258,39916,39916
1583798179,39903,39903
1583800100,38760,38760
1583802169,37356,37356
1583804176,35826,35826
1583806098,34576,34576
1583808017,33372,33372
1583809936,32355,32355
1583811884,30883,30883
1583813777,29920,29920
1583815697,28704,28704
1583817616,27793,27793
1583819564,26429,26429
1583821490,25635,25635
1583823399,24690,24690
1583825295,23925,23925
1583828210,22767,22767
1583830112,21798,21798
1583832018,20929,20929
1583833966,19912,19912
1583835896,19108,19108
1583837787,17590,17590
1583839771,17534,17534
1583841875,17523,17523
1583843779,17446,17446
1583845696,17311,17311
1583847614,17119,17119
1583849560,17232,17232
1583851453,18135,18135
1583853400,18612,18612
1583855298,18888,18888
1583857248,19179,19179
1583859164,20229,20229
1583861081,21592,21592
1583863004,23127,23127
1583864921,23995,23995
1583868036,26736,26736
1583869951,28964,28964
1583871892,30241,30241
1583873775,32034,32034
1583875689,32436,32436
1583877728,32775,32775
1583879558,33083,33083
1583883375,33713,33713
1583885341,34113,34113
1583887216,34515,34515
1583889145,34869,34869
1583891068,35287,35287
1583892983,35652,35652
1583894902,36050,36050
1583896822,36395,36395
1583898762,36519,36519
1583900667,36852,36852
1583902582,37262,37262
1583904495,37557,37557
1583906702,37958,37958
1583908605,38350,38350
1583910508,38645,38645
1583912422,38910,38910
1583914339,39065,39065
1583916261,39331,39331
1583918186,39610,39610
1583920100,39887,39887
1583922020,40181,40181
1583923949,39969,39969
1583925856,39846,39846
1583927849,39531,39531
1583929699,39331,39331
1583931869,39250,39250
1583933782,38946,38946
1583935711,38713,38713
1583937661,38177,38177
1583939545,37998,37998
1583941486,37900,37900
1583943419,37908,37908
1583945314,36761,36761
1583947244,35278,35278
1583949157,34296,34296
1583951090,33350,33350
1583953017,32452,32452
1583954905,31730,31730
1583957097,30750,30750
1583959000,29959,29959
1583960928,28842,28842
1583962821,28854,28854
1583964764,28834,28834
1583966679,28814,28814
1583968600,28812,28812
1583970504,28603,28603
1583972424,28324,28324
1583974335,27838,27838
1583976262,27371,27371
1583979139,26773,26773
1583981063,26391,26391
1583982978,26006,26006
1583984907,25253,25253
1583986830,24899,24899
1583988735,24482,24482
1583990667,24116,24116
1583992576,23701,23701
1583994530,23316,23316
1583996676,22896,22896
1583998583,22483,22483
1584000511,22128,22128
1584002395,21729,21729
1584004418,21377,21377
1584006283,21018,21018
1584008199,20677,20677
1584010122,20368,20368
1584012049,20035,20035
1584013977,19639,19639
1584015879,19325,19325
1584017779,18920,18920
1584019699,18643,18643
1584021835,18309,18309
1584023794,18050,18050
1584025711,17753,17753
1584027644,17470,17470
1584029547,17205,17205
1584031489,16965,16965
1584033386,16624,16624
1584035304,16291,16291
1584037222,16035,16035
1584039166,15753,15753
1584041088,15452,15452
1584043010,15044,15044
1584044894,14691,14691
1584047074,14366,14366
1584048984,14353,14353
1584050941,14289,14289
1584052822,13841,13841
1584054738,13406,13406
1584056694,13094,13094
1584058581,12926,12926
