DateTime,Entries,UniqueIPs
1583549064,4197,4197
1583550982,4209,4209
1583552917,4209,4209
1583554828,4212,4212
1583556762,4225,4225
1583558666,4252,4252
1583560612,4248,4248
1583562497,4265,4265
1583565436,4249,4249
1583567305,4223,4223
1583569262,4240,4240
1583571165,4249,4249
1583573081,4252,4252
1583574980,4249,4249
1583576925,4248,4248
1583580055,4255,4255
1583581960,4258,4258
1583583887,4257,4257
1583585780,4236,4236
1583587699,4240,4240
1583589873,4237,4237
1583591778,4176,4176
1583593696,4153,4153
1583595619,4135,4135
1583597573,4077,4077
1583599459,4053,4053
1583601385,4041,4041
1583603301,4023,4023
1583605247,4018,4018
1583607140,4309,4309
1583609061,5040,5040
1583611004,5258,5258
1583612894,5260,5260
1583615050,5258,5258
1583616974,5165,5165
1583618897,5144,5144
1583620837,5149,5149
1583622746,5108,5108
1583624659,5097,5097
1583626602,5116,5116
1583628501,5128,5128
1583630449,5131,5131
1583632337,5127,5127
1583634262,5144,5144
1583636213,5125,5125
1583638101,5114,5114
1583640277,5096,5096
1583642180,5085,5085
1583644119,5073,5073
1583646020,5035,5035
1583647959,5014,5014
1583649877,5000,5000
1583651780,5022,5022
1583653700,5061,5061
1583655616,5079,5079
1583657561,5099,5099
1583659457,5102,5102
1583661388,5097,5097
1583663564,5108,5108
1583665496,5106,5106
1583667377,5107,5107
1583669329,5119,5119
1583671219,5157,5157
1583673174,5167,5167
1583675076,5180,5180
1583677002,5183,5183
1583678909,5161,5161
1583680816,5140,5140
1583682735,5136,5136
1583684712,5149,5149
1583686576,5133,5133
1583688507,5153,5153
1583690616,5153,5153
1583692581,5138,5138
1583694528,4614,4614
1583696416,3904,3904
1583698340,3888,3888
1583700278,3900,3900
1583702201,3902,3902
1583704099,3902,3902
1583706062,3884,3884
1583707933,3864,3864
1583709856,3880,3880
1583711833,3850,3850
1583713696,3813,3813
1583715845,3800,3800
1583717775,3779,3779
1583719741,3748,3748
1583721619,3725,3725
1583723541,3710,3710
1583725459,3713,3713
1583727382,3697,3697
1583729298,3671,3671
1583731242,3659,3659
1583733133,3668,3668
1583735057,3655,3655
1583737010,3640,3640
1583738891,3603,3603
1583740920,3580,3580
1583742759,3537,3537
1583744669,3536,3536
1583746576,3551,3551
1583748542,3529,3529
1583750427,3530,3530
1583752338,3514,3514
1583754263,3488,3488
1583756189,3466,3466
1583758094,3409,3409
1583760040,3391,3391
1583761956,3370,3370
1583763856,3350,3350
1583765798,3349,3349
1583767692,3335,3335
1583769712,3347,3347
1583771563,3364,3364
1583773529,3359,3359
1583775384,3382,3382
1583777334,5542,5542
1583779235,6405,6405
1583781146,6404,6404
1583783062,6419,6419
1583784982,6448,6448
1583786902,6460,6460
1583788820,6450,6450
1583790762,6463,6463
1583792674,6491,6491
1583794595,6503,6503
1583796527,6516,6516
1583798642,6541,6541
1583800600,6571,6571
1583802520,6613,6613
1583804440,6631,6631
1583806349,6658,6658
1583808283,6667,6667
1583810178,6675,6675
1583812101,6701,6701
1583814039,6719,6719
1583815960,6740,6740
1583817857,6770,6770
1583819776,6803,6803
1583821706,6830,6830
1583823920,6851,6851
1583825781,6905,6905
1583827699,6954,6954
1583829640,6947,6947
1583831539,6961,6961
1583833452,6963,6963
1583835377,6969,6969
1583837297,7212,7212
1583839230,7583,7583
1583841173,8183,8183
1583843059,8600,8600
1583844975,8956,8956
1583846925,9323,9323
1583849776,9844,9844
1583851901,10312,10312
1583853865,10702,10702
1583855782,11012,11012
1583857726,11348,11348
1583859893,11716,11716
1583861808,12149,12149
1583863703,10841,10841
1583865623,10468,10468
1583867561,10907,10907
1583869472,11421,11421
1583871427,11854,11854
1583873322,12355,12355
1583875231,12811,12811
1583877138,13314,13314
1583879063,13788,13788
1583880983,14330,14330
1583882896,14805,14805
1583884990,15364,15364
1583886971,15899,15899
1583888893,16312,16312
1583890829,16872,16872
1583892737,17352,17352
1583894686,17832,17832
1583896580,18253,18253
1583898492,18703,18703
1583900412,19105,19105
1583902330,19595,19595
1583904253,20029,20029
1583906175,20495,20495
1583908092,20951,20951
1583910157,21407,21407
1583912173,21818,21818
1583914101,22178,22178
1583916016,22605,22605
1583917940,22984,22984
1583919864,23425,23425
1583921773,23814,23814
1583923698,23935,23935
1583925614,24008,24008
1583927532,23961,23961
1583929454,23939,23939
1583931374,24057,24057
1583933293,24059,24059
1583935415,24093,24093
1583937375,24022,24022
1583939181,23952,23952
1583941002,23921,23921
1583942900,23915,23915
1583944842,23818,23818
1583946755,23803,23803
1583948658,23748,23748
1583950619,23631,23631
1583952512,23541,23541
1583954454,23462,23462
1583956335,23372,23372
1583958277,23419,23419
1583960187,23365,23365
1583962096,23324,23324
1583964189,23313,23313
1583966199,23292,23292
1583968091,23279,23279
1583970013,23226,23226
1583971946,22769,22769
1583973855,22296,22296
1583975777,21847,21847
1583977699,21360,21360
