DateTime,AddedIPs,RemovedIPs
1583551220,5,5
1583553136,4,1
1583555058,4,1
1583556970,6,1
1583558903,5,3
1583562028,6,5
1583563933,2,4
1583565881,4,6
1583567787,3,2
1583569747,1,4
1583571777,4,2
1583573825,2,6
1583575730,1,3
1583577647,2,2
1583579542,4,3
1583581452,6,7
1583583405,4,1
1583585320,2,5
1583587228,1,3
1583589133,6,5
1583591070,6,4
1583592975,4,1
1583594899,3,3
1583596913,4,3
1583598735,4,6
1583600682,5,3
1583602576,5,3
1583604521,0,6
1583606414,4,2
1583608337,6,3
1583610275,6,5
1583612176,6,5
1583614094,1,0
1583616017,6,2
1583617952,3,3
1583619875,2,3
1583621772,3,4
1583623717,2,3
1583625686,4,7
1583627539,1,2
1583629497,5,5
1583631379,6,2
1583633343,7,5
1583635223,3,3
1583637147,4,4
1583639085,2,5
1583640994,5,5
1583642911,6,4
1583644844,1,5
1583646741,2,4
1583648671,4,4
1583650602,3,2
1583652504,2,4
1583654683,4,4
1583656577,10,1
1583658495,7,3
1583660437,2,3
1583662341,3,0
1583664278,7,4
1583666176,0,4
1583668100,3,4
1583670035,2,4
1583671934,1,2
1583673857,1,3
1583675793,4,4
1583677715,5,6
1583679785,5,4
1583681800,7,6
1583683700,4,3
1583685615,4,2
1583687546,8,6
1583689489,3,4
1583691384,4,0
1583693305,2,5
1583695242,1,5
1583697135,2,8
1583699061,0,4
1583700999,3,3
1583702925,3,5
1583705077,6,3
1583706979,1,2
1583708929,3,3
1583710823,3,2
1583712744,2,3
1583714684,3,3
1583716583,2,4
1583718503,3,9
1583720441,4,3
1583722341,5,5
1583724262,2,4
1583726177,7,1
1583728095,4,6
1583730170,4,5
1583732202,1,1
1583734121,4,4
1583736030,5,3
1583737937,4,1
1583739880,4,4
1583741799,4,6
1583743720,2,10
1583745643,3,3
1583747555,3,4
1583749457,3,4
1583751401,1,4
1583753315,5,3
1583755461,4,2
1583757375,4,1
1583759321,7,0
1583761239,3,3
1583763138,5,7
1583765089,3,3
1583766980,1,4
1583768900,1,6
1583770865,3,5
1583772758,7,6
1583774665,4,5
1583776612,5,2
1583778513,4,4
1583780586,3,2
1583782586,3,2
1583784533,3,1
1583786421,2,1
1583788614,2,3
1583790507,4,7
1583792422,4,2
1583794360,5,3
1583796259,3,2
1583798182,6,1
1583800101,6,3
1583802178,4,3
1583804178,7,3
1583806099,7,4
1583808018,1,1
1583809936,7,6
1583811884,5,5
1583813777,6,4
1583815701,2,5
1583817616,2,3
1583819564,5,3
1583821491,1,5
1583823399,2,3
1583825300,5,4
1583828212,3,6
1583830112,4,2
1583832019,2,3
1583833967,3,3
1583835897,3,3
1583837788,4,1
1583839772,2,4
1583841891,2,4
1583843783,5,4
1583845697,2,7
1583847615,4,3
1583849560,3,5
1583851454,0,3
1583853401,4,1
1583855299,6,1
1583857250,2,3
1583859164,4,7
1583861082,8,4
1583863005,0,5
1583864921,2,4
1583868036,6,6
1583869955,2,0
1583871893,5,4
1583873776,3,2
1583875690,4,2
1583877753,1,4
1583879560,4,6
1583883375,6,7
1583885342,3,7
1583887217,6,5
1583889146,5,2
1583891072,2,11
1583892983,5,3
1583894902,4,3
1583896824,3,7
1583898763,3,4
1583900673,3,6
1583902583,4,2
1583904499,3,3
1583906712,3,3
1583908608,5,2
1583910513,2,4
1583912423,3,3
1583914340,4,2
1583916261,2,4
1583918188,2,2
1583920101,7,3
1583922021,1,1
1583923950,3,4
1583925857,2,3
1583927851,5,3
1583929700,6,4
1583931870,2,2
1583933782,4,5
1583935712,4,3
1583937662,4,0
1583939547,7,4
1583941489,6,5
1583943423,4,3
1583945314,5,4
1583947245,2,5
1583949159,1,3
1583951090,1,2
1583953017,1,2
1583954909,5,4
1583957102,4,3
1583959001,3,5
1583960929,5,4
1583962823,2,2
1583964764,7,1
1583966679,5,4
1583968603,4,4
1583970505,0,4
1583972425,2,3
1583974335,3,5
1583976263,1,4
1583978239,5,5
1583980103,3,3
1583982414,4,6
1583984420,2,3
1583986339,3,3
1583988266,4,4
1583990208,5,3
1583992101,2,1
1583994020,1,4
1583995937,7,3
1583997886,4,5
1583999777,3,1
1584001727,3,5
1584003928,3,2
1584006053,6,7
1584007941,7,1
1584009860,5,2
1584011788,2,3
1584013725,5,5
1584015627,6,6
1584017537,6,3
1584019478,4,1
1584021396,2,7
1584023314,5,2
1584025386,6,9
1584027645,3,6
1584029548,6,4
1584031490,4,5
1584033390,3,2
1584035305,1,1
1584037223,3,1
1584039166,2,1
1584041089,5,3
1584043010,0,6
1584044894,3,2
1584047090,4,2
1584048986,3,6
1584050945,3,7
1584052823,5,2
1584054739,3,7
1584056694,3,0
1584058583,5,2
1584060510,4,2
1584062419,5,2
1584064356,1,5
1584066297,4,3
1584068188,5,4
1584070109,7,2
1584072303,5,3
1584074185,3,3
1584076138,6,5
1584078028,2,1
1584079953,2,2
1584081862,2,7
1584083813,7,5
1584085708,5,2
1584087638,2,3
1584089547,4,3
1584091472,3,5
1584093409,7,3
1584095303,4,10
1584098235,8,3
1584100106,7,5
1584102062,5,6
1584103986,2,6
1584105865,5,4
1584107782,5,2
1584109710,3,5
1584111837,1,5
1584113667,2,3
1584115480,2,5
1584117379,2,5
1584119329,2,4
1584121222,3,1
1584123464,4,2
1584125324,4,2
1584127277,1,4
1584129181,1,2
1584131071,8,1
1584132984,5,5
1584134902,4,4
