DateTime,AddedIPs,RemovedIPs
1583549298,3,1
1583551220,3,1
1583553136,7,3
1583555059,5,6
1583556970,4,0
1583558903,5,2
1583562028,2,5
1583563933,3,3
1583565881,9,1
1583567788,5,4
1583569749,0,2
1583571778,4,0
1583573843,4,5
1583575730,0,3
1583577647,3,1
1583579543,0,1
1583581452,6,0
1583583406,7,1
1583585321,4,5
1583587228,5,1
1583589133,1,6
1583591071,1,1
1583592975,4,1
1583594900,4,2
1583596925,4,4
1583598735,2,3
1583600687,2,4
1583602576,3,4
1583604522,2,1
1583606414,3,5
1583608337,1,1
1583610276,1,2
1583612177,3,3
1583614095,2,3
1583616018,4,5
1583617953,3,5
1583619875,6,6
1583621772,2,2
1583623718,8,8
1583625698,4,3
1583627539,10,5
1583629498,5,0
1583631380,4,3
1583633343,5,3
1583635223,6,3
1583637148,1,2
1583639086,6,4
1583640995,4,9
1583642911,1,4
1583644844,3,3
1583646741,1,3
1583648671,7,1
1583650602,2,5
1583652504,8,7
1583654685,3,5
1583656578,3,0
1583658495,5,4
1583660438,1,4
1583662341,2,0
1583664279,0,3
1583666177,2,0
1583668121,3,8
1583670036,3,5
1583671934,4,4
1583673858,5,5
1583675794,5,1
1583677716,3,1
1583679793,1,6
1583681801,1,2
1583683701,3,4
1583685616,1,2
1583687546,5,2
1583689489,1,3
1583691385,6,2
1583693305,3,3
1583695242,3,1
1583697135,3,2
1583699062,2,3
1583700999,5,2
1583702925,6,5
1583705080,0,2
1583706979,3,6
1583708929,0,4
1583710823,0,6
1583712744,1,6
1583714684,2,9
1583716583,3,7
1583718504,6,4
1583720442,3,5
1583722341,4,2
1583724262,0,3
1583726178,2,4
1583728096,2,5
1583730171,1,1
1583732202,1,3
1583734122,5,1
1583736030,1,6
1583737938,2,2
1583739881,4,9
1583741799,3,3
1583743720,2,5
1583745643,0,3
1583747557,3,1
1583749458,3,1
1583751401,3,0
1583753315,1,2
1583755478,0,5
1583757376,2,3
1583759321,2,3
1583761239,3,7
1583763139,1,5
1583765089,1,1
1583766980,1,0
1583768901,1,1
1583770865,3,4
1583772759,1,1
1583774666,2,4
1583776612,0,2
1583778513,1,5
1583780593,6,3
1583782586,4,5
1583784533,4,3
1583786422,3,3
1583788615,7,7
1583790507,2,1
1583792422,9,2
1583794360,6,1
1583798182,7,1
1583800101,8,0
1583802182,5,3
1583804179,0,3
1583806099,7,7
1583808018,4,3
1583809937,2,2
1583811884,5,1
1583813777,3,2
1583815702,2,2
1583817616,3,1
1583819564,8,3
1583821491,2,2
1583823399,6,1
1583825300,7,3
1583828212,5,6
1583830113,2,2
1583832020,1,0
1583833967,1,3
1583835897,0,3
1583837789,1,3
1583839772,7,1
1583841896,5,0
1583843784,3,2
1583845697,4,2
1583847616,1,3
1583849561,3,1
1583851454,0,1
1583853401,3,1
1583855299,4,1
1583857251,4,3
1583859165,2,1
1583861082,6,2
1583863005,1,0
1583864922,1,1
1583866946,1,6
1583868752,4,4
1583870576,1,4
1583872585,4,2
1583874514,2,7
1583876425,2,2
1583878366,1,8
1583880261,2,7
1583883173,3,5
1583885010,0,3
1583886972,4,9
1583888894,1,4
1583890829,3,1
1583892739,0,6
1583894688,2,4
1583896582,2,3
1583898493,5,4
1583900413,1,3
1583902331,2,2
1583904254,2,4
1583906176,0,8
1583908097,0,2
1583910210,2,7
1583912174,2,5
1583914102,1,4
1583916017,2,3
1583917941,4,0
1583919865,6,1
1583921774,0,1
1583923699,3,1
1583925615,2,5
1583927533,1,5
1583929455,7,3
1583931375,3,5
1583933294,4,2
1583935441,5,3
1583937376,4,0
1583939182,1,1
1583941003,3,6
1583942901,2,2
1583944842,1,2
1583946756,2,7
1583948659,0,1
1583950620,0,1
1583952514,1,2
1583954455,3,1
1583956336,1,4
1583958278,2,3
1583960187,0,2
1583962098,9,1
1583964195,2,2
1583966200,4,2
1583968092,2,2
1583970014,3,2
1583971947,3,2
1583973856,1,2
1583975778,1,3
1583977700,1,1
1583979622,3,0
1583981557,5,2
1583983467,3,3
1583985380,4,4
1583987296,4,1
1583989510,7,4
1583991386,2,0
1583993305,2,0
1583995241,0,1
1583997141,2,1
1583999067,7,2
1584000983,4,2
1584002910,3,1
1584004915,3,5
1584006752,4,5
1584008928,5,2
1584011114,2,1
1584013033,2,3
1584014912,2,2
1584016824,1,7
1584018776,2,3
1584020678,3,3
1584022592,4,7
1584024535,2,1
1584026553,5,4
1584028366,2,1
1584030277,1,1
1584032205,1,1
1584034124,4,2
1584036287,5,0
1584038179,1,1
1584040136,1,0
1584042088,3,3
1584043971,1,2
1584045899,1,1
1584047811,1,8
1584049954,0,2
1584051867,4,5
1584053796,2,2
1584055703,2,3
1584057853,6,2
1584059797,5,2
1584061701,2,0
1584063632,1,2
1584065548,1,3
1584067464,0,4
1584069382,2,2
1584071308,2,5
1584073248,3,3
1584075147,2,7
1584077084,5,3
1584078988,1,2
1584080896,3,1
1584083137,2,0
1584084990,2,9
1584086900,2,3
1584088823,0,2
1584090747,2,3
1584092686,1,4
1584094585,6,4
1584096522,1,4
1584098423,1,1
1584100337,0,2
1584102259,1,2
1584104176,3,3
1584106101,2,1
1584108983,3,6
1584110907,4,2
1584112826,1,5
1584114743,0,2
1584116689,1,1
1584118578,3,1
1584120499,0,3
1584123465,4,6
1584125325,3,2
1584127278,7,0
1584129183,3,3
1584131072,0,1
1584132985,4,2
1584134903,3,0
1584137010,7,0
1584138994,5,6
