DateTime,AddedIPs,RemovedIPs
1583363796,2,3
1583365696,1,2
1583367642,2,1
1583369534,3,1
1583371454,1,0
1583373374,1,0
1583375291,3,1
1583378417,1,2
1583380337,1,2
1583382267,2,2
1583384175,2,1
1583386095,1,2
1583388217,0,1
1583390178,2,1
1583392108,4,1
1583397864,1,1
1583399788,3,1
1583401705,2,1
1583403621,1,0
1583405560,0,1
1583409375,2,0
1583411300,0,2
1583413440,1,1
1583415376,1,1
1583417291,1,3
1583419217,0,2
1583425222,0,1
1583427136,0,2
1583429062,0,1
1583430984,0,1
1583432915,0,3
1583435116,2,1
1583436977,2,0
1583438895,0,1
1583440822,1,1
1583442743,1,2
1583444665,2,1
1583446580,2,1
1583448522,2,4
1583450417,1,0
1583452334,4,1
1583454256,6,1
1583456174,2,2
1583458096,1,1
1583460287,2,0
1583464150,3,2
1583467969,0,1
1583471778,1,1
1583473703,1,0
1583475620,1,1
1583477555,1,0
1583483548,0,2
1583485473,2,2
1583487385,1,3
1583489300,2,1
1583491223,1,1
1583493143,4,0
1583495075,1,1
1583496996,1,4
1583498940,1,1
1583500855,2,1
1583502741,0,1
1583504662,0,2
1583506617,1,0
1583508504,1,1
1583510596,1,0
1583512578,2,0
1583514511,0,1
1583516419,1,0
1583520258,3,0
1583522194,0,1
1583526045,1,5
1583527933,2,1
1583529864,1,1
1583531776,1,1
1583533701,2,0
1583535931,0,2
1583537778,1,2
1583539699,4,5
1583541619,0,5
1583543539,9,1
1583545455,1,2
1583547378,1,0
1583549298,2,0
1583551220,1,1
1583553137,1,1
1583558903,2,0
1583562029,2,2
1583563934,0,3
1583565882,0,1
1583567788,1,0
1583569749,2,1
1583571779,2,4
1583573844,0,4
1583577647,1,0
1583579543,1,2
1583581453,0,2
1583585321,0,3
1583587229,1,2
1583589134,0,1
1583592976,1,1
1583596935,1,2
1583598735,0,2
1583600690,0,1
1583602576,0,1
1583604522,1,1
1583606414,2,2
1583610276,1,0
1583612177,1,0
1583614095,2,2
1583617953,1,1
1583619876,1,2
1583621773,2,0
1583626602,1,3
1583628501,6,3
1583630450,2,2
1583632338,2,1
1583634262,0,2
1583636214,1,3
1583638102,2,1
1583640278,0,1
1583642181,1,0
1583644119,1,3
1583646020,1,0
1583647960,2,1
1583649878,0,1
1583651780,0,3
1583653701,2,0
1583655616,1,1
1583657562,2,1
1583659458,0,1
1583661388,2,0
1583663565,0,1
1583667378,0,1
1583669330,1,0
1583678910,0,1
1583680817,2,0
1583682736,1,1
1583684714,1,0
1583690644,1,0
1583692581,0,1
1583694529,1,1
1583696418,2,2
1583700279,0,3
1583704100,1,1
1583706063,2,0
1583707934,2,2
1583709857,2,0
1583711834,1,2
1583713696,0,1
1583715885,1,8
1583717776,0,2
1583719742,1,2
1583721620,4,1
1583723542,1,0
1583725459,1,0
1583729299,0,1
1583731243,1,2
1583733134,0,1
1583735058,0,1
1583737011,2,1
1583740944,0,3
1583742759,1,0
1583744669,2,3
1583746577,1,2
1583748563,1,1
1583750428,3,0
1583752339,3,0
1583756190,0,1
1583758095,0,1
1583763857,1,0
1583767693,0,2
1583769743,0,1
1583771564,2,0
1583775385,0,1
1583777335,1,1
1583779238,1,1
1583781147,2,0
1583783063,0,1
1583784983,2,0
1583786903,0,1
1583790762,1,1
1583792675,1,1
1583794596,4,3
1583796528,1,1
1583798645,3,1
1583800601,1,0
1583802521,0,1
1583806350,0,2
1583808283,0,3
1583810200,1,1
1583812102,3,1
1583815960,1,0
1583817864,0,2
1583823921,1,2
1583825782,3,0
1583827699,3,0
1583829641,1,1
1583831540,0,1
1583833453,1,0
1583835378,1,1
1583837298,1,3
1583841174,1,2
1583844976,1,1
1583846926,0,1
1583849777,4,1
1583857727,1,2
1583861809,2,0
1583863704,0,2
1583865623,1,1
1583867563,2,2
1583869473,2,0
1583871428,1,2
1583875232,0,1
1583877139,2,1
1583879064,1,2
1583880984,1,5
1583882897,3,1
1583885019,0,1
1583886972,1,1
1583888894,4,0
1583890830,1,0
1583892739,1,0
1583896583,3,4
1583898493,0,3
1583902332,0,1
1583908098,1,1
1583910232,0,1
1583912174,0,3
1583914103,2,2
1583916017,0,1
1583917942,1,1
1583921775,1,1
1583923699,0,1
1583931375,1,1
1583933295,1,0
1583935452,1,3
1583937376,1,1
1583939182,1,0
1583941004,0,1
1583942902,3,0
1583944843,2,0
1583946756,1,2
1583948659,1,1
1583950620,0,1
1583952514,1,0
1583954455,0,1
1583956336,0,1
1583958278,2,1
1583960188,1,0
1583962098,1,0
1583964197,1,2
1583966200,3,2
1583968093,1,3
1583970015,1,0
1583971947,2,0
1583973856,2,0
1583975778,3,3
1583977700,1,1
1583979622,1,0
1583981558,2,1
1583983467,0,1
1583985381,1,1
1583987296,1,0
1583989535,6,0
1583991386,1,0
1583995241,1,1
1583997141,1,1
1583999068,1,1
1584002936,1,0
1584004916,2,1
1584006752,1,1
1584008938,1,0
1584013033,1,0
1584014912,1,0
1584016825,1,1
1584018776,1,0
1584020679,0,1
1584024535,1,0
1584026554,2,1
1584028367,1,3
1584030277,0,1
1584032205,0,1
1584034124,0,1
1584036287,0,1
1584038179,2,1
1584042089,1,0
1584043971,4,0
1584045899,1,4
1584049954,0,1
1584051868,0,2
1584053796,3,0
1584055704,2,1
1584057853,1,2
1584059798,2,3
1584061701,3,1
1584065549,2,1
1584067465,1,1
1584069382,0,1
1584071309,0,1
1584073248,1,0
1584075147,2,0
1584077084,1,1
1584078989,1,0
1584083151,2,0
1584084991,0,3
1584086900,1,2
1584088823,1,0
1584090748,0,1
1584092687,0,1
1584094585,5,2
1584096522,0,1
1584100337,1,0
1584102260,1,2
1584104176,5,0
1584106102,1,0
1584108983,0,1
1584112826,1,2
1584114744,1,1
1584116690,0,1
1584123465,1,0
1584125325,1,1
1584127289,1,0
1584129183,0,2
1584131073,0,2
1584132985,0,1
1584137011,2,0
1584138995,4,0
1584140905,0,3
1584142855,1,0
1584144770,0,1
1584146673,3,2
1584148592,1,2
1584150506,3,0
1584152430,1,4
1584154367,1,4
1584156267,1,2
1584158219,1,2
1584162194,0,3
1584164182,1,1
1584166124,1,0
1584169938,1,2
1584175699,1,1
1584181489,1,3
1584183382,1,0
1584187527,2,3
1584189628,2,0
1584191590,2,6
1584193468,2,3
1584195392,0,2
1584199460,1,1
1584201405,2,0
1584203314,1,0
1584205413,1,0
1584207383,1,0
1584209301,0,1
1584211215,1,1
1584213134,0,3
1584215066,2,0
1584216982,1,0
1584218900,2,0
1584223104,3,3
1584225246,1,3
1584227163,1,2
1584228989,1,2
1584230979,1,0
1584232825,4,1
1584234742,2,2
1584236665,1,0
1584238604,1,0
1584240506,2,3
1584242434,5,0
1584244354,0,2
1584246263,0,1
1584252270,1,1
1584254178,0,1
1584256095,1,0
1584258043,2,1
1584261880,1,1
1584263782,1,0
1584265699,1,0
1584267640,0,1
1584269564,0,2
1584271470,0,1
1584277462,0,1
1584279398,0,1
1584281338,0,1
1584283216,1,2
1584287071,1,0
1584288998,1,1
1584290904,1,0
1584292841,0,1
1584294736,3,1
1584296655,1,2
1584300496,1,0
1584302581,2,2
1584304522,2,3
1584306351,0,1
1584308196,2,1
1584310116,2,3
1584313953,0,1
1584315855,0,1
1584317794,0,1
1584319699,1,0
1584321633,1,0
1584323559,2,2
1584325476,3,1
1584327378,1,4
1584329304,0,3
1584331404,1,0
1584333393,1,0
1584335316,1,0
1584337217,1,3
1584339148,0,1
1584341078,2,0
1584343054,1,0
1584344906,1,1
1584346848,4,1
1584348769,1,2
1584350661,2,0
1584352629,1,1
1584354498,2,2
1584356600,3,0
1584358598,1,0
1584360762,6,0
1584362657,0,1
1584364776,1,1
1584366750,2,0
1584368660,3,1
1584370630,3,0
1584372495,2,1
1584376349,0,1
1584378311,0,2
1584380181,1,2
1584384016,2,0
1584387902,0,3
1584389780,1,1
1584391717,1,1
1584393632,1,0
1584395537,1,2
1584397456,1,0
1584399395,1,1
1584401296,1,0
1584404446,1,2
1584408260,2,2
1584410196,2,2
1584412398,0,1
1584414344,1,0
1584416216,1,3
1584420045,0,1
1584421970,1,0
1584423894,2,1
1584425794,3,1
1584427704,0,1
1584429654,0,1
1584433502,0,5
1584435377,1,1
1584437300,1,3
1584439479,3,0
1584441406,1,0
1584443295,4,2
1584445216,1,1
1584447138,0,3
1584449073,1,2
1584450987,1,0
1584452903,1,4
1584454864,0,2
1584456792,0,3
1584458667,1,1
1584460614,2,2
1584464641,1,2
1584466591,0,1
1584470414,1,1
1584472379,2,0
1584474303,2,1
1584476184,2,1
1584478121,3,1
1584480025,0,1
1584481936,1,2
1584483905,3,2
1584485779,0,1
1584487699,2,1
1584489681,1,0
1584491545,1,0
1584493525,2,2
1584495403,1,3
1584497313,4,1
1584502005,1,3
1584504113,1,1
1584505938,0,1
1584507866,3,1
1584509791,2,3
1584511709,1,1
1584515587,0,2
1584517459,2,0
1584519621,3,2
1584523501,1,0
1584525389,0,1
1584527309,3,2
1584529357,3,4
