DateTime,AddedIPs,RemovedIPs
1583861291,24,0
1583862134,2,30
1583863518,14,9
1583865023,15,17
1583867417,8,21
1583868489,18,0
1583870112,25,28
1583871253,2,5
1583872094,11,3
1583872932,4,16
1583874536,18,15
1583875693,24,1
1583876529,2,23
1583877376,10,4
1583878511,11,12
1583879290,28,1
1583882053,53,38
1583883311,10,15
1583884511,43,7
1583885653,22,15
1583887331,38,23
1583888170,18,1
1583889252,4,11
1583890930,25,29
1583892620,29,20
1583894531,52,36
1583896453,12,22
1583897291,21,3
1583898132,14,24
1583900051,23,14
1583900892,24,1
1583902632,21,23
1583904015,5,11
1583905335,22,29
1583907252,17,19
1583908093,12,0
1583909589,17,30
1583910915,2,15
1583912530,29,24
1583913375,23,1
1583914517,8,16
1583916134,22,28
1583916974,18,1
1583917247,0,9
1583918055,3,7
1583919733,19,40
1583920571,12,1
1583921713,3,17
1583923335,31,17
1583925021,32,10
1583926933,47,30
1583927772,19,1
1583928853,2,17
1583930531,14,11
1583931372,12,2
1583932512,4,9
1583934132,23,31
1583935820,13,13
1583937735,5,16
1583939652,10,14
1583941228,21,41
1583942170,12,2
1583943252,9,11
1583944510,16,21
1583945920,21,11
1583946854,5,5
1583947694,28,3
1583948532,4,29
1583950213,12,15
1583951414,6,12
1583952613,21,4
1583953813,21,5
1583955731,24,34
1583957650,7,10
1583958495,10,2
1583961250,23,33
1583962093,14,1
1583963710,11,32
1583964852,1,19
1583966711,16,27
1583968452,15,14
1583970026,20,18
1583970972,14,3
1583972114,2,23
1583973911,23,30
1583974571,13,2
1583975714,14,10
1583976494,19,1
1583979022,6,57
1583980090,23,0
1583982853,10,50
1583984534,29,17
1583985372,18,4
1583986516,3,18
1583987294,23,3
1583988135,5,28
1583990053,18,26
1583990891,30,1
1583991732,8,22
1583993412,18,33
1583994619,19,12
1583996681,13,47
1583998049,2,0
1583998934,34,34
1583999774,20,1
1584000851,12,11
1584002010,10,22
1584003641,12,17
1584005292,14,3
1584006974,30,25
1584008115,12,12
1584009321,16,12
1584009733,3,3
1584011421,21,7
1584012617,22,29
1584013905,4,3
1584015016,8,5
1584015251,2,1
1584016093,3,1
1584016931,14,20
1584017772,18,1
1584018850,8,15
1584020432,19,31
1584022452,23,7
1584023830,19,11
1584025813,27,14
1584026972,29,6
1584028213,8,17
1584029412,7,13
1584031334,20,19
1584033254,20,8
1584034932,22,17
1584036614,9,11
1584038530,15,19
1584039700,12,3
1584040812,4,6
1584042130,17,13
1584042973,7,1
1584044050,9,16
1584045312,25,17
1584046846,17,15
1584048012,10,5
1584049227,22,22
1584051312,13,18
1584052935,11,28
1584054622,17,31
1584056531,23,32
1584057373,16,7
1584058450,5,11
1584060132,20,14
1584062053,22,10
1584063732,27,45
1584064570,17,0
1584065714,8,12
1584066492,22,1
1584067333,2,32
1584068172,13,1
1584069250,8,14
1584070394,22,23
1584072348,31,20
1584073692,17,2
1584075313,19,19
1584076516,4,20
1584078027,29,21
1584079638,26,16
1584080894,16,4
1584082074,8,21
1584083650,14,23
1584085226,20,15
1584087257,11,19
1584088350,13,25
1584090498,29,17
1584092530,23,23
1584094453,23,10
1584095291,16,2
1584096134,3,32
1584098051,19,17
1584099733,17,32
1584101654,20,27
1584102491,13,2
1584103334,4,11
1584105257,25,12
1584106698,19,24
1584108915,27,10
1584111637,28,22
1584112814,2,6
1584114134,24,30
1584115814,15,27
1584117732,18,14
1584119650,25,13
1584121225,22,25
1584123250,11,22
1584124090,7,1
1584125770,19,25
1584126851,6,10
1584127694,25,1
1584129414,9,30
1584130453,5,19
1584132133,16,16
1584133816,16,9
1584135014,17,14
1584136512,17,10
1584137673,10,14
1584138913,23,22
1584140113,18,6
