DateTime,AddedIPs,RemovedIPs
1582602586,0,1
1582605047,1,2
1582606574,0,2
1582607651,1,0
1582608493,1,0
1582611778,1,0
1582613130,0,2
1582622052,1,0
1582629021,0,1
1582645352,1,2
1582656145,2,1
1582665331,1,0
1582666517,0,2
1582674146,1,0
1582678526,0,1
1582679622,0,1
1582682173,1,0
1582689314,0,1
1582699332,1,1
1582707373,0,2
1582715716,1,0
1582717334,0,1
1582720937,0,1
1582728914,1,1
1582732574,0,3
1582734494,1,0
1582740505,1,0
1582741668,1,0
1582742533,0,1
1582747823,0,1
1582749733,1,0
1582754172,0,1
1582756932,0,1
1582758854,1,0
1582760236,0,1
1582763379,2,0
1582770796,0,1
1582774365,1,0
1582775714,0,1
1582776919,0,1
1582778715,1,3
1582782031,0,1
1582782974,1,0
1582784054,1,0
1582785628,3,0
1582787417,1,0
1582791252,2,1
1582794354,2,0
1582796714,1,0
1582800613,1,0
1582804045,1,0
1582808370,1,0
1582809632,1,0
1582813692,1,0
1582815376,1,0
1582816520,1,0
1582819530,3,0
1582822854,0,1
1582825333,0,2
1582827254,1,0
1582828092,2,0
1582838056,0,1
1582843333,0,1
1582845251,1,0
1582847713,1,0
1582852006,0,1
1582866857,1,0
1582868536,0,1
1582874054,0,1
1582877423,1,0
1582882934,3,0
1582884376,0,1
1582889296,1,0
1582890912,1,0
1582904534,0,2
1582911733,0,2
1582918956,2,1
1582921560,0,1
1582926132,1,0
1582928053,1,0
1582932914,0,1
1582934116,0,1
1582938520,0,1
1582939693,1,0
1582944136,0,1
1582949419,0,1
1582950644,1,0
1582953024,0,1
1582954933,0,2
1582956615,0,1
1582959644,0,2
1582964054,0,2
1582965733,1,0
1582967416,0,1
1582971316,1,1
1582978515,0,1
1582979715,0,1
1582983314,1,1
1582985422,0,1
1582990933,1,4
1582996223,0,1
1582998974,0,2
1583001314,1,0
1583010614,0,1
1583014454,0,1
1583018055,1,0
1583021652,1,0
1583031334,1,0
1583032517,1,0
1583034132,1,0
1583036053,2,0
1583038583,1,1
1583046852,1,1
1583048536,1,0
1583050514,1,0
1583052134,0,1
1583053551,0,2
1583055917,2,0
1583057414,1,0
1583059332,0,1
1583060899,1,0
1583063714,0,1
1583072053,2,0
1583077333,1,0
1583079252,2,0
1583081771,1,1
1583082854,1,0
1583083692,0,1
1583088135,0,2
1583091735,1,0
1583093263,1,0
1583097252,0,2
1583100614,1,0
1583103372,1,0
1583104515,0,1
1583108119,0,1
1583109312,0,2
1583115253,1,0
1583116937,1,0
1583119694,1,0
1583125823,0,1
1583129232,1,0
1583139182,1,0
1583140453,2,0
1583142147,0,1
1583144893,1,0
1583152684,2,1
1583160137,1,1
1583163733,0,1
1583165414,0,1
1583167337,1,0
1583170933,0,1
1583180117,1,0
1583187314,1,0
1583188937,1,0
1583193373,1,0
1583201717,0,1
1583205253,0,1
1583214027,1,0
1583219657,1,0
1583220915,1,1
1583223255,1,0
1583224934,1,1
1583228533,1,0
1583229388,2,0
1583237657,0,1
1583240175,1,0
1583241254,1,1
1583245824,0,1
1583250616,2,10
1583252054,0,1
1583255654,2,0
1583262851,0,2
1583269816,1,1
1583273414,0,1
1583282534,1,0
1583283876,0,1
1583288053,0,1
1583289630,0,1
1583291720,2,1
1583296093,1,0
1583298623,0,1
1583306052,1,0
1583309657,0,2
1583311336,0,1
1583316158,1,0
1583317693,1,0
1583319073,1,0
1583322397,0,1
1583324053,2,0
1583326122,1,0
1583330453,0,1
1583331253,1,0
1583337470,0,2
1583340028,1,0
1583345652,2,0
1583348440,4,0
1583350935,0,1
1583353821,2,0
1583354951,1,0
1583356452,3,0
1583357703,0,2
1583362573,1,0
1583363719,1,1
1583384176,0,1
1583386935,2,0
1583390534,0,2
1583392457,0,1
1583394975,0,1
1583397734,0,1
1583399652,0,1
1583403018,1,0
1583410516,0,1
1583411715,0,2
1583414894,1,0
1583419336,1,0
1583420452,0,2
1583422830,0,1
1583424915,0,1
1583426533,0,1
1583428452,1,0
1583431816,1,0
1583442074,0,1
1583450117,2,0
1583456532,1,0
1583460855,0,2
1583466915,0,1
1583470572,1,0
1583471653,1,0
1583476092,1,0
1583476933,1,1
1583488421,1,0
1583494935,0,3
1583497694,2,0
1583502133,0,1
1583502973,1,0
1583509334,0,3
1583510175,1,0
1583515215,1,1
1583516424,0,3
1583517525,0,2
1583523736,0,2
1583525427,0,2
1583526623,0,1
1583532044,0,1
1583533692,1,0
1583534532,0,1
1583535374,0,1
1583536516,1,0
1583541733,2,0
1583542573,1,0
1583550049,2,1
1583559735,1,0
1583566939,1,0
1583568918,1,0
1583569693,1,0
1583585115,0,1
1583588118,0,1
1583590453,3,0
1583592132,2,1
