DateTime,Entries,UniqueIPs
1583859228,1957,1957
1583860455,1949,1949
1583861295,1973,1973
1583862139,1945,1945
1583863522,1950,1950
1583865030,1947,1947
1583867422,1935,1935
1583868494,1952,1952
1583870116,1948,1948
1583871258,1945,1945
1583872098,1953,1953
1583872937,1942,1942
1583874541,1944,1944
1583875698,1967,1967
1583876534,1946,1946
1583877380,1952,1952
1583878518,1951,1951
1583879294,1978,1978
1583882057,1993,1993
1583883315,1988,1988
1583884516,2024,2024
1583885657,2032,2032
1583887336,2048,2048
1583888175,2064,2064
1583889256,2057,2057
1583890936,2054,2054
1583892626,2064,2064
1583894535,2080,2080
1583896458,2072,2072
1583897296,2089,2089
1583898137,2080,2080
1583900056,2090,2090
1583900896,2113,2113
1583902637,2110,2110
1583904020,2105,2105
1583905339,2098,2098
1583907257,2096,2096
1583908097,2108,2108
1583909593,2095,2095
1583910920,2082,2082
1583912535,2087,2087
1583913380,2110,2110
1583914524,2101,2101
1583916139,2097,2097
1583916978,2114,2114
1583918060,2101,2101
1583919738,2081,2081
1583920576,2091,2091
1583921719,2075,2075
1583923340,2089,2089
1583925026,2111,2111
1583926939,2128,2128
1583927776,2146,2146
1583928857,2131,2131
1583930535,2134,2134
1583931376,2144,2144
1583932518,2139,2139
1583934137,2131,2131
1583935825,2131,2131
1583937739,2120,2120
1583939657,2116,2116
1583941235,2095,2095
1583942175,2105,2105
1583943257,2103,2103
1583944515,2098,2098
1583945926,2108,2108
1583946858,2108,2108
1583947699,2133,2133
1583948537,2109,2109
1583950219,2106,2106
1583951422,2101,2101
1583952619,2116,2116
1583953818,2133,2133
1583955737,2123,2123
1583957654,2120,2120
1583958500,2128,2128
1583961256,2117,2117
1583962098,2130,2130
1583963715,2109,2109
1583964857,2091,2091
1583966718,2080,2080
1583968456,2081,2081
1583970032,2083,2083
1583970977,2094,2094
1583972119,2073,2073
1583973919,2067,2067
1583974575,2078,2078
1583975720,2082,2082
1583976500,2099,2099
1583979027,2049,2049
1583980095,2072,2072
1583982858,2033,2033
1583984538,2045,2045
1583985377,2059,2059
1583986523,2044,2044
1583987299,2064,2064
1583988140,2042,2042
1583990059,2034,2034
1583990895,2063,2063
1583991738,2049,2049
1583993417,2035,2035
1583994629,2042,2042
1583996686,2008,2008
1583998054,2010,2010
1583998940,2009,2009
1583999779,2029,2029
1584000856,2029,2029
1584002017,2017,2017
1584003653,2013,2013
1584005298,2024,2024
1584006979,2030,2030
1584008122,2029,2029
1584009327,2033,2033
1584009738,2033,2033
1584011426,2048,2048
1584012625,2041,2041
1584013909,2042,2042
1584015022,2044,2044
1584015255,2045,2045
1584016099,2047,2047
1584016936,2041,2041
1584017778,2057,2057
1584018855,2049,2049
1584020437,2037,2037
1584022458,2053,2053
1584023836,2061,2061
1584025819,2075,2075
1584026976,2097,2097
1584028218,2089,2089
1584029416,2083,2083
1584031339,2085,2085
1584033259,2097,2097
1584034936,2102,2102
1584036620,2100,2100
1584038535,2096,2096
1584039705,2105,2105
1584040818,2103,2103
1584042136,2108,2108
1584042978,2114,2114
1584044055,2107,2107
1584045316,2115,2115
1584048018,2122,2122
1584049232,2122,2122
1584051317,2115,2115
1584052939,2098,2098
1584054627,2084,2084
1584056535,2076,2076
1584057381,2085,2085
1584058455,2079,2079
1584060136,2085,2085
1584062058,2097,2097
1584063736,2080,2080
1584064574,2098,2098
1584065721,2093,2093
1584066496,2114,2114
1584067338,2084,2084
1584068177,2096,2096
1584069256,2090,2090
1584070399,2089,2089
1584072352,2101,2101
1584073698,2116,2116
1584075318,2115,2115
1584076521,2099,2099
1584078033,2107,2107
1584079642,2116,2116
1584080899,2128,2128
1584082079,2115,2115
1584083654,2106,2106
1584085231,2110,2110
1584087261,2102,2102
1584088355,2090,2090
1584090503,2103,2103
1584092535,2105,2105
1584094457,2118,2118
1584095295,2132,2132
1584096139,2104,2104
1584098056,2105,2105
1584099738,2091,2091
1584101659,2083,2083
1584102497,2094,2094
