DateTime,AddedIPs,RemovedIPs
1583854083,66,0
1583855216,50,135
1583856603,83,52
1583857808,69,64
1583859216,65,16
1583860443,58,63
1583861283,73,0
1583862123,70,97
1583863511,85,44
1583865012,121,87
1583867403,204,66
1583868482,103,0
1583870102,121,93
1583871245,82,46
1583872083,49,1
1583872923,57,97
1583874529,109,60
1583875683,89,4
1583876522,51,83
1583877367,42,0
1583878503,64,49
1583879283,52,3
1583882045,175,132
1583883303,98,70
1583884503,99,24
1583885644,91,54
1583887323,122,93
1583888163,71,0
1583889243,79,47
1583890923,124,107
1583892605,154,57
1583894523,184,122
1583896443,139,53
1583897283,73,3
1583898123,68,85
1583900043,128,45
1583900883,54,5
1583902624,126,96
1583904003,70,42
1583905325,97,121
1583907243,118,63
1583908084,76,0
1583909579,107,141
1583910903,76,48
1583912523,123,80
1583913363,57,2
1583914504,76,60
1583916123,125,104
1583916963,72,2
1583917230,25,54
1583918044,56,2
1583919725,108,100
1583920564,52,3
1583921703,60,49
1583923323,111,90
1583925003,108,53
1583926923,146,99
1583927764,49,2
1583928844,53,49
1583930523,94,76
1583931363,44,1
1583932503,65,52
1583934123,73,97
1583935803,75,53
1583937725,76,84
1583939642,93,62
1583941215,67,113
1583942163,34,2
1583943243,55,54
1583944503,51,60
1583945901,66,85
1583946843,36,9
1583947683,40,0
1583948524,29,120
1583950203,63,67
1583951406,59,52
1583952605,82,22
1583953805,67,57
1583955723,92,129
1583957643,72,52
1583958483,46,2
1583961242,127,165
1583962083,27,0
1583963703,58,112
1583964842,53,63
1583966702,89,111
1583968443,303,55
1583970015,62,96
1583970962,45,0
1583972102,44,63
1583973903,95,127
1583974562,41,0
1583975703,78,50
1583976484,67,1
1583979003,154,193
1583980083,63,0
1583982843,169,166
1583984524,102,105
1583985363,60,0
1583986503,57,51
1583987285,47,1
1583988123,47,91
1583990046,123,53
1583990883,57,0
1583991723,61,112
1583993403,113,91
1583994609,59,154
1583996673,126,202
1583998039,75,0
1583998923,70,196
1583999765,47,1
1584000843,56,107
1584002002,74,138
1584003628,100,119
1584005283,85,1
1584006963,96,131
1584008103,69,56
1584009303,77,97
1584009724,38,52
1584011403,101,66
1584012605,85,111
1584013895,71,35
1584015003,62,64
1584015243,12,1
1584016083,50,1
1584016923,49,120
1584017763,52,0
1584018843,45,65
1584020423,81,122
1584022444,107,50
1584023819,78,76
1584025803,87,71
1584026963,70,90
1584028203,119,30
1584029403,60,41
1584031325,92,99
1584033242,77,48
1584034923,63,126
1584036605,74,58
1584038522,89,84
1584039693,51,69
1584040803,44,1
1584042123,65,102
1584042963,34,0
1584044043,45,69
1584045304,67,76
1584046836,55,88
1584048002,55,0
1584049216,48,95
1584051303,78,53
1584052923,74,124
1584054605,66,76
1584056523,90,144
1584057363,41,0
1584058443,42,81
1584060123,88,161
1584062042,87,95
1584063723,80,200
1584064562,41,0
1584065704,47,78
1584066483,40,0
1584067324,41,187
1584068163,48,0
1584069242,57,89
1584070385,52,125
1584072338,74,116
1584073683,51,0
1584075303,70,134
1584076504,52,91
1584078015,73,175
1584079629,65,96
1584080884,55,0
1584082067,51,156
1584083642,72,103
1584085214,55,153
1584087243,74,89
1584088342,42,122
1584090489,106,111
1584092523,71,124
1584094443,71,54
1584095283,39,0
1584096123,34,132
1584098043,80,74
1584099723,63,123
1584101642,71,78
1584102482,31,2
1584103323,42,100
1584105242,105,58
1584106336,39,87
1584107763,51,25
1584108903,48,53
1584111627,97,157
1584112804,43,0
1584114123,67,106
1584115805,64,76
1584117723,107,84
1584119643,79,49
1584121215,76,123
1584123243,44,56
1584124083,27,0
1584125762,75,108
1584126843,54,49
1584127683,51,0
1584129407,67,114
1584130443,52,59
1584132123,78,72
1584133804,53,42
1584135004,43,77
1584136502,48,26
1584137666,51,189
1584138903,71,214
1584140104,56,27
1584141243,59,40
1584142083,64,0
1584142924,28,113
1584144843,84,77
1584145683,38,0
1584147002,61,169
1584148170,46,83
1584149283,49,0
1584150583,43,167
1584152043,71,76
1584153616,73,159
1584154995,78,86
1584155643,22,0
1584157322,75,129
1584159005,69,77
1584160816,109,146
1584162844,84,97
1584164022,46,109
1584165212,42,26
1584166504,48,88
1584167703,39,121
1584168903,51,60
