DateTime,AddedIPs,RemovedIPs
1583454913,1,2
1583456531,1,0
1583458933,0,4
1583461693,1,0
1583463014,1,1
1583464452,1,0
1583466915,0,1
1583468054,1,1
1583470571,2,1
1583474541,0,1
1583475256,1,0
1583476092,1,0
1583476933,0,4
1583479468,1,0
1583480716,1,0
1583482222,0,3
1583483292,2,0
1583484615,1,9
1583486055,0,1
1583487313,2,16
1583488421,0,2
1583489717,1,18
1583491230,1,1
1583493316,4,0
1583494091,1,0
1583494934,0,1
1583496457,1,0
1583500454,2,0
1583501295,1,0
1583502132,1,0
1583505736,1,0
1583509334,0,1
1583512825,0,1
1583517524,1,2
1583522053,2,0
1583523736,1,3
1583525426,1,1
1583526621,1,1
1583529253,0,1
1583530094,1,0
1583531771,1,3
1583535373,14,0
1583536516,1,0
1583538134,0,1
1583539815,2,4
1583541733,0,2
1583542572,1,0
1583543718,0,1
1583545228,0,1
1583547023,2,1
1583548218,0,1
1583553533,3,5
1583555295,3,0
1583556540,0,4
1583557822,0,1
1583559734,3,4
1583561653,1,0
1583563826,1,3
1583565012,0,2
1583566938,0,2
1583569693,2,0
1583571223,1,1
1583572513,0,3
1583573712,0,2
1583574820,1,1
1583579206,1,0
1583582115,1,0
1583583313,1,0
1583599337,0,1
1583600508,1,0
1583603715,1,0
1583606427,0,1
1583609421,0,1
1583610913,1,1
1583612054,0,1
1583612891,2,0
1583615346,3,0
1583617335,0,1
1583618173,1,0
1583619253,1,0
1583620514,0,1
1583625312,2,0
1583626454,0,1
1583627293,1,0
1583628913,0,1
1583630115,1,0
1583631913,3,0
1583636113,2,0
1583637317,0,2
1583639416,1,3
1583642429,1,0
1583643720,2,0
1583646133,0,2
1583649735,0,2
1583651651,0,1
1583652914,1,1
1583654439,1,1
1583656935,2,0
1583657772,1,0
1583658852,2,0
1583661313,1,1
1583663709,2,4
1583666054,1,0
1583667735,1,1
1583670620,2,2
1583672172,1,0
1583675705,0,1
1583682132,1,2
1583687422,1,2
1583689335,1,0
1583692092,1,0
1583693772,1,0
1583696114,0,1
1583697371,1,0
1583698514,0,1
1583700647,2,0
1583701816,1,1
1583703026,0,1
1583705415,1,10
1583707332,1,2
1583709255,2,1
1583711718,2,2
1583712899,1,2
1583716217,2,1
1583718135,1,0
1583719823,1,0
1583722119,1,0
1583723419,1,2
1583725335,0,2
1583726453,1,1
1583728937,2,3
1583729773,1,0
1583730854,2,0
1583732431,1,2
1583733841,1,0
1583734454,2,0
1583739739,1,1
1583741655,2,0
1583743333,3,1
1583747337,0,1
1583748437,0,2
1583756895,1,0
1583763317,0,1
1583768115,0,1
1583772138,1,2
1583773823,2,1
1583775022,1,1
1583777415,1,0
1583778621,0,1
1583780836,1,1
1583782513,0,1
1583784855,1,0
1583786074,1,0
1583787313,0,1
1583788455,1,2
1583790136,0,1
1583791815,1,1
1583795237,1,2
1583796494,2,0
1583798113,0,1
1583800828,0,3
1583802422,1,0
1583803822,1,1
1583806453,0,1
1583808132,2,3
1583811385,0,1
1583813418,1,4
1583815334,3,1
1583822116,2,2
1583823313,2,1
1583824517,0,2
1583828053,1,1
1583829319,1,2
1583830717,0,1
1583833230,0,3
1583835619,2,0
1583836830,0,3
1583840535,1,6
1583842456,2,1
1583844315,1,0
1583847632,1,0
1583851515,1,1
1583855230,1,0
1583857821,0,1
1583859225,1,0
1583862136,1,0
1583863519,1,0
1583867419,1,1
1583868491,1,0
1583870114,1,0
1583871255,0,2
1583872096,2,0
1583872934,1,1
1583874538,2,1
1583875695,2,0
1583876531,0,1
1583877377,1,0
1583878513,2,1
1583882054,1,4
1583883312,1,1
1583885654,3,2
1583887333,0,3
1583889254,0,1
1583890932,2,1
1583894533,0,1
1583896455,1,1
1583897293,1,0
1583898134,2,2
1583900894,1,0
1583902634,2,2
1583904017,0,1
1583905337,0,2
1583907254,1,0
1583909590,1,0
1583910917,0,1
1583912532,0,1
1583914521,1,2
1583916136,1,3
1583916975,1,0
1583921716,1,0
1583923337,1,0
1583925023,0,1
1583926935,1,1
1583928854,1,0
1583932515,1,0
1583937737,1,0
1583942172,1,0
1583943254,2,1
1583944512,1,0
1583945923,0,1
1583948534,1,1
1583950215,2,0
1583951417,1,0
1583955734,1,0
1583957652,1,0
1583961253,1,3
1583962095,1,0
1583963712,1,1
1583964854,3,2
1583966715,2,1
1583968454,13,0
1583970029,0,1
1583972116,1,0
1583973916,1,2
1583975718,2,0
1583979024,1,0
1583982855,1,1
1583984536,1,3
1583985374,1,0
1583988137,1,0
1583990056,2,0
1583990892,1,0
1583991734,1,0
1583993414,0,2
1583998937,0,1
1584000853,0,1
1584002014,0,1
1584003646,1,0
1584006976,1,1
1584008119,1,0
1584011423,0,1
1584012619,0,1
1584013906,0,1
1584015019,1,0
1584020434,1,0
1584022455,0,1
1584025816,0,1
1584026973,0,1
1584033256,0,3
1584039702,1,0
1584040814,1,0
1584042132,0,3
1584044052,0,2
1584045313,1,2
1584046852,1,1
1584048014,1,0
1584049229,1,3
1584051315,1,0
1584052937,1,2
1584054624,0,1
1584056532,4,2
1584060134,1,3
1584062055,1,2
1584063734,1,1
1584065717,1,1
1584066494,1,0
1584067335,2,2
1584068174,1,0
1584069253,1,0
1584070396,0,1
1584072349,1,0
1584073694,1,0
1584075315,2,1
1584076518,0,1
1584083652,1,1
1584085228,0,1
1584087258,0,2
1584090499,0,1
1584092532,1,4
1584094454,1,0
1584095293,1,1
1584096136,1,2
1584099735,2,0
1584101656,2,1
1584105259,1,0
1584106700,0,2
1584108918,0,1
1584114136,2,0
1584117734,1,0
1584119653,2,2
1584121227,0,4
1584125772,2,2
1584126853,1,0
1584127696,1,0
1584129416,0,1
1584130455,1,0
1584132135,0,3
1584133819,1,1
1584135016,1,4
1584137675,1,13
1584138915,0,1
1584142094,1,0
1584142938,0,3
1584144855,1,0
1584145695,1,0
1584147012,0,1
1584148181,1,0
1584149293,1,0
1584150593,1,1
1584152052,3,1
1584153630,1,1
1584155006,0,3
1584155654,1,0
1584157334,1,1
1584159019,0,1
1584160830,1,1
1584162855,1,1
1584164032,1,1
1584165222,2,0
1584171734,1,0
1584173422,0,1
1584177315,1,1
1584178935,0,1
1584180616,2,1
1584183639,2,0
1584186133,0,1
1584191416,1,0
1584195023,1,0
1584196934,2,0
1584198916,1,0
1584211666,1,1
1584214178,1,1
1584215712,3,0
1584219373,1,1
1584225417,0,2
1584226571,0,2
1584227655,1,1
1584228912,2,1
1584231252,0,1
1584232933,1,1
1584234616,1,0
1584235693,1,0
1584236923,1,3
1584238221,0,1
1584239419,1,0
1584241815,0,1
1584245053,1,4
1584250933,1,0
1584252851,0,1
1584256452,1,1
1584260052,1,2
1584262578,1,0
1584267015,0,1
1584268220,0,2
1584269712,0,1
1584270914,1,0
1584272536,0,1
1584274455,1,0
1584284117,0,1
1584288852,0,2
1584290112,2,0
1584291314,1,0
1584292452,1,2
1584293291,1,0
1584294540,0,2
1584297732,1,1
1584299415,1,1
1584300618,0,1
1584301761,1,1
1584303252,1,1
1584305413,0,2
1584306618,1,1
1584308534,2,1
1584310517,1,0
1584311295,1,0
1584312974,0,1
1584314118,3,1
1584314894,1,0
1584315733,0,1
1584317716,2,0
1584319335,3,3
1584320173,1,0
1584321250,1,0
1584325825,1,1
1584327320,0,1
1584331821,3,2
1584333999,0,2
1584335381,1,0
1584337821,1,2
1584338181,1,0
1584339254,1,1
1584342196,1,0
1584342857,1,0
1584346524,2,1
1584349484,0,1
1584350895,1,0
1584352338,1,1
1584353477,1,2
1584360921,2,0
1584362420,0,1
1584364460,2,0
1584366792,1,0
1584368118,2,0
1584369750,1,3
1584380120,0,1
1584384019,0,3
1584385465,1,2
1584392117,1,0
1584394096,1,0
1584394936,0,2
1584396857,1,0
1584398420,5,2
1584400520,2,1
1584405019,1,1
1584407419,1,2
1584409344,3,3
1584414053,1,1
1584416537,3,0
1584418220,1,0
1584419294,1,0
1584420146,0,1
1584421828,3,0
1584423741,1,0
1584425658,1,0
1584427337,0,1
1584429257,1,0
1584430520,0,2
1584432920,0,1
1584434539,2,0
1584438135,1,0
1584439820,2,1
1584440979,1,0
1584443423,2,0
1584445519,0,1
1584448097,1,0
1584455719,1,0
1584456915,1,1
1584459741,0,2
1584461419,1,0
1584463344,1,0
1584465254,0,1
1584466665,1,0
1584467938,0,1
1584470033,0,1
1584471313,2,1
1584472520,2,0
1584473720,4,1
1584476056,1,0
1584477621,0,2
1584478576,1,0
1584479659,1,1
1584480919,0,1
1584483259,3,0
1584485416,0,3
1584486862,3,2
1584489016,0,3
1584490454,1,2
1584492974,1,1
1584494119,0,1
1584495737,0,1
1584497424,1,0
1584499986,2,0
1584501271,0,1
1584502515,2,2
1584503720,1,0
1584507316,3,1
1584508520,0,1
1584510144,1,1
1584510975,1,0
1584513316,0,5
1584515199,1,0
1584516915,0,1
1584518509,2,0
1584520820,0,1
1584521774,2,1
1584522922,1,0
1584525378,1,1
1584526519,1,0
1584528020,2,0
1584530054,1,0
