DateTime,AddedIPs,RemovedIPs
1583862136,3,3
1583863520,4,4
1583865027,8,3
1583867419,4,4
1583868492,2,3
1583870114,6,2
1583871256,3,2
1583872096,5,0
1583872934,0,5
1583874538,9,6
1583875695,7,6
1583876531,3,4
1583877378,3,4
1583878514,9,5
1583879292,4,2
1583882054,11,7
1583883313,7,9
1583884513,6,2
1583885655,5,5
1583887333,7,8
1583888172,3,7
1583889254,4,3
1583890933,8,8
1583892623,9,9
1583894533,13,8
1583896456,5,11
1583897294,6,3
1583898134,3,5
1583900054,8,9
1583900894,1,4
1583902635,3,8
1583904017,2,3
1583905337,6,6
1583907255,6,7
1583908095,3,6
1583909591,11,2
1583910918,3,8
1583912532,9,5
1583913377,5,4
1583914521,3,3
1583916137,7,3
1583916976,1,4
1583917253,1,2
1583918057,6,2
1583919735,8,8
1583920573,3,5
1583921717,7,3
1583923337,5,6
1583925024,3,7
1583926936,3,6
1583927774,3,2
1583928855,9,5
1583930533,8,7
1583931374,1,3
1583932515,1,5
1583934134,14,6
1583935822,12,10
1583937737,5,6
1583939654,6,11
1583941232,2,3
1583942172,2,5
1583943254,6,2
1583944512,1,5
1583945923,6,4
1583946856,2,2
1583947696,3,1
1583948534,0,3
1583950216,5,5
1583951419,5,3
1583952617,6,2
1583953816,5,3
1583955734,13,2
1583957652,8,11
1583958497,7,6
1583961253,14,16
1583962095,5,5
1583963712,3,8
1583964854,4,8
1583966716,4,9
1583968454,5,3
1583970029,9,10
1583970975,4,6
1583972116,8,7
1583973916,11,6
1583974573,4,2
1583975718,3,10
1583976497,5,2
1583979024,14,14
1583980092,1,3
1583982855,10,13
1583984536,4,5
1583985374,4,4
1583986521,3,7
1583987296,3,3
1583988138,5,4
1583990056,7,7
1583990893,4,4
1583991735,2,4
1583993414,7,7
1583994625,8,9
1583996683,10,8
1583998051,4,10
1583998938,5,3
1583999776,4,7
1584000853,10,2
1584002014,3,2
1584003647,5,7
1584005295,4,5
1584006977,5,0
1584008119,4,6
1584009324,1,6
1584009735,1,4
1584011424,4,7
1584012620,1,2
1584013907,1,7
1584015020,7,5
1584015253,1,1
1584016096,2,2
1584016933,0,6
1584017775,5,5
1584018852,4,5
1584020435,6,3
1584022455,6,5
1584023833,3,2
1584025816,7,8
1584026974,2,6
1584028215,3,4
1584029414,4,5
1584031336,6,11
1584033256,8,4
1584034934,6,9
1584036617,3,5
1584038532,15,3
1584039703,7,5
1584040815,9,3
1584042132,7,7
1584042976,8,3
1584044052,6,4
1584045314,8,6
1584046852,7,12
1584048015,4,5
1584049230,6,8
1584051315,10,8
1584052937,6,6
1584054624,3,7
1584056533,8,6
1584057379,1,3
1584058453,3,9
1584060134,12,5
1584062055,11,10
1584063734,12,8
1584064572,2,3
1584065719,1,6
1584066494,1,6
1584067336,3,2
1584068174,6,5
1584069253,5,1
1584070396,6,5
1584072350,4,12
1584073695,3,4
1584075316,4,2
1584076518,7,5
1584078030,7,8
1584079640,4,6
1584080897,7,7
1584082077,5,8
1584083652,4,6
1584085229,14,5
1584087259,10,9
1584088353,0,10
1584090500,8,6
1584092532,8,6
1584094455,7,8
1584095293,1,6
1584096137,0,1
1584098053,4,9
1584099735,8,4
1584101657,10,5
1584102494,2,1
1584103337,3,6
1584105260,10,8
1584106701,8,4
1584108919,5,7
1584111642,12,6
1584112817,5,6
1584114136,4,7
1584115817,12,3
1584117735,6,9
1584119653,9,11
1584121228,4,6
1584123252,7,6
1584124092,5,3
1584125772,4,5
1584126854,9,4
1584127697,4,4
1584129416,3,11
1584130455,8,2
1584132135,12,14
1584133819,5,7
1584135018,5,3
1584136514,9,1
1584137675,7,8
1584138916,4,5
1584140115,1,4
1584141255,4,8
1584142095,2,3
1584142939,4,4
1584144855,4,3
1584145695,3,3
1584147013,5,4
1584148181,5,5
1584149293,3,1
1584150593,3,3
1584152052,4,2
1584153630,12,7
1584155006,8,2
1584155655,4,0
1584157334,5,4
1584159020,4,7
1584160831,8,10
1584162855,5,11
1584164032,2,6
1584165223,2,3
1584166520,3,2
1584167714,0,4
1584168915,2,3
1584170053,6,1
1584171735,2,6
1584173422,4,3
1584174617,3,5
1584176164,1,2
1584177315,3,1
1584178935,6,2
1584180616,5,7
1584182535,5,4
1584183640,4,4
1584184819,4,1
1584186133,3,6
1584186974,2,4
1584188117,5,5
1584189313,1,2
1584191417,3,6
1584193337,3,4
1584195023,6,3
1584196934,2,6
1584197775,1,4
1584198916,4,3
1584200115,7,2
1584201372,7,2
1584202520,8,6
1584204136,7,12
1584205823,6,5
1584207175,2,8
1584208400,8,9
1584209717,6,4
1584210496,4,2
1584211667,5,6
1584213016,3,3
1584214180,5,9
1584215712,6,2
1584216902,8,5
1584217694,7,3
1584219373,4,6
1584225417,1,18
1584226572,5,3
1584227655,9,1
1584228912,5,7
1584230172,6,8
1584231252,2,2
1584232096,8,3
1584232933,5,11
1584234616,6,6
1584235694,2,3
1584236924,2,3
1584238221,9,4
1584239420,8,3
1584240616,11,4
1584241815,4,10
1584242895,9,8
1584245053,8,5
1584245654,2,5
1584246886,5,4
1584249022,2,12
1584250933,6,8
1584251776,4,2
1584252851,3,4
1584253694,2,1
1584256453,14,11
1584257286,4,5
1584260052,10,9
1584261732,6,7
1584262578,2,3
1584263655,2,2
1584264492,4,4
1584265625,4,8
1584267015,8,9
1584268220,2,3
1584269712,8,5
1584270914,6,8
1584272536,7,9
1584274456,9,7
1584276136,3,8
1584277817,6,2
1584279735,9,8
1584281652,8,10
1584282495,4,3
1584284117,3,4
1584285256,1,5
1584286513,6,9
1584287713,5,1
1584288852,5,3
1584290113,9,3
1584291314,4,8
1584292452,6,3
1584293292,2,3
1584294540,2,8
1584295241,2,3
1584296416,3,2
1584297732,5,1
1584299415,4,8
1584300619,0,1
1584301761,2,3
1584303252,2,3
1584304095,1,0
1584305413,5,2
1584306619,1,4
1584306852,2,0
1584308535,8,5
1584309373,3,1
1584310518,4,7
1584311295,5,4
1584312974,5,12
1584314118,8,2
1584314894,6,1
1584315733,1,7
1584316574,1,5
1584317717,3,3
1584318493,3,2
1584319336,5,3
1584320174,3,2
1584321250,5,2
1584322096,6,4
1584323419,6,7
1584324627,3,5
1584325827,4,4
1584327320,1,2
1584328461,2,6
1584330042,2,4
1584331822,2,3
1584332056,0,1
1584332899,406,2
1584334000,326,24
1584335381,1,43
1584337821,6,42
1584338181,3,11
1584339254,8,24
1584342197,7,45
1584342858,0,14
1584344441,2,18
1584346525,1,31
1584347716,2,15
1584349485,4,24
1584350058,3,3
1584350895,2,7
1584352338,4,15
1584353477,2,12
1584355350,3,18
1584357254,5,23
1584358094,2,9
1584359779,0,18
1584360922,1148,6
1584362420,33,108
1584364460,6,69
1584365295,4,32
1584366792,3,42
1584368119,3,46
1584369755,2,37
1584370576,2,28
1584371724,1,29
1584372497,3,21
1584373343,0,22
1584374664,3,36
1584375977,2,24
1584376949,2,18
