DateTime,AddedIPs,RemovedIPs
1583466917,3,1
1583468056,2,0
1583469317,0,1
1583470573,0,1
1583471654,2,1
1583473235,0,2
1583474543,2,3
1583476934,2,2
1583478155,2,2
1583479470,2,0
1583480718,4,1
1583482224,1,1
1583483294,1,0
1583484617,2,1
1583486057,2,5
1583487315,0,4
1583488422,1,0
1583489719,1,6
1583491232,2,7
1583493317,1,0
1583494093,3,0
1583494936,1,3
1583496459,1,0
1583497694,3,0
1583498947,0,2
1583500455,0,2
1583502134,2,2
1583504894,1,0
1583508316,1,0
1583509335,4,3
1583512827,2,1
1583515216,2,0
1583516425,3,1
1583517526,1,0
1583518817,1,0
1583520136,2,0
1583522055,1,5
1583523737,1,3
1583525428,2,1
1583526624,0,1
1583531773,0,3
1583533693,1,0
1583534534,2,2
1583535375,2,0
1583536517,10,1
1583538136,6,0
1583539817,2,0
1583541734,5,4
1583542574,1,0
1583543720,1,0
1583545230,0,1
1583548220,0,3
1583550050,7,0
1583553534,1,2
1583555297,1,0
1583556542,0,3
1583557824,1,8
1583559736,4,1
1583563827,1,1
1583566940,1,0
1583568919,1,0
1583569694,3,0
1583571225,0,1
1583572515,1,0
1583573714,1,1
1583576116,1,1
1583577734,1,2
1583579207,0,2
1583582116,0,1
1583583315,0,1
1583585116,0,4
1583586853,1,0
1583590454,2,1
1583592133,1,1
1583592973,1,0
1583595551,1,1
1583596574,0,1
1583598501,1,0
1583599339,0,1
1583600510,1,0
1583602093,1,0
1583603717,1,1
1583606429,1,0
1583608116,3,1
1583609423,0,1
1583610914,0,1
1583612055,1,1
1583612892,1,0
1583615349,2,1
1583617336,0,2
1583619254,0,1
1583620515,0,1
1583623693,1,0
1583625314,1,3
1583626456,2,0
1583627295,1,0
1583628914,0,1
1583630117,0,1
1583631914,4,1
1583633659,0,1
1583636114,1,2
1583637319,3,0
1583638099,2,0
1583640854,3,0
1583642432,1,0
1583643722,1,1
1583645294,1,0
1583646135,0,1
1583649736,0,2
1583651653,2,1
1583652916,2,1
1583654445,2,0
1583655616,2,0
1583656936,0,1
1583658854,1,1
1583660116,0,1
1583661315,2,0
1583663711,2,1
1583667737,1,1
1583669419,2,0
1583673317,1,0
1583674474,2,2
1583676919,0,1
1583678115,2,1
1583679374,1,1
1583680518,1,1
1583684095,0,1
1583687424,1,2
1583689336,0,1
1583692094,1,0
1583698517,2,1
1583700649,0,2
1583703029,1,1
1583705417,1,5
1583707334,0,7
1583709256,0,1
1583711719,0,2
1583712901,0,2
1583714115,1,1
1583716218,1,1
1583718137,1,1
1583719824,0,2
1583721024,1,1
1583722120,1,2
1583727619,1,0
1583728939,0,1
1583732433,0,1
1583733843,0,2
1583736436,0,2
