DateTime,AddedIPs,RemovedIPs
1583486406,10,15
1583488330,16,13
1583490247,11,14
1583492168,6,18
1583494085,16,16
1583496015,19,31
1583497931,23,29
1583499852,14,26
1583501769,29,16
1583503696,18,19
1583505609,11,32
1583511370,23,61
1583513293,10,36
1583515206,25,23
1583517130,23,45
1583519052,24,26
1583520966,28,30
1583522887,32,26
1583524814,31,26
1583526731,25,25
1583528658,29,18
1583530568,30,22
1583532487,26,0
1583534408,23,18
1583536333,38,24
1583538247,35,0
1583540172,34,22
1583542090,35,21
1583544005,33,45
1583545929,32,65
1583547847,33,0
1583549766,31,62
1583551685,33,0
1583553617,33,60
1583555531,30,25
1583557700,34,26
1583559610,31,24
1583561533,42,30
1583563450,26,24
1583565372,22,26
1583567291,31,0
1583569209,25,20
1583571155,26,38
1583573050,15,12
1583574966,15,17
1583576913,21,14
1583580731,18,24
1583582674,30,19
1583584592,25,25
1583586498,34,16
1583588411,20,25
1583590601,27,15
1583592495,28,18
1583594407,16,0
1583596329,17,0
1583598291,28,19
1583600170,31,13
1583602085,32,22
1583604011,29,20
1583605956,22,26
1583607852,30,25
1583610017,29,28
1583613873,21,39
1583615795,21,28
1583617691,21,22
1583619608,30,22
1583621553,32,26
1583623450,25,32
1583625366,34,30
1583627312,28,28
1583631153,30,69
1583633320,15,38
1583635211,26,34
1583637133,28,32
1583639071,35,28
1583640982,26,30
1583642893,26,28
1583644832,22,35
1583646726,19,35
1583648647,33,33
1583650589,32,28
1583652492,21,27
1583654419,26,30
1583656333,25,23
1583660172,27,51
1583662093,26,17
1583664019,35,19
1583665936,21,0
1583667869,27,21
1583669783,21,32
1583671690,27,18
1583673635,35,36
1583675529,35,20
1583679367,38,57
1583681289,21,13
1583683233,21,12
1583685134,27,37
1583687052,27,30
1583688969,34,27
1583692809,26,51
1583694731,37,29
1583696670,18,28
1583698575,21,0
1583700490,30,25
1583702407,23,23
1583704348,25,20
1583706251,25,30
1583708189,19,30
1583710085,26,23
1583712019,24,29
1583713957,25,36
1583716120,18,0
1583718009,26,31
1583719929,24,19
1583723794,32,57
1583725689,32,31
1583727630,14,28
1583729527,29,23
1583731450,22,22
1583733391,21,18
1583735285,37,34
1583737213,28,31
1583739156,24,23
1583741054,21,22
1583742968,17,23
1583744913,16,0
1583746812,21,22
1583748979,8,26
1583750892,17,36
1583752814,15,23
1583754751,9,25
1583756653,29,23
1583760760,23,63
1583762679,26,28
1583764575,20,0
1583768415,31,48
1583770335,23,26
1583772278,27,24
1583774174,31,29
1583776100,32,33
1583778032,33,0
1583779933,28,24
1583781854,34,34
1583785687,32,44
1583787611,35,28
1583789533,27,22
1583791723,32,22
1583793636,34,25
1583795538,30,19
1583797451,33,35
1583799375,24,27
1583801293,32,26
1583803238,23,23
1583805153,23,26
1583808992,25,31
1583810892,29,34
1583812816,37,27
1583814769,32,23
1583816678,34,28
1583818574,29,29
1583820521,36,20
1583822416,20,37
1583824332,30,26
1583830095,35,62
1583832005,13,20
1583833955,8,20
1583835850,16,9
1583837771,17,18
1583839712,13,22
1583841611,14,7
1583843557,3,29
1583845480,19,0
1583847427,18,30
1583849296,29,30
1583851239,30,22
1583853138,33,0
1583855051,27,29
1583858891,28,59
1583860816,20,27
1583862728,37,32
1583864652,43,29
1583866567,30,32
1583868490,26,34
1583870434,28,0
