DateTime,Entries,UniqueIPs
1583486406,5897,6172
1583488330,5875,6151
1583490247,5864,6140
1583492168,5846,6120
1583494085,5832,6110
1583496015,5822,6100
1583497931,5821,6099
1583499852,5803,6081
1583501769,5803,6082
1583503696,5800,6078
1583505609,5786,6064
1583511370,5755,6034
1583513293,5733,6012
1583515206,5733,6012
1583517130,5734,6013
1583519052,5724,6001
1583520966,5736,6013
1583522887,5732,6011
1583524814,5731,6009
1583526731,5717,5996
1583528658,5722,6002
1583530568,5710,5989
1583532487,5698,5977
1583534408,5684,5963
1583536333,5681,5961
1583538247,5699,5979
1583540172,5698,5978
1583542090,5708,5989
1583544005,5706,5987
1583545929,5705,5986
1583547847,5711,5992
1583549766,5716,5997
1583551685,5723,6005
1583553617,5733,6015
1583555531,5731,6013
1583557700,5739,6022
1583559610,5736,6019
1583561533,5744,6028
1583563450,5737,6021
1583565372,5729,6016
1583567291,5733,6020
1583569209,5733,6020
1583571155,5731,6018
1583573050,5729,6016
1583574966,5727,6014
1583576913,5736,6023
1583580731,5735,6022
1583582674,5741,6029
1583584592,5740,6028
1583586498,5740,6028
1583588411,5742,6030
1583590601,5757,6045
1583592495,5763,6049
1583594407,5760,6046
1583596329,5741,6026
1583598291,5736,6021
1583600170,5732,6017
1583602085,5733,6020
1583604011,5739,6025
1583605956,5726,6012
1583607852,5727,6013
1583610017,5718,6003
1583613873,5713,6002
1583615795,5705,5995
1583617691,5702,5991
1583619608,5699,5988
1583621553,5705,5996
1583623450,5706,5997
1583625366,5711,6003
1583627312,5715,6007
1583631153,5702,5995
1583633320,5699,5991
1583635211,5703,5994
1583637133,5707,5999
1583639071,5710,6002
1583640982,5720,6015
1583642893,5728,6023
1583644832,5729,6025
1583646726,5727,6023
1583648647,5740,6037
1583650589,5750,6047
1583652492,5749,6046
1583654419,5756,6052
1583656333,5753,6049
1583660172,5740,6036
1583662093,5745,6041
1583664019,5758,6054
1583665936,5747,6046
1583667869,5749,6048
1583669783,5762,6061
1583671690,5768,6067
1583673635,5744,6044
1583675529,5764,6064
1583679367,5741,6040
1583681289,5748,6048
1583683233,5738,6037
1583685134,5739,6038
1583687052,5757,6056
1583688969,5776,6075
1583692809,5746,6045
1583694731,5751,6052
1583696670,5739,6041
1583698575,5724,6026
1583700490,5722,6024
1583702407,5707,6009
1583704348,5703,6002
1583706251,5688,5987
1583708189,5675,5974
1583710085,5668,5967
1583712019,5658,5958
1583713957,5656,5960
1583716120,5665,5970
1583718009,5668,5974
1583719929,5669,5975
1583723794,5662,5968
1583725689,5667,5972
1583727630,5658,5963
1583729527,5656,5961
1583731450,5654,5961
1583733391,5655,5963
1583735285,5675,5983
1583737213,5667,5975
1583739156,5675,5983
1583741054,5677,5982
1583742968,5674,5979
1583744913,5664,5969
1583746812,5666,5970
1583748979,5658,5963
1583750892,5662,5968
1583752814,5661,5968
1583754751,5664,5971
1583756653,5669,5975
1583760760,5634,5940
1583762679,5650,5956
1583764575,5642,5947
1583768415,5616,5924
1583770335,5614,5921
1583772278,5604,5910
1583774174,5605,5911
1583776100,5615,5921
1583778032,5618,5924
1583779933,5614,5920
1583781854,5621,5929
1583785687,5609,5917
1583787611,5620,5928
1583789533,5622,5932
1583791723,5628,5937
1583793636,5633,5941
1583795538,5637,5944
1583797451,5641,5950
1583799375,5655,5964
1583801293,5658,5966
1583803238,5661,5968
1583805153,5657,5963
1583808992,5631,5937
1583810892,5631,5937
1583812816,5639,5943
1583814769,5643,5947
1583816678,5647,5951
1583818574,5648,5952
1583820521,5641,5945
1583822416,5638,5942
1583824332,5636,5940
1583830095,5611,5914
1583832005,5604,5907
1583833955,5600,5903
1583835850,5600,5903
1583837771,5602,5905
1583839712,5603,5906
1583841611,5605,5909
1583843557,5599,5903
1583845480,5598,5902
1583847427,5594,5899
1583849296,5596,5901
1583851239,5597,5901
1583853138,5602,5906
1583855051,5619,5924
1583858891,5596,5902
1583860816,5585,5891
1583862728,5597,5903
1583864652,5606,5912
1583866567,5615,5921
1583868490,5615,5921
1583870434,5625,5931
1583872337,5623,5929
1583874502,5618,5922
1583876416,5608,5911
1583878359,5605,5907
1583880250,5602,5904
1583882173,5603,5906
1583884090,5600,5903
1583886006,5589,5891
1583887924,5572,5874
1583893686,5555,5853
1583895611,5575,5873
1583897532,5574,5872
1583899694,5574,5872
1583901611,5570,5867
1583903530,5562,5859
1583905448,5571,5869
