DateTime,AddedIPs,RemovedIPs
1582610783,6,0
1582614385,3,2
1582621582,2,1
1582625188,4,1
1582628785,4,4
1582632388,15,0
1582635990,14,3
1582639596,1,1
1582643192,0,2
1582646792,0,1
1582653992,0,1
1582657592,5,2
1582661193,0,2
1582664794,2,0
1582668395,1,0
1582671993,0,1
1582675594,3,0
1582679196,3,1
1582682798,2,0
1582686397,0,2
1582689996,1,9
1582693591,3,11
1582697194,3,0
1582700794,1,1
1582707992,2,1
1582711595,3,1
1582715197,1,0
1582718795,1,1
1582726003,22,2
1582729601,0,1
1582736797,1,7
1582740399,2,1
1582744001,2,6
1582747600,1,4
1582751200,2,1
1582754800,0,2
1582758400,0,3
1582761996,1,5
1582765595,0,1
1582769200,0,1
1582772798,2,2
1582776402,2,1
1582780003,2,1
1582783608,4,1
1582787214,1,1
1582790810,1,0
1582794414,1,1
1582798014,1,1
1582805213,2,2
1582808809,0,2
1582812403,1,21
1582816008,18,2
1582819606,0,3
1582823200,1,4
1582826807,6,2
1582830411,3,0
1582834010,1,0
1582837608,1,1
1582841207,5,5
1582844805,1,1
1582848408,3,2
1582852008,3,4
1582855606,1,5
1582859204,3,10
1582862802,2,6
1582866393,2,14
1582869988,0,11
1582873589,1,6
1582877188,1,6
1582880781,3,5
1582884385,1,0
1582887982,1,2
1582891581,0,1
1582895182,1,2
1582898773,3,16
1582902373,2,1
1582905979,2,0
1582909575,2,2
1582913173,0,2
1582916771,1,2
1582920372,1,1
1582923973,1,1
1582927571,1,0
1582931171,1,1
1582934769,2,1
1582938365,0,3
1582941968,1,2
1582945563,2,3
1582949180,24,2
1582952776,3,1
1582956377,5,1
1582959977,0,2
1582963578,1,3
1582967179,3,0
1582970779,1,2
1582974380,1,1
1582977973,1,4
1582981569,1,1
1582985172,1,1
1582988770,0,1
1582992371,1,2
1582995968,2,1
1583003167,1,3
1583006769,2,1
1583013964,1,3
1583021164,2,0
1583024762,2,2
1583028360,1,21
1583031962,9,1
1583035566,2,0
1583039184,26,0
1583042787,5,2
1583046393,2,0
1583049991,1,1
1583053589,3,2
1583057195,4,0
1583064393,0,1
