DateTime,AddedIPs,RemovedIPs
1582311854,2,0
1582315454,0,1
1582319053,0,2
1582326253,1,3
1582329855,1,3
1582333457,4,1
1582337060,2,0
1582340658,1,1
1582344253,1,2
1582347858,1,0
1582351458,3,1
1582355047,2,20
1582358649,2,1
1582362251,1,1
1582365849,2,2
1582369450,0,2
1582373052,2,0
1582376650,1,1
1582380250,1,2
1582383852,2,0
1582387452,1,0
1582391052,1,1
1582394651,1,2
1582398252,3,0
1582401854,1,1
1582412654,0,1
1582416254,2,1
1582419856,1,0
1582423461,20,0
1582427063,0,1
1582437862,1,0
1582445062,0,2
1582448665,0,1
1582455860,1,1
1582459459,2,0
1582463060,1,0
1582466660,0,1
1582470258,0,3
1582477457,0,1
1582484656,1,1
1582488255,1,2
1582491855,0,1
1582495455,2,0
1582499057,2,0
1582502658,1,0
1582509863,19,0
1582517055,0,14
1582527856,0,1
1582542257,1,0
1582545857,1,1
1582549458,0,1
1582563859,0,1
1582571058,1,2
1582578259,1,0
1582581855,0,1
1582585459,1,2
1582596273,21,0
1582599869,1,2
1582603466,2,19
1582607066,1,0
1582610667,1,0
1582614268,1,1
1582621467,1,1
1582625068,3,0
1582628667,2,2
1582632270,14,0
1582635872,12,3
1582639473,1,1
1582643073,0,1
1582646673,0,1
1582653873,0,1
1582657473,4,2
1582661075,0,1
1582664678,2,0
1582668274,1,0
1582671873,0,1
1582675475,2,0
1582679076,2,1
1582682678,2,0
1582686276,0,2
1582689877,1,8
1582693472,2,11
1582697071,1,0
1582700673,1,1
1582707873,1,0
1582711474,3,1
1582725880,21,2
1582729480,1,1
1582736682,1,1
1582740282,2,1
1582743884,2,6
1582747483,0,4
1582751083,1,1
1582758280,0,3
1582761875,0,5
1582765476,0,1
1582769079,0,1
1582772677,0,1
1582776281,2,1
1582783478,0,1
1582787081,0,1
1582797880,1,0
1582808679,0,1
1582812271,0,21
1582815878,18,0
1582823080,0,1
1582826681,1,0
1582830284,3,0
1582833883,1,0
1582837485,1,0
1582841089,3,0
1582844688,1,1
1582848288,2,1
1582851888,1,4
1582855483,0,5
