DateTime,AddedIPs,RemovedIPs
1584107521,4,0
1584108121,1,0
1584108721,4,0
1584109239,851,554
1584109322,1,0
1584109921,54,52
1584110521,2,0
1584111121,6,0
1584111721,51,59
1584112921,1,0
1584113521,1,0
1584114121,3,0
1584115321,1,0
1584116521,6,0
1584117121,65,43
1584118321,1,1
1584118922,1,0
1584120121,1,0
1584120668,64,46
1584121921,6,0
1584122522,72,50
1584123721,2,0
1584124381,6,0
1584124922,4,0
1584125521,1,0
1584126721,5,0
1584127921,58,62
1584127981,7,0
1584129721,1,0
1584130321,2,0
1584130921,1,0
1584131522,60,56
1584132722,1,0
1584133321,65,47
1584133921,4,0
1584134521,3,0
1584135121,6,0
1584136921,3,0
1584137521,1,0
1584138793,64,79
1584141121,4,0
1584142381,2,0
1584142922,2,0
1584144149,54,79
1584145322,2,0
1584147735,51,77
1584149582,49,57
1584150121,2,0
1584150722,7,0
1584151322,2,0
1584151921,6,0
1584152521,1,0
1584153182,1,0
1584153721,5,0
1584154321,1,0
1584155521,1,0
1584156121,2,0
1584156721,81,119
1584157992,2,0
1584158522,64,82
1584159721,1,0
1584160921,4,0
1584162121,1,0
1584163922,1,0
1584164521,3,0
1584165721,58,64
1584166921,3,0
1584167497,42,43
1584168721,1,0
1584169372,54,38
1584169922,2,0
1584170522,3,0
1584171721,2,0
1584174121,3,0
1584175321,1,0
1584175921,5,0
1584176521,62,41
1584177121,2,0
1584177721,1,0
1584178321,64,46
1584178921,4,0
1584179521,2,0
1584180121,2,0
1584181321,1,0
1584181921,65,47
1584182521,3,0
1584183721,4,0
1584184322,2,0
1584185521,59,47
1584186121,5,0
1584187321,1,0
1584187921,1,0
1584188521,6,0
1584189121,1,0
1584190921,59,47
1584192781,1,0
1584193921,3,0
1584194521,46,53
1584195122,1,0
1584196356,1032,420
1584196381,1,0
1584196921,1,0
1584197521,2,0
1584198121,3,0
1584199885,59,48
1584199981,3,0
1584202321,1,0
1584203581,59,46
1584204121,2,1
1584204722,3,0
1584206521,2,0
1584207121,51,59
1584207721,1,0
1584208921,64,46
1584209521,3,0
1584210160,1,0
1584211321,1,0
1584212522,8,0
1584213721,3,0
1584214321,75,61
1584214922,3,0
1584216122,60,62
1584217321,1,0
1584218521,1,0
1584219121,2,0
1584219721,6,2
1584220922,1,0
1584221521,69,51
1584223321,6,0
1584224521,2,1
1584225068,58,75
1584225181,2,0
1584225721,1,0
1584226921,8,0
1584227521,5,0
1584228782,38,78
1584229921,3,0
1584230521,0,1
1584231326,2,0
1584231721,2,0
1584232322,2,0
1584232921,1,1
1584234192,58,80
1584236521,2,0
1584236909,51,62
1584238321,1,0
1584238921,1,0
1584239521,35,59
1584240121,1,0
1584241321,0,1
1584242521,1,0
1584243103,55,70
1584243797,2,0
1584244321,2,0
1584246121,5,0
1584246721,67,86
1584247321,4,0
1584248522,65,61
1584249721,5,1
1584250921,3,0
1584251105,2,0
1584253881,51,46
1584253981,4,1
1584254521,3,0
1584255721,4,1
1584256921,1,0
