DateTime,AddedIPs,RemovedIPs
1584201366,6,0
1584203287,7,7
1584205225,5,3
1584207130,7,0
1584209060,10,1
1584210969,6,14
1584212888,6,10
1584214808,7,9
1584215288,20,3
1584216730,6,6
1584218647,3,12
1584220680,10,14
1584222484,9,10
1584224406,10,16
1584226355,8,20
1584228248,12,16
1584228975,4,0
1584229932,19,0
1584230164,10,13
1584232085,8,12
1584234012,8,8
1584235930,6,13
1584238097,5,26
1584240008,10,13
1584241938,15,5
1584243852,9,6
1584244565,13,2
1584245771,9,11
1584247695,14,0
1584249607,11,12
1584251526,11,13
1584253446,15,429
1584255371,10,7
1584257306,3654,8107
1584257974,10,189
1584258694,8,170
1584259213,46,8
1584259653,10,211
1584260373,9,217
1584261150,15,117
1584261814,2,194
1584262534,59,82
1584263051,8,6
1584263254,1,85
1584263974,3,150
1584264692,3,121
1584264968,4,6
1584265414,6,43
1584266134,4,10
1584266906,11,4
1584267573,6,17
1584268294,5,17
1584268809,9,15
1584269013,1,6
1584269733,7,17
1584270453,5,10
1584270735,9,0
1584271173,3,9
1584271893,4,12
1584272671,19,23
1584273333,4,8
1584273847,23,1
1584274292,10,78
1584274582,2,12
1584275013,6,5
1584275733,10,5
1584276513,12,22
1584277173,5,7
1584277894,5,5
1584278429,14,13
1584278613,3,2
1584279333,62,7
1584280054,3,8
1584280325,8,0
1584281253,5,6
1584281974,4,8
1584282246,7,6
1584282693,12,8
1584283413,6,4
1584284181,9,35
1584284853,8,5
1584285574,4,7
1584286087,8,0
1584286292,1,8
1584287013,6,11
1584287732,2,5
1584288008,6,21
1584288510,23,5
1584289175,3,7
1584289950,27,33
1584290614,6,32
1584291333,5,9
1584291853,14,0
1584292052,8,7
1584292774,5,11
1584293493,5,12
1584294015,18,10
1584294213,14,7
1584294933,11,55
1584295653,6,85
1584295934,4,8
1584296373,7,79
1584297093,6,92
1584297863,22,11
1584298533,8,7
1584299253,5,9
1584299773,12,10
1584299973,4,14
1584300694,10,8
1584301413,12,7
1584301691,9,20
1584302132,16,9
1584302852,11,10
1584303132,13,2
1584303623,12,38
1584304293,11,9
1584305044,1,10
