DateTime,AddedIPs,RemovedIPs
1584050522,2,0
1584051122,3,0
1584052381,4,0
1584053521,2,0
1584054121,1,0
1584055321,3,1
1584057121,1,0
1584057721,2,0
1584058921,3,0
1584061321,2,0
1584062521,1,0
1584063121,1,0
1584063722,2,1
1584064321,2,0
1584064921,2,0
1584065521,2,0
1584066121,0,1
1584067321,2,0
1584068522,3,0
1584069722,3,0
1584070921,1,0
1584072721,1,0
1584073321,1,0
1584073921,1,0
1584075722,2,0
1584076321,0,1
1584077581,5,0
1584078122,2,0
1584079322,1,0
1584081721,2,0
1584082921,3,0
1584084121,1,0
1584085321,3,0
1584085922,1,0
1584086521,2,0
1584088922,1,0
1584089521,1,0
1584091321,2,0
1584092521,1,0
1584093121,1,0
1584094322,4,0
1584094921,2,0
1584096122,1,0
1584096721,2,0
1584097921,1,0
1584098522,1,0
1584099721,3,0
1584100921,10,0
1584101521,2,0
1584102121,5,0
1584102722,0,1
1584103321,5,0
1584103921,1,0
1584104522,2,0
1584105121,3,0
1584105721,1,0
1584106321,2,0
1584106921,1,0
1584107521,4,0
1584108121,1,0
1584108721,4,0
1584109239,851,554
1584109322,1,0
1584109921,3,0
1584110521,2,0
1584111121,6,0
1584111721,2,0
1584112921,1,0
1584113521,1,0
1584114121,3,0
1584115321,1,0
1584116521,6,0
1584118321,1,1
1584118922,1,0
1584120121,1,0
1584121921,6,0
1584122522,3,0
1584123721,2,0
1584124381,6,0
1584124922,4,0
1584125521,1,0
1584126721,5,0
1584127981,7,0
1584129721,1,0
1584130321,2,0
1584130921,1,0
1584132722,1,0
1584133921,4,0
1584134521,3,0
1584135121,6,0
1584136921,3,0
1584137521,1,0
1584138781,3,0
1584141121,5,0
1584142381,2,0
1584142922,2,0
1584144122,2,0
1584145322,2,0
1584147721,1,0
1584150121,2,0
1584150722,7,0
1584151322,2,0
1584151921,6,0
1584152521,1,0
1584153182,1,0
1584153721,5,0
1584154321,1,0
1584155521,1,0
1584156121,2,0
1584158522,1,0
1584159721,1,0
1584160921,4,0
1584162121,1,0
1584163922,1,0
1584164521,3,0
1584165721,6,0
1584166921,3,0
1584168721,1,0
1584169922,2,0
1584170522,3,0
1584171721,2,0
1584174121,3,0
1584175321,1,0
1584175921,5,0
1584176521,1,0
1584177121,2,0
1584177721,1,0
1584178321,3,0
1584178921,4,0
1584179521,2,0
1584180121,2,0
1584181321,1,0
1584182521,3,0
1584183721,4,0
1584184322,2,0
1584185521,1,0
1584186121,5,0
1584187321,1,0
1584187921,1,0
1584188521,6,0
1584189121,1,0
1584190921,5,1
1584192781,1,0
1584193921,3,0
1584195122,1,0
1584196356,893,317
1584196381,1,0
1584196921,1,0
1584197521,2,0
1584198121,3,0
1584199981,3,0
1584202321,1,0
1584203581,1,0
1584204121,2,1
1584204722,3,0
1584206521,2,0
1584207721,1,0
1584208921,1,0
1584209521,3,0
1584210121,1,0
1584211321,1,0
1584212522,8,0
1584213721,3,0
1584214321,1,0
1584214922,3,0
1584217321,1,0
1584218521,1,0
1584219121,2,0
1584219721,6,0
1584220922,1,0
1584221521,1,0
1584223321,6,0
1584224521,2,1
1584225181,2,0
1584225721,1,0
1584226921,8,0
1584227521,5,0
1584229921,3,0
1584230521,0,1
1584231122,2,0
1584231721,2,0
1584232322,2,0
1584232921,1,1
1584234121,2,0
1584236521,2,0
1584238321,1,0
1584238921,1,0
1584240121,1,0
1584241321,0,1
1584242521,1,0
1584243721,2,0
1584244321,2,0
1584246121,5,0
1584247321,4,0
1584248522,3,0
1584249721,5,1
1584250921,3,0
1584251105,2,0
1584253981,4,1
1584254521,3,0
1584255721,4,1
1584256921,1,0
1584257521,1,0
1584258121,3,0
1584258721,7,0
1584260521,6,0
1584262321,2,0
1584262921,2,0
1584263522,1,0
1584264121,1,0
1584265321,7,0
1584266521,2,0
1584267121,4,1
1584267722,1,0
1584268321,6,0
1584270121,6,0
1584271981,2,0
1584272521,4,0
1584273121,6,0
1584274321,2,0
1584274921,2,0
1584275521,6,0
1584276121,3,0
1584276721,3,0
1584277321,5,0
1584277921,3,0
1584280921,3,0
1584281521,1,0
1584282781,2,0
1584283494,795,383
1584285121,3,0
1584286382,5,0
1584287522,1,0
1584289321,0,1
1584289921,5,0
1584291121,12,0
1584292921,1,0
1584293582,2,0
1584294121,1,0
1584295321,7,0
1584295921,3,0
1584297721,1,0
1584298321,2,0
1584299521,7,0
1584300121,1,0
1584300721,1,0
1584300782,2,0
1584303721,1,0
1584304321,1,0
1584304921,4,0
1584305521,2,0
1584306121,4,0
1584306721,2,0
1584307321,3,0
1584307921,3,0
1584308521,1,0
1584309121,2,0
1584310321,4,0
1584310921,3,0
1584312121,1,0
1584313321,1,0
1584316321,1,0
1584316921,3,0
1584317521,1,0
1584318122,9,0
1584318722,5,0
1584319321,1,0
1584320521,4,0
1584322921,2,1
1584323521,3,1
1584324121,1,0
1584325321,2,0
1584325981,1,0
1584326522,2,0
1584327721,1,0
1584328321,1,0
1584330122,7,0
1584331322,2,0
1584332521,3,0
1584333121,10,0
1584334321,3,0
1584335521,1,0
1584336781,1,0
1584337921,6,0
1584338521,6,0
1584339722,6,0
1584340922,5,0
1584342121,2,0
1584343321,5,0
1584344521,1,1
1584345721,2,0
1584346321,1,0
1584346922,2,0
1584348121,4,0
1584349321,5,0
1584350522,1,0
1584351722,3,0
1584352921,7,0
1584353521,3,0
1584354781,5,0
1584355921,4,0
1584356521,2,0
1584357721,4,0
1584358321,1,0
1584359521,0,1
1584360721,1,0
1584361921,3,0
1584362522,4,0
1584363721,1,0
1584364321,1,0
1584364922,0,1
1584366121,3,0
1584366721,3,0
1584367921,7,0
1584369181,2,0
1584369721,0,1
1584370612,925,254
1584372121,5,0
1584372721,1,0
1584373321,2,0
1584374521,4,2
1584375122,1,0
1584377522,3,1
1584378721,5,0
1584379321,4,0
1584379982,0,1
1584380521,1,0
1584381721,8,0
1584382322,4,0
1584382921,1,0
1584383521,4,0
1584384721,4,0
1584385321,1,0
1584385922,1,0
1584387121,4,0
1584387721,2,0
1584388322,2,0
1584390121,7,0
1584390721,0,1
1584391921,4,0
1584392521,4,0
1584393121,1,0
1584393721,2,0
1584394321,0,1
1584394921,2,0
1584395521,3,0
1584397321,2,0
1584398522,3,0
1584399721,2,0
1584400921,19,0
1584401521,1,0
1584402121,3,0
1584403321,6,0
1584404522,1,0
1584405121,3,0
1584405721,2,0
1584406921,2,0
1584408122,2,1
1584409321,3,0
1584410521,1,0
1584411722,6,1
1584413521,3,0
1584414721,1,0
1584415322,3,0
1584417121,5,0
1584417721,1,0
1584418922,1,0
1584419521,13,0
1584419581,1,0
1584420121,2,0
1584421322,6,0
1584421921,4,0
1584422522,1,0
1584423722,5,0
1584424921,4,0
1584426121,2,0
1584427321,4,0
1584428521,1,0
1584429721,3,0
1584431521,5,0
1584432121,1,0
1584432721,3,0
1584433322,0,1
1584433982,1,0
1584435722,3,0
1584436322,3,0
1584436921,3,0
1584437521,2,0
1584438721,2,0
1584439921,4,0
1584440521,3,0
1584442922,5,0
1584443521,3,0
1584444782,5,0
1584445922,2,0
1584446521,2,0
1584447122,2,0
1584447721,3,0
1584448921,4,0
1584449521,5,0
1584451921,8,0
1584452521,6,0
1584453121,5,0
1584453721,15,0
1584454321,2,0
1584454922,2,0
1584455522,2,0
1584456121,5,0
1584457321,4,0
1584457734,825,253
1584457921,1,1
1584458521,6,0
1584459122,7,0
1584461521,2,0
1584463321,1,0
1584463922,1,0
1584464521,2,0
1584465121,3,0
1584465721,1,0
1584466321,1,0
1584466921,1,0
1584468122,6,0
1584468721,2,0
1584469321,1,0
1584469922,2,0
1584470521,2,0
1584471121,1,0
1584471722,9,0
1584472321,1,0
1584472921,4,0
1584473581,1,0
1584475321,7,0
1584475921,1,0
1584476521,17,0
1584477121,1,0
1584477722,1,0
1584478322,5,0
1584478921,1,0
1584479521,1,0
1584480121,1,0
1584480721,5,0
1584480781,1,0
1584481322,2,0
1584482522,5,0
1584483722,4,0
1584485522,5,0
1584486721,2,0
1584487321,10,1
1584487921,2,0
1584488521,1,0
1584489722,6,0
1584490321,2,1
1584491521,4,0
1584492721,2,0
1584493321,3,0
1584493921,2,0
1584494522,1,0
1584496321,4,0
1584496921,8,0
1584500522,4,0
1584501122,2,0
1584502321,2,0
1584503521,0,1
1584504121,1,0
1584505321,3,0
1584505921,4,0
1584506521,1,0
1584507121,2,0
1584507721,3,0
1584508321,2,0
1584508921,1,0
1584509582,1,0
1584510121,5,0
1584510722,1,0
1584511322,3,0
1584511921,7,0
1584512521,3,0
1584513182,1,0
1584513721,5,0
1584514921,13,0
1584516721,3,0
1584517321,2,0
1584518521,1,0
1584519121,1,0
1584519721,2,0
1584520921,2,0
1584521521,2,0
1584522721,5,0
1584523322,2,0
1584523921,1,0
1584524521,3,0
1584525121,7,0
1584525721,4,0
1584526321,6,0
1584527581,2,0
1584528121,2,0
1584528722,3,0
1584529321,4,0
1584529922,1,0
