DateTime,Entries,UniqueIPs
1583565371,1785,1785
1583567290,1774,1774
1583569208,1774,1774
1583571154,1770,1770
1583573048,1770,1770
1583574965,1773,1773
1583576912,1772,1772
1583578822,955,955
1583580730,964,964
1583582673,1411,1411
1583584591,1419,1419
1583586496,1424,1424
1583588410,1435,1435
1583590600,1433,1433
1583592494,1438,1438
1583594406,1434,1434
1583596327,1434,1434
1583598290,1435,1435
1583600168,1422,1422
1583602083,1419,1419
1583604009,1401,1401
1583605954,1401,1401
1583607850,1394,1394
1583610015,1390,1390
1583611931,1386,1386
1583613871,1383,1383
1583615793,1367,1367
1583617689,1364,1364
1583619605,1351,1351
1583621550,1347,1347
1583623448,1343,1343
1583625366,1320,1320
1583627312,1732,1732
1583629211,1737,1737
1583631153,1746,1746
1583633321,1834,1834
1583635211,1841,1841
1583637133,1837,1837
1583639071,1837,1837
1583640982,1828,1828
1583642893,1821,1821
1583644832,1813,1813
1583646726,1805,1805
1583648647,1799,1799
1583650588,1795,1795
1583652491,1792,1792
1583654418,1787,1787
1583656333,1783,1783
1583658273,1782,1782
1583660171,1784,1784
1583662093,1782,1782
1583664018,1774,1774
1583665935,893,893
1583667869,896,896
1583669782,1322,1322
1583671689,1315,1315
1583673634,1315,1315
1583675528,1320,1320
1583677447,1322,1322
1583679366,1335,1335
1583681288,1346,1346
1583683232,1345,1345
1583685133,1348,1348
1583687051,1341,1341
1583688968,1342,1342
1583690919,1337,1337
1583692808,1341,1341
1583694730,1345,1345
1583696669,1358,1358
1583698573,1359,1359
1583700488,1351,1351
1583702405,1350,1350
1583704346,1344,1344
1583706249,1334,1334
1583708187,1335,1335
1583710084,1320,1320
1583712019,1714,1714
1583713957,1716,1716
1583716119,1711,1711
1583718009,1712,1712
1583719929,1703,1703
1583721872,1708,1708
1583723793,1709,1709
1583725689,1708,1708
1583727630,1715,1715
1583729526,1716,1716
1583731449,1705,1705
1583733390,1690,1690
1583735285,1684,1684
1583737212,1688,1688
1583739155,1703,1703
1583741052,1701,1701
1583742967,1710,1710
1583744912,1713,1713
1583746810,1723,1723
1583748978,1714,1714
1583750891,1718,1718
1583752813,950,950
1583754749,941,941
1583756651,1349,1349
1583758588,1345,1345
1583760758,1339,1339
1583762677,1330,1330
1583764573,1332,1332
1583766515,1334,1334
1583768413,1328,1328
1583770333,1333,1333
1583772276,1346,1346
1583774172,1356,1356
1583776098,1357,1357
1583778029,1361,1361
1583779931,1362,1362
1583781851,1370,1370
1583783769,1375,1375
1583785686,1373,1373
1583787608,1366,1366
1583789530,1361,1361
1583791720,1360,1360
1583793633,1366,1366
1583795536,1369,1369
1583797451,1363,1363
1583799375,1742,1742
1583801293,1738,1738
1583803238,1731,1731
1583805153,1732,1732
1583807079,1733,1733
1583808992,1735,1735
1583810892,1732,1732
1583812817,1743,1743
1583814769,1751,1751
1583816678,1760,1760
1583818574,1769,1769
1583820521,1767,1767
1583822416,1774,1774
1583824332,1784,1784
1583826275,1790,1790
1583828195,1800,1800
1583830095,1791,1791
1583832005,1790,1790
1583833954,1789,1789
1583835850,1797,1797
1583837771,1784,1784
1583839711,928,928
1583841611,1365,1365
1583843556,1369,1369
1583845479,1395,1395
1583847426,1388,1388
1583849295,1403,1403
1583851238,1399,1399
1583853137,1405,1405
1583855050,1415,1415
1583856971,1421,1421
1583858889,1429,1429
1583860814,1441,1441
1583862727,1453,1453
1583864651,1467,1467
1583866566,1473,1473
1583868489,1484,1484
1583870433,1490,1490
1583872336,1489,1489
1583874500,1499,1499
1583876414,1509,1509
1583878357,1518,1518
1583880249,1527,1527
1583882171,1539,1539
1583884090,1545,1545
1583886006,1929,1929
1583887924,1949,1949
1583889846,1949,1949
1583891765,1956,1956
1583893685,1977,1977
1583895610,1978,1978
1583897532,1982,1982
1583899694,1995,1995
1583901611,1992,1992
1583903529,2005,2005
1583905447,2014,2014
1583907370,2022,2022
1583909289,2025,2025
1583911204,2037,2037
1583913125,2042,2042
1583915049,2048,2048
1583916966,2044,2044
1583918886,2049,2049
1583920813,2048,2048
1583922730,2045,2045
1583924655,1205,1205
1583926569,1224,1224
1583928488,1656,1656
1583930408,1667,1667
1583932329,1678,1678
1583934274,1693,1693
1583936172,1715,1715
1583938089,1716,1716
1583940007,1724,1724
1583941928,1719,1719
1583943875,1720,1720
1583945765,1730,1730
1583947684,1725,1725
1583949606,1734,1734
1583951528,1735,1735
1583953698,1734,1734
1583955648,1740,1740
1583957529,1739,1739
1583959446,1746,1746
1583961370,1749,1749
1583963286,1756,1756
1583965234,1762,1762
1583967123,1774,1774
1583969047,1784,1784
1583970989,1779,1779
1583972886,2166,2166
1583974807,2172,2172
1583976774,2171,2171
1583978893,2177,2177
1583980811,2178,2178
1583982730,2194,2194
1583984648,2196,2196
