DateTime,AddedIPs,RemovedIPs
1583632806,139,264
1583634607,154,186
1583636407,144,189
1583638207,164,173
1583640007,300,179
1583641808,189,314
1583643608,163,165
1583645406,221,153
1583647206,198,131
1583649007,132,202
1583650807,132,211
1583652606,164,137
1583654406,174,128
1583656206,131,70
1583658006,160,114
1583659807,255,192
1583661606,173,223
1583663408,200,300
1583665206,235,201
1583667006,162,133
1583668806,150,199
1583670606,101,85
1583672406,66,5
1583674206,84,7
1583676004,102,9
1583677804,66,9
1583679605,57,14
1583681405,70,11
1583683205,315,189
1583685005,310,118
1583686805,254,71
1583688604,225,89
1583690405,175,63
1583692203,85,13
1583694004,108,13
1583695804,305,47
1583697603,70,172
1583699404,74,146
1583701204,544,112
1583703004,415,145
1583704803,286,203
1583706604,317,162
1583708403,281,184
1583710204,344,175
1583712004,316,128
1583713804,303,110
1583715603,345,902
1583717404,340,562
1583719205,268,1181
1583721006,366,773
1583722805,343,713
1583724607,302,488
1583726407,318,526
1583728207,333,565
1583730008,355,441
1583731808,456,156
1583733608,398,254
1583735408,374,164
1583737208,261,229
1583739008,275,357
1583740809,285,326
1583742609,300,284
1583744409,340,129
1583746209,853,94
1583748009,667,37
1583749809,584,31
1583751609,492,57
1583753408,296,21
1583755208,356,23
1583757008,302,34
1583758808,413,39
1583760607,1282,266
1583762408,1968,288
1583764207,650,103
1583766007,818,145
1583767807,742,131
1583769605,646,152
1583771405,417,80
1583773206,504,95
1583775004,432,34
1583776804,375,45
1583778604,491,67
1583780404,572,75
1583782204,275,287
1583784003,254,260
1583785806,273,300
1583787603,294,187
1583789403,258,662
1583791203,369,616
1583793002,374,498
1583794804,345,574
1583796603,319,274
1583798402,340,265
1583800202,288,289
1583802002,245,281
1583803803,321,401
1583805602,281,2628
1583807402,305,587
1583809203,297,804
1583811002,296,711
1583812802,234,697
1583814603,279,475
1583816402,202,412
1583818202,189,363
1583820003,306,354
1583821803,228,350
1583823602,265,380
1583825402,259,252
1583827203,228,238
1583829002,245,273
1583830801,271,312
1583832603,264,329
1583834402,225,367
