DateTime,AddedIPs,RemovedIPs
1584093121,3,10
1584093721,4,0
1584094921,2,5
1584095521,1,18
1584096122,4,0
1584097921,3,0
1584098522,5,7
1584099721,2,1
1584100321,4,3
1584100921,3,2
1584101521,4,0
1584102121,4,0
1584102722,2,1
1584103321,5,5
1584104522,2,0
1584105121,9,1
1584105721,2,4
1584106321,4,0
1584106921,6,11
1584108121,1,2
1584109322,3,6
1584109921,7,0
1584110521,5,4
1584111121,11,0
1584111721,1,3
1584112921,1,3
1584113521,2,0
1584114721,3,5
1584115921,7,12
1584116521,2,0
1584117121,5,0
1584117721,1,0
1584118922,8,0
1584120121,3,4
1584120721,5,1
1584121921,7,4
1584122522,7,0
1584123122,9,10
1584123721,1,0
1584124922,15,5
1584126121,10,6
1584126721,4,0
1584127921,10,4
1584128521,1,0
1584129721,2,7
1584130321,10,0
1584130921,2,1
1584132122,1,1
1584132722,6,21
1584133921,5,0
1584134521,4,0
1584135121,13,3
1584136321,2,5
1584136921,4,2
1584137521,5,0
1584138721,6,7
1584140521,2,3
1584141121,12,10
1584141721,0,4
1584142922,5,17
1584144122,3,0
1584145322,3,10
1584146521,2,0
1584147721,4,0
1584148321,6,8
1584149521,2,0
1584150722,13,8
1584151921,11,5
1584152521,4,1
1584153121,6,1
1584154321,1,0
1584154921,1,5
1584155521,8,2
1584156121,1,3
1584156721,2,4
1584157922,4,3
1584158522,2,0
1584159122,4,1
1584160321,6,1
1584161521,2,2
1584162121,2,0
1584163322,2,3
1584163922,4,1
1584164521,5,0
1584165121,2,4
1584165721,3,2
1584166921,7,0
1584167521,4,9
1584168721,2,0
1584169922,8,27
1584170522,7,0
1584171121,3,3
1584171721,2,4
1584172322,3,4
1584172921,9,7
1584174121,3,0
1584175321,2,7
1584175921,3,5
1584176521,1,0
1584178321,9,0
1584178921,3,5
1584180121,3,7
1584180721,5,10
1584181321,16,0
1584182521,4,0
1584183122,3,25
1584183721,6,7
1584184322,1,0
1584185521,8,7
1584186121,0,9
1584187921,5,5
1584188521,5,1
1584189121,3,3
1584190322,3,8
1584190921,8,0
1584192121,3,3
1584193921,2,4
1584195122,10,4
1584196321,3,2
1584196921,2,2
1584197521,5,6
1584198121,1,4
1584199921,8,9
1584200521,2,7
1584202321,1,2
1584203521,4,6
1584204121,6,4
1584205321,1,1
1584206521,2,1
1584207721,3,1
1584208921,5,12
1584209521,4,4
1584210121,6,4
1584210722,10,1
1584211922,4,0
1584212522,11,0
1584213721,3,2
1584214922,5,4
1584216122,7,4
1584216722,4,0
1584217321,3,4
1584218521,11,5
1584219121,10,0
1584219721,2,4
1584220922,1,0
1584221521,0,3
1584222722,8,15
1584223321,16,4
1584223921,6,7
1584224521,5,2
1584225721,5,2
1584226322,7,3
1584227521,8,16
1584228121,5,0
1584228721,2,5
1584229921,6,0
1584230521,0,1
1584231122,1,0
1584231721,4,6
1584232322,5,2
1584232921,2,5
1584234121,4,0
1584235321,3,10
1584235921,5,3
1584236521,5,0
1584238321,5,1
1584238921,1,2
1584239521,4,4
1584240121,1,0
1584241321,5,0
1584242521,2,7
1584243121,3,23
1584244321,3,0
1584244922,5,4
1584246721,1,0
1584247321,3,20
1584248522,6,4
1584249122,2,3
1584250321,1,0
1584250921,7,7
1584252721,2,2
1584253921,9,4
1584254521,2,3
1584255721,3,0
1584256321,2,9
1584257521,2,0
1584258121,8,2
1584258721,11,0
1584260521,8,7
1584262921,3,5
1584264121,2,5
1584264721,8,14
1584265921,4,0
1584266521,10,5
1584267121,9,0
1584267722,1,9
1584268321,7,0
1584268921,0,3
1584270121,3,6
1584270721,4,1
1584271321,7,2
1584272521,6,0
1584273121,10,6
1584273721,0,8
1584274321,8,0
1584275521,6,0
1584276121,3,0
1584276721,7,0
1584277321,6,7
1584277921,3,0
1584278521,1,7
1584279121,5,8
1584279721,1,3
1584281521,2,4
1584282721,5,11
1584283321,7,2
1584284521,2,0
1584285121,7,5
1584286321,3,9
1584287522,3,3
1584288122,6,26
1584289321,1,3
1584289921,7,0
1584290521,1,1
1584291121,16,5
1584291721,3,4
1584292921,5,3
1584294121,7,3
1584294721,5,5
1584295921,5,1
1584296521,3,0
1584297121,4,9
1584297721,4,0
1584298321,5,4
1584299521,8,11
1584300721,6,3
1584301321,2,1
1584302521,3,2
1584304321,4,5
1584304921,15,17
1584306121,6,5
1584307321,4,4
1584307921,5,4
1584308521,1,0
1584309121,7,10
1584310321,8,4
1584310921,7,0
1584312121,4,1
1584313321,3,10
1584313921,1,3
1584315121,3,8
1584316321,6,7
1584316921,7,4
1584317521,5,0
1584318122,11,4
1584318722,5,0
1584319321,2,5
1584319922,1,0
1584321122,6,4
1584322322,3,9
1584322921,1,0
1584323521,4,4
1584324121,1,3
1584325321,8,6
1584326522,4,4
1584327721,4,6
1584328321,2,7
1584329522,3,0
1584330122,11,0
1584330721,5,4
1584331322,7,3
1584332521,9,19
1584333121,6,0
1584334321,6,4
1584335521,1,9
1584336121,5,1
1584337321,8,1
1584337921,13,0
1584338521,5,6
1584339722,4,5
1584340922,4,3
1584341522,3,18
1584342721,5,6
1584343321,1,0
1584344521,2,0
1584345721,3,5
1584346321,7,6
1584346922,6,9
1584348121,8,15
1584349321,8,3
1584349922,1,11
1584351122,9,0
1584351722,8,34
1584352921,2,5
1584353521,6,12
1584354121,8,0
1584354721,4,4
1584355921,6,0
1584356521,2,0
1584357121,5,15
1584358321,6,3
1584358921,3,4
1584360122,4,4
1584361321,9,4
1584362522,3,0
1584363721,5,18
1584364321,2,0
1584364922,2,0
1584366121,4,1
1584366721,8,5
1584367921,5,0
1584368521,4,34
1584369122,5,4
1584369721,6,0
1584371521,7,6
1584372121,3,3
1584372721,4,0
1584373321,4,4
1584374521,8,5
1584375122,3,0
1584375722,2,4
1584376921,3,25
1584377522,6,0
1584378121,4,1
1584378721,6,7
1584379321,7,4
1584379921,8,4
1584381121,5,0
1584382322,7,0
1584383521,2,3
1584384121,1,0
1584384721,4,1
1584385321,7,5
1584385922,2,7
1584386521,7,8
1584387721,5,8
1584388322,6,0
1584388921,6,7
1584390121,3,2
1584391321,6,11
1584391921,4,0
1584392521,4,0
1584393121,3,3
1584393721,3,2
1584394321,3,11
1584395521,5,0
1584396721,3,5
1584397921,0,9
1584398522,5,4
1584399721,24,7
1584400921,1,18
1584402121,3,0
1584402721,8,3
1584403321,4,2
1584404522,3,0
1584405121,7,4
1584405721,7,11
1584406321,4,6
1584408122,4,6
1584409321,5,4
1584409921,6,6
1584411722,3,2
1584412322,7,5
1584413521,4,6
1584414721,3,5
1584415322,12,2
1584415921,5,9
1584417121,5,4
1584417721,1,0
1584418922,5,2
1584419521,16,0
1584420121,10,5
1584421921,6,5
1584422522,4,18
1584423121,5,10
1584424321,6,0
1584424921,4,4
1584426121,9,0
1584426721,6,7
1584427321,3,0
1584427922,3,0
1584429721,5,18
1584430322,6,1
1584431521,2,4
1584432121,5,0
1584432721,10,2
1584433921,2,8
1584434522,2,0
1584435722,5,12
1584436921,5,2
1584437521,3,0
1584438721,2,6
1584439322,3,14
1584439921,6,3
1584441121,1,0
1584441722,3,2
1584442321,3,0
1584442922,3,2
1584443521,4,0
1584444121,5,7
1584445321,3,6
1584445922,8,0
1584447122,3,0
1584447721,2,25
1584448921,7,4
1584449521,7,0
1584450121,2,11
1584451322,9,4
1584452521,10,2
1584453121,2,0
1584453721,12,8
1584454321,4,6
1584454922,7,5
1584456121,4,0
1584456721,7,1
1584457921,2,5
1584458521,9,0
1584459122,3,15
1584460321,2,6
1584460921,6,0
1584461521,4,9
1584462721,2,2
1584463321,1,5
1584465121,6,8
1584465721,1,14
1584466321,5,0
1584466921,2,7
1584468122,3,0
1584469922,4,4
1584470521,1,0
1584471722,8,3
1584472321,5,0
1584472921,3,0
1584473521,4,7
1584474121,3,11
1584474721,4,2
1584475921,3,0
1584476521,7,4
1584477722,3,2
1584478921,3,1
1584479521,2,4
1584480121,2,0
1584481921,0,30
1584482522,8,6
1584483722,5,2
1584484322,8,2
1584485522,4,9
1584486721,5,6
1584487321,16,0
1584488521,3,7
1584489722,7,6
1584490321,4,17
1584490922,8,0
1584491521,3,5
1584493321,5,1
1584493921,3,7
1584494522,3,8
