DateTime,AddedIPs,RemovedIPs
1584099721,80,80
1584100321,80,80
1584100921,69,69
1584101521,79,79
1584102121,80,80
1584102722,80,80
1584103321,80,80
1584104522,80,80
1584105121,80,80
1584105721,80,80
1584106321,80,80
1584106921,80,80
1584108121,51,51
1584109322,80,80
1584109921,80,80
1584110521,77,77
1584111121,80,80
1584111721,80,80
1584112921,80,80
1584113521,80,80
1584114721,80,80
1584115921,80,80
1584116521,80,80
1584117121,80,80
1584117721,80,80
1584118922,80,80
1584120121,80,80
1584120721,80,80
1584121921,80,80
1584122522,80,80
1584123122,80,80
1584123721,80,80
1584124922,77,77
1584126121,80,80
1584126721,80,80
1584127921,78,78
1584128521,80,80
1584129721,80,80
1584130321,80,80
1584130921,80,80
1584132122,80,80
1584132722,80,80
1584133921,74,74
1584134521,80,80
1584135121,80,80
1584136321,80,80
1584136921,80,80
1584137521,80,80
1584138721,80,80
1584139321,80,80
1584140521,78,78
1584141121,80,80
1584141721,80,80
1584142922,80,80
1584144122,80,80
1584145322,80,80
1584146521,80,80
1584147721,79,79
1584148321,80,80
1584149521,80,80
1584150722,80,80
1584151921,50,50
1584152521,80,80
1584153121,80,80
1584154321,80,80
1584154921,80,80
1584155521,80,80
1584156121,18,18
1584156721,80,80
1584157922,80,80
1584158522,80,80
1584159122,80,80
1584160321,80,80
1584161521,26,26
1584162121,80,80
1584163322,80,80
1584163922,80,80
1584164521,80,80
1584165121,80,80
1584165721,80,80
1584166921,79,79
1584167521,22,22
1584168721,78,78
1584169922,80,80
1584170522,80,80
1584171121,79,79
1584171721,79,79
1584172322,18,18
1584172921,77,77
1584174121,79,79
1584175321,80,80
1584175921,80,80
1584176521,80,80
1584178321,73,73
1584178921,80,80
1584180121,80,80
1584180721,80,80
1584181321,75,75
1584182521,37,37
1584183122,43,43
1584183721,80,80
1584184322,80,80
1584185521,80,80
1584186121,80,80
1584187921,80,80
1584188521,79,79
1584189121,80,80
1584190322,79,79
1584190921,80,80
