DateTime,AddedIPs,RemovedIPs
1584102121,8,5
1584102722,5,14
1584103321,3,3
1584103921,1,8
1584104522,3,0
1584105721,7,15
1584106921,1,7
1584107521,13,0
1584108721,7,20
1584109322,3,0
1584109921,2,1
1584110521,4,9
1584111721,6,5
1584112921,1,10
1584114121,8,15
1584114721,5,20
1584115321,5,0
1584116521,1,3
1584117121,0,5
1584118321,0,8
1584118922,0,2
1584119521,1,0
1584120121,0,17
1584120721,2,0
1584121921,13,4
1584122521,6,0
1584123721,10,12
1584124321,11,0
1584125521,17,6
1584126121,4,0
1584126721,10,12
1584127322,2,9
1584127921,5,1
1584129121,17,11
1584129721,4,3
1584130921,4,13
1584131522,3,0
1584132122,0,16
1584132722,3,0
1584133321,12,20
1584133921,2,0
1584134521,3,5
1584135121,1,24
1584135721,0,3
1584136921,2,11
1584137521,7,0
1584138122,3,25
1584139921,3,2
1584140521,14,0
1584141121,3,3
1584142321,4,12
1584143521,10,26
1584144122,8,0
1584144722,2,19
1584145921,5,0
1584146521,0,16
1584147721,9,10
1584148921,7,7
1584150121,15,12
1584151322,7,0
1584152521,11,23
1584153121,8,12
1584153721,19,0
1584154321,0,14
1584155521,15,0
1584156121,9,15
1584156721,6,0
1584157321,13,0
1584158522,15,7
1584159721,13,14
1584160921,5,18
1584162121,4,15
1584163322,6,25
1584164521,8,17
1584165721,15,9
1584166921,4,15
1584168121,3,24
1584168721,1,0
1584169321,2,0
1584170522,12,4
1584171721,27,18
1584172921,17,13
1584173522,9,25
1584174721,8,0
1584175921,21,14
1584176521,1,11
1584177121,10,8
1584177721,3,0
1584178321,7,19
1584178921,12,0
1584179521,12,24
1584180121,22,0
1584180721,0,13
1584181321,3,14
1584181921,11,0
1584183122,17,30
1584183721,5,4
1584185521,22,15
1584186121,4,12
1584187321,26,0
1584187921,1,10
1584188521,14,5
1584189121,8,9
1584190322,9,0
1584191521,11,12
1584193321,13,8
1584193921,3,9
1584194521,2,0
1584195721,4,10
1584196321,0,8
1584197521,11,16
1584198121,6,0
1584198721,6,6
1584199921,8,10
1584200521,3,12
1584202321,15,0
1584202921,0,5
1584203521,0,1
1584204722,20,1
1584205321,5,0
1584206521,5,1
1584207121,1,0
1584207721,2,9
1584208921,3,14
1584209521,4,0
1584210121,2,0
1584211321,19,19
1584211922,1,0
1584212522,12,11
1584213721,11,15
1584214321,5,0
1584214922,18,12
1584216122,10,15
1584217321,12,5
1584217921,1,2
1584218521,11,0
1584219121,2,13
1584219721,8,3
1584220922,11,6
1584222121,5,4
1584224521,17,14
1584225721,9,10
1584226921,19,5
1584227521,1,9
1584228121,11,0
1584228721,4,10
1584229921,20,13
1584230521,6,6
1584231122,1,0
1584231721,15,0
1584232322,11,2
1584234121,3,12
1584235321,6,0
1584235921,11,7
1584236521,1,0
1584237121,0,12
1584238321,9,0
1584238921,3,0
1584239521,8,13
1584240121,3,1
1584241321,7,0
1584241922,1,17
1584242521,3,0
1584243721,15,33
1584244321,7,0
1584246121,9,24
1584247321,16,0
1584248521,6,10
1584249721,19,8
1584250921,9,10
1584252121,10,6
1584252721,3,3
1584253921,5,0
1584254521,3,0
1584255721,13,12
1584256921,5,0
1584257521,3,12
1584258121,5,13
1584258721,6,8
1584260521,13,7
1584262321,11,19
1584262921,5,0
1584263522,3,12
1584264121,2,1
1584264721,3,16
1584265321,1,11
1584265921,0,16
1584266521,6,0
1584267722,2,4
1584268321,6,21
1584269521,4,7
1584270121,3,0
1584270721,4,0
1584271922,0,20
1584272521,5,21
1584274321,6,8
1584274921,4,23
1584275521,2,0
1584276121,1,9
1584276721,4,0
1584277321,0,3
1584277921,4,0
1584278521,9,2
1584279121,2,15
1584280921,7,12
1584281521,12,0
1584282121,1,0
1584282721,10,2
1584283321,3,0
1584283921,8,9
1584284521,14,7
1584285121,5,0
1584286321,12,14
1584286921,13,0
1584287522,16,0
1584288122,14,12
1584288721,2,3
1584289321,26,0
1584289921,9,0
1584291121,1,10
1584291721,1,3
1584292921,19,5
1584294121,23,4
1584295321,14,4
1584295921,12,5
1584297121,16,9
1584298321,10,11
1584298922,17,10
1584300121,32,0
1584300721,22,7
1584301321,14,14
1584301921,2,12
1584302521,7,0
1584303721,20,9
1584304321,8,9
1584305521,7,10
1584306121,12,0
1584306721,17,9
1584307321,11,0
1584307921,3,7
1584308521,16,0
1584309121,19,1
1584309722,11,14
1584310321,21,0
1584311522,15,13
1584312121,6,0
1584313321,19,15
1584313921,13,13
1584314522,5,0
1584315721,24,14
1584316921,34,7
1584317521,22,12
1584318122,15,7
1584318722,8,0
1584319321,25,3
1584320521,25,6
1584321721,13,6
1584322921,8,4
1584323521,1,4
1584324121,9,0
1584324721,16,6
1584325321,10,0
1584326521,16,13
1584327721,12,2
1584328321,1,15
1584329522,23,0
1584330122,13,0
1584331322,20,17
1584332521,16,6
1584333121,17,8
1584334321,19,0
1584334922,3,10
1584336121,14,0
1584337321,8,10
1584338521,8,6
1584339722,12,9
1584340922,10,7
1584342121,8,17
1584343321,23,1
1584344521,3,3
1584345721,11,3
1584346321,9,11
1584346922,8,0
1584348121,10,10
1584348721,8,0
1584349321,6,3
1584349922,1,5
1584350522,11,9
1584351722,4,3
1584352921,7,6
1584353521,4,0
1584354121,4,2
1584354721,4,5
1584355921,2,1
1584356521,3,4
1584357721,7,2
1584359521,4,8
1584360721,0,1
1584361321,1,0
1584361921,3,6
1584362522,4,0
1584363121,4,6
1584363721,0,3
1584364922,10,8
1584365521,2,0
1584366121,2,0
1584366721,0,4
1584367321,5,10
1584367921,2,3
1584369122,6,0
1584369721,3,8
1584370921,2,7
1584371521,3,0
1584372121,4,3
1584373321,2,14
1584374521,5,8
1584375122,2,11
1584376322,1,10
1584376921,2,2
1584377522,5,2
1584378721,5,7
1584379921,6,10
1584380521,3,0
1584381721,8,15
1584382921,7,20
1584383521,8,0
1584384121,4,6
1584384721,7,6
1584385922,1,11
1584386521,2,0
1584387121,10,29
1584387721,17,0
1584388322,3,6
1584388921,1,3
1584389521,1,17
1584390121,9,0
1584390721,6,4
1584391321,4,5
1584392521,11,15
1584393721,7,33
1584394321,4,15
1584394921,14,15
1584396121,4,23
1584396721,7,0
1584397321,3,0
1584398522,52,44
1584399721,15,0
1584400921,10,28
1584401521,6,0
1584402121,11,9
1584403321,12,22
1584404522,9,59
1584405121,0,13
1584406321,1,52
1584406921,3,0
1584408122,2,35
1584409321,9,5
1584410521,0,4
1584411722,18,66
1584412322,1,0
1584414121,12,27
1584414721,2,3
1584415921,12,12
1584417121,16,50
1584418321,9,31
1584418922,4,0
1584419521,15,19
1584420121,12,30
1584421322,16,14
1584421921,4,17
1584422522,2,34
1584423722,19,14
1584424921,25,0
1584425521,7,10
1584426721,6,16
1584427321,8,14
1584428521,4,0
1584429121,15,33
1584430322,22,0
1584431521,23,19
1584433322,14,57
1584433921,8,0
1584435122,5,19
1584435722,2,2
1584436322,11,0
1584436921,1,13
1584437521,10,15
1584438121,5,11
1584439921,26,2
1584440521,0,7
1584442321,12,12
1584442922,12,5
1584443521,1,12
1584444121,2,0
1584444721,5,2
1584445922,5,9
1584446521,7,1
1584447721,10,10
1584448921,4,4
1584449521,2,0
1584450121,3,19
1584451921,11,0
1584452521,8,2
1584453121,4,0
1584453721,7,6
1584454321,2,0
1584454922,0,5
1584455522,4,16
1584456121,4,0
1584456721,0,10
1584457321,15,0
1584457921,12,6
1584458521,17,4
1584459122,9,5
1584459721,17,14
1584460321,6,0
1584460921,9,4
1584462121,7,3
1584463321,6,3
1584463922,12,6
1584464521,1,4
1584465721,11,2
1584466321,1,0
1584466921,1,2
1584468122,9,15
1584468721,5,0
1584469321,1,0
1584469922,15,8
1584470521,15,0
1584471121,8,8
1584471721,9,3
1584472921,18,1
1584473521,0,11
1584474121,11,0
1584474721,2,10
1584475321,13,0
1584476521,29,21
1584477121,5,8
1584478322,12,17
1584479521,10,5
1584480121,1,0
1584480721,16,4
1584481322,14,8
1584482522,15,13
1584483722,27,9
1584484322,2,15
1584484921,5,54
1584486721,23,20
1584487321,8,0
1584487921,15,11
1584488521,14,26
1584489722,22,0
1584490321,25,21
1584491521,17,9
1584492721,22,0
1584493321,7,3
1584493921,18,7
1584494521,9,0
1584495121,7,10
1584495722,3,0
1584496321,0,1
1584496921,7,11
1584498121,3,0
1584499322,5,20
1584499921,9,0
1584501122,13,5
1584501721,11,10
1584503521,15,8
1584504121,12,17
1584504721,15,0
1584505321,6,7
1584505921,9,7
1584507121,14,21
1584507721,20,0
1584508321,11,2
1584508921,15,6
1584509521,6,13
1584510121,8,14
1584511321,14,11
1584511921,18,0
1584513121,17,6
1584513721,4,11
1584514921,13,10
1584516121,7,9
1584516721,14,0
1584517321,6,8
1584518521,19,19
1584519121,17,0
1584520921,12,10
1584521521,9,0
1584522721,22,15
1584523322,4,4
1584523921,5,0
1584524521,12,3
1584525121,3,0
1584526321,22,18
1584527522,13,17
1584528121,3,0
1584529922,17,11
1584530522,1,9
