DateTime,Entries,UniqueIPs
1584041521,4733,4890
1584042121,4728,4885
1584043321,4726,4883
1584043921,4729,4886
1584045121,4724,4881
1584045721,4725,4882
1584046321,4721,4877
1584047522,4720,4875
1584049321,4721,4876
1584049921,4720,4875
1584050522,4721,4876
1584051122,4717,4872
1584051721,4716,4871
1584052921,4714,4868
1584054722,4712,4866
1584055321,4715,4869
1584056521,4720,4874
1584057721,4721,4875
1584058921,4721,4875
1584060122,4720,4874
1584061321,4719,4873
1584063121,4713,4865
1584063722,4715,4867
1584064921,4703,4855
1584065521,4703,4855
1584066121,4700,4852
1584067321,4692,4844
1584068522,4694,4846
1584069722,4692,4844
1584070921,4686,4838
1584072721,4676,4828
1584073321,4677,4829
1584073921,4675,4826
1584075121,4674,4825
1584076321,4610,4761
1584077521,4605,4756
1584078122,4605,4756
1584079921,4605,4755
1584080521,4603,4753
1584081721,4601,4751
1584082921,4589,4739
1584084121,4584,4734
1584085321,4586,4736
1584086521,4577,4727
1584088922,4574,4724
1584089521,4573,4722
1584090121,4570,4719
1584091321,4562,4711
1584092521,4566,4715
1584093721,4563,4712
1584094322,4566,4716
1584096122,4560,4710
1584097322,4556,4706
1584098521,4550,4700
1584099721,4550,4700
1584100921,4550,4700
1584102121,4551,4701
1584102722,4547,4697
1584103321,4550,4700
1584103921,4550,4700
1584104522,4551,4701
1584105721,4550,4700
1584106921,4551,4701
1584107521,4554,4705
1584108721,4558,4709
1584109322,4559,4710
1584109921,4560,4711
1584110521,4556,4707
1584111721,4557,4707
1584112921,4556,4706
1584114121,4560,4710
1584114721,4554,4704
1584115321,4556,4706
1584115921,4551,4701
1584116521,4549,4699
1584118321,4543,4693
1584118922,4541,4691
1584120121,4538,4688
1584120721,4538,4688
1584121921,4535,4685
1584122521,4537,4687
1584123721,4535,4685
1584124321,4540,4690
1584125521,4542,4692
1584126121,4537,4687
1584126721,4538,4688
1584127322,4537,4687
1584129121,4538,4688
1584129721,4537,4687
1584130921,4535,4685
1584132122,4534,4684
1584132722,4530,4680
1584133321,4531,4681
1584133921,4529,4679
1584135121,4527,4677
1584135721,4524,4674
1584136921,4517,4667
1584137521,4517,4668
1584138122,4506,4656
1584139921,4498,4648
1584141121,4497,4646
1584142321,4493,4642
1584143521,4488,4637
1584144122,4489,4638
1584144722,4467,4614
1584147721,4467,4614
1584148921,4449,4596
1584150121,4443,4590
1584151322,4438,4585
1584152521,4431,4578
1584153721,4438,4585
1584154321,4427,4573
1584155521,4429,4575
1584156121,4422,4567
1584157321,4418,4562
1584158522,4414,4558
1584159721,4401,4546
1584160921,4397,4542
1584163322,4377,4521
1584163922,4371,4515
1584165721,4366,4510
1584166921,4359,4503
1584168121,4352,4495
1584168721,4353,4496
1584169321,4341,4484
1584170522,4342,4485
1584171721,4341,4484
1584172921,4339,4481
1584173522,4338,4480
1584174721,4333,4475
1584175921,4330,4472
1584176521,4322,4464
1584177121,4314,4456
1584177721,4315,4457
1584178321,4311,4453
1584178921,4309,4451
1584179521,4310,4453
1584180121,4308,4451
1584181321,4307,4450
1584183122,4304,4446
1584183721,4307,4449
1584185521,4308,4450
1584186121,4306,4447
1584187321,4307,4448
1584187921,4306,4447
1584188521,4310,4451
1584189121,4310,4451
1584191521,4306,4447
1584192121,4299,4440
1584193321,4301,4442
1584193921,4301,4442
1584195721,4297,4438
1584196321,4295,4436
1584197521,4298,4439
1584198121,4297,4438
1584198721,4295,4436
1584199921,4293,4434
1584200521,4291,4432
1584202321,4290,4431
1584202921,4287,4428
1584203521,4285,4426
1584204722,4287,4428
1584205321,4288,4429
1584206521,4290,4431
1584207121,4288,4429
1584208921,4289,4430
1584209521,4288,4429
1584210121,4284,4425
1584211321,4283,4424
1584212522,4284,4425
1584213721,4286,4427
1584214321,4286,4427
1584214922,4283,4424
1584216122,4238,4379
1584217321,4238,4379
1584218521,4240,4381
1584219121,4238,4379
1584219721,4239,4380
1584220922,4239,4380
1584222121,4236,4377
1584222721,4234,4375
1584224521,4235,4376
1584225721,4234,4375
1584226921,4237,4378
1584227521,4234,4375
1584228121,4236,4377
1584228721,4232,4373
1584229921,4232,4373
1584231122,4233,4374
