DateTime,AddedIPs,RemovedIPs
1584115921,8,8
1584116521,21,21
1584117121,15,15
1584118321,15,15
1584118922,9,9
1584119521,12,12
1584120121,7,7
1584120721,22,22
1584121921,79,79
1584122521,42,42
1584123721,74,74
1584124321,44,44
1584125521,89,89
1584126121,58,58
1584126721,44,44
1584127322,15,15
1584127921,40,40
1584129121,66,66
1584129721,32,32
1584130921,59,59
1584131522,39,39
1584132122,22,22
1584132722,40,40
1584133321,69,69
1584133921,41,41
1584134521,36,36
1584135121,16,16
1584135721,10,10
1584136921,42,42
1584137521,48,48
1584138122,25,25
1584139921,71,71
1584140521,58,58
1584141121,27,27
1584142321,38,38
1584143521,70,70
1584144122,76,76
1584144722,39,39
1584145921,56,56
1584146521,11,11
1584147721,52,52
1584148921,61,61
1584150121,84,84
1584151322,62,62
1584152521,77,77
1584153121,40,40
1584153721,71,71
1584154321,6,6
1584155521,87,87
1584156121,46,46
1584156721,46,46
1584157321,65,65
1584158522,86,86
1584159721,62,62
1584160921,39,39
1584162121,53,53
1584163322,78,78
1584163922,21,21
1584164521,41,41
1584165721,82,82
1584166921,36,36
1584168121,26,26
1584168721,31,31
1584169321,17,17
1584170522,95,95
1584171721,85,85
1584172921,89,89
1584173522,55,55
1584174721,69,69
1584175921,89,89
1584176521,24,24
1584177121,59,59
1584177721,27,27
1584178321,39,39
1584178921,54,54
1584179521,62,62
1584180121,77,77
1584180721,15,15
1584181321,20,20
1584181921,57,57
1584183122,93,93
1584183721,40,40
1584185521,95,95
1584186121,25,25
1584187321,96,96
1584187921,25,25
1584188521,59,59
1584189121,50,50
1584189721,20,20
1584190322,58,58
1584191521,62,62
1584192121,9,9
1584193321,62,62
1584193921,18,18
1584194521,17,17
1584195721,32,32
1584196321,6,6
1584197521,56,56
1584198121,30,30
1584198721,32,32
1584199921,59,59
1584200521,22,22
1584202321,84,84
1584202921,23,23
1584203521,5,5
1584204722,78,78
1584205321,39,39
1584206521,49,49
1584207121,17,17
1584207721,38,38
1584208921,48,48
1584209521,43,43
1584210121,40,40
1584211321,79,79
1584211922,10,10
1584212522,63,63
1584213721,68,68
1584214321,35,35
1584214922,65,65
1584216122,81,81
1584217321,56,56
1584217921,15,15
1584218521,53,53
1584219121,16,16
1584219721,48,48
1584220922,67,67
1584222121,44,44
1584222721,11,11
1584224521,89,89
1584225721,83,83
1584226921,93,93
1584227521,29,29
1584228121,65,65
1584228721,54,54
1584229921,96,96
1584230521,38,38
1584231122,16,16
1584231721,72,72
1584232322,61,61
1584232921,22,22
1584234121,45,45
1584235321,51,51
1584235921,71,71
1584236521,23,23
1584237121,24,24
1584238321,49,49
1584238921,14,14
1584239521,65,65
1584240121,18,18
1584241321,68,68
1584241922,14,14
1584242521,48,48
1584243721,94,94
1584244321,51,51
1584244922,21,21
1584246121,68,68
1584247321,83,83
1584248521,88,88
1584249721,89,89
1584250921,70,70
1584252121,59,59
1584252721,49,49
1584253921,53,53
1584254521,23,23
1584255721,88,88
1584256921,40,40
1584257521,20,20
1584258121,57,57
1584258721,53,53
1584260521,98,98
1584261121,30,30
1584262321,89,89
1584262921,30,30
1584263522,30,30
1584264121,17,17
1584264721,50,50
1584265321,27,27
1584265921,17,17
1584266521,57,57
1584267722,19,19
1584268321,33,33
1584269521,43,43
1584270121,10,10
1584270721,42,42
1584271922,19,19
1584272521,29,29
1584274321,50,50
1584274921,7,7
1584275521,30,30
1584276121,10,10
1584276721,21,21
1584277321,3,3
1584277921,22,22
1584278521,39,39
1584279121,11,11
1584279721,5,5
1584280921,47,47
1584281521,41,41
1584282121,22,22
1584282721,45,45
1584283321,31,31
1584283921,56,56
1584284521,62,62
1584285121,34,34
1584286321,57,57
1584286921,60,60
1584287522,57,57
1584288122,65,65
1584288721,27,27
1584289321,96,96
1584289921,49,49
1584290521,28,28
1584291121,21,21
1584291721,16,16
1584292921,89,89
1584294121,99,99
1584295321,99,99
1584295921,59,59
1584297121,80,80
1584298321,77,77
1584298922,61,61
1584300121,93,93
1584300721,67,67
1584301321,55,55
1584301921,35,35
