DateTime,AddedIPs,RemovedIPs
1581098575,0,1
1581102175,1,0
1581105775,2,0
1581112975,1,0
1581116575,0,1
1581120175,1,0
1581123775,0,1
1581134575,0,4
1581138175,1,1
1581145375,1,0
1581152576,1,0
1581156175,1,0
1581159776,1,1
1581170576,0,1
1581174176,1,0
1581177776,0,1
1581181436,0,1
1581184976,5,0
1581188576,4,0
1581192176,0,2
1581202976,1,0
1581206576,1,1
1581210176,2,0
1581213776,0,2
1581224576,1,1
1581231776,2,1
1581242576,1,0
1581249776,1,0
1581264177,0,1
1581267777,1,0
1581271377,2,1
1581274977,1,0
1581278577,2,4
1581282177,1,1
1581289377,1,3
1581292977,1,62
1581303777,0,2
1581307377,0,1
1581314577,1,1
1581318177,1,0
1581328978,0,1
1581332578,1,0
1581350578,2,1
1581357778,0,1
1581361378,1,0
1581364978,0,1
1581379378,0,1
1581390178,0,1
1581393778,58,0
1581400978,0,1
1581411779,2,1
1581415379,0,1
1581418980,7,1
1581422579,1,1
1581426179,0,1
1581429779,1,0
1581444179,1,0
1581454982,1,2
1581462179,0,2
1581465779,1,0
1581469381,0,1
1581487380,1,0
1581505381,0,2
1581512580,0,1
1581530580,2,2
1581537781,0,1
1581544981,1,0
1581548580,1,0
1581555780,1,0
1581562980,1,1
1581570181,0,1
1581577381,1,0
1581580981,0,1
1581602581,0,2
1581606181,0,2
1581616981,1,1
1581620581,0,1
1581631381,0,1
1581634982,1,0
1581638582,0,2
1581642182,2,0
1581652982,0,2
1581656582,1,0
1581660182,0,2
1581666662,0,3
1581681782,1,1
1581699783,0,15
1581703382,2,2
1581706983,1,0
1581710584,1,1
1581724984,0,2
1581732184,1,5
1581735783,0,1
1581742984,0,1
1581746584,1,1
1581750184,3,0
1581753784,1,0
1581764585,1,0
1581771784,2,0
1581778984,1,1
1581789724,1,0
1581793385,1,1
1581796984,1,5
1581800524,1,0
1581804185,1,1
1581807785,53,1
1581811385,120,0
1581814984,26,8
1581818585,1,0
1581822185,20,0
1581825724,1,11
1581836585,1,0
1581843784,0,1
1581847385,56,0
1581850985,1,0
1581858186,1,0
1581861786,0,2
1581872525,0,1
1581879786,1,0
1581886985,2,0
1581897786,1,0
1581904986,2,2
1581908585,1,1
1581919387,1,1
1581930186,0,1
1581937386,1,0
1581948187,1,0
1581951787,0,1
1581969788,1,0
1581973386,1,2
1581976986,0,1
1581980587,1,0
1581991387,1,0
1581994986,1,2
1582005787,0,1
1582009388,0,2
1582023788,0,1
1582034528,2,0
1582048928,1,0
1582052587,1,0
1582056188,1,0
1582081388,0,1
1582088588,1,0
1582092128,1,1
1582102988,1,0
1582106588,1,0
1582113728,1,1
1582117329,0,3
1582124528,0,1
1582128190,0,2
1582135388,0,4
1582138988,1,0
1582146188,2,0
1582149788,0,1
1582156989,2,1
1582164189,1,1
1582167789,2,0
1582171389,0,1
1582189329,0,1
1582192989,1,1
1582196589,3,0
1582200189,1,0
1582210989,1,0
1582214589,0,1
1582218189,0,1
1582221789,1,0
1582228990,2,0
1582236190,1,1
1582239790,0,1
1582243390,0,1
1582250590,1,0
1582257790,0,2
1582261390,0,20
1582261930,1,0
1582282991,2,1
1582311731,0,2
1582322593,4,0
1582326191,1,0
1582329792,1,0
1582333392,1,0
1582340591,0,1
1582358531,0,1
1582369393,1,0
1582372991,1,0
1582383793,0,1
1582387333,1,1
1582390992,1,0
1582398192,1,0
1582401732,0,1
1582408993,18,5
1582412532,1,0
1582416134,2,0
1582430592,2,0
1582437793,1,12
1582441393,0,3
1582444992,3,2
1582448593,1,0
