DateTime,AddedIPs,RemovedIPs
1580301181,5,0
1580304781,2,0
1580311981,5,0
1580315582,5,0
1580319181,3,0
1580322781,3,0
1580326381,1,0
1580329982,1,0
1580333581,3,0
1580337181,4,0
1580340781,2,0
1580344381,1,0
1580351581,2,0
1580355181,2,0
1580362381,3,0
1580365981,2,0
1580369581,2,0
1580373181,3,0
1580376781,3,0
1580380381,3,0
1580383982,2,0
1580391181,1,0
1580394782,1,0
1580401982,1,0
1580409181,2,0
1580412782,1,0
1580416382,3,0
1580419982,5,0
1580423581,1,0
1580427181,2,0
1580430781,2,0
1580437981,3,0
1580445182,1,0
1580448781,3,0
1580455981,1,0
1580459582,2,0
1580463181,2,0
1580466782,1,0
1580473982,1,0
1580477581,2,0
1580481182,1,0
1580484782,2,0
1580491981,1,0
1580499181,1,0
1580506382,1,0
1580509982,2,0
1580513582,4,0
1580517181,1,0
1580520781,1,0
1580524382,1,0
1580531581,1,0
1580535182,1,0
1580542381,4,0
1580549581,1,0
1580553182,1,0
1580556781,1,0
1580560381,2,0
1580563982,1,0
1580574781,1,0
1580578381,1,0
1580581982,1,0
1580585581,2,0
1580589181,2,0
1580592781,2,0
1580596382,2,0
1580599981,1,0
1580610781,2,0
1580617982,1,0
1580621581,1,0
1580625181,1,0
1580632381,3,0
1580639581,4,0
1580646781,1,0
1580650381,2,0
1580653981,2,0
1580661182,2,0
1580664781,2,0
1580671982,1,0
1580675581,2,0
1580679181,3,0
1580682781,4,0
1580686382,1,0
1580697182,1,0
1580715181,2,0
1580725981,1,0
1580736782,4,0
1580740381,2,0
1580751182,1,0
1580761981,1,0
1580787182,1,0
1580801581,1,0
1580805181,1,0
1580808782,3,0
1580815981,3,0
1580819581,2,0
1580823182,1,0
1580826781,1,0
1580833981,1,0
1580844781,1,0
1580848381,2,0
1580855582,2,0
1580862781,1,0
1580877181,2,0
1580887981,1,0
1580891581,2,0
1580909581,1,0
1580916781,1,0
1580923982,1,0
1580927581,2,0
1580974381,2,0
1580985181,1,0
1580988782,1,0
1581024781,1,0
1581057182,2,0
1581060781,1,0
1581067981,3,0
1581071581,1,0
1581075181,1,0
1581078781,1,0
1581093181,4,0
1581096782,3,0
1581111181,2,0
1581121981,1,0
1581132781,1,0
1581161581,1,0
1581165181,1,0
1581172381,1,0
1581183181,1,0
1581208382,1,0
1581222781,2,0
1581240782,1,0
1581258782,1,0
1581294782,8,0
1581298382,1,0
1581305581,1,0
1581316382,2,0
1581330781,1,0
1581359581,5,0
1581363181,2,0
1581366782,1,0
1581370381,1,0
1581373982,1,0
1581377581,1,0
1581402782,1,0
1581413581,4,0
1581417182,2,0
1581424382,4,0
1581427981,8,0
1581435181,2,0
1581453181,1,0
1581456781,1,0
1581463982,2,0
1581467581,1,0
1581474782,1,0
1581478382,2,0
1581492781,1,0
1581499982,3,0
1581510782,1,0
1581532382,5,0
1581539581,1,0
1581543182,1,0
1581546782,4,0
1581553981,1,0
1581579181,2,0
1581589981,2,0
1581593581,1,0
1581600782,1,0
1581622381,1,0
1581647582,2,0
1581676381,1,0
1581679981,1,0
1581694382,1,0
1581708781,1,0
1581715981,1,0
1581719581,1,0
1581726781,2,0
1581730382,1,0
1581737581,1,0
1581741182,1,0
1581744781,2,0
1581755581,1,0
1581769982,1,0
1581780782,1,0
1581791581,5,0
1581798781,1,0
1581816781,2,0
1581820382,1,0
1581831181,1,0
1581838382,1,0
1581845581,5,0
1581849182,2,0
1581852781,1,0
1581863581,1,0
1581870781,1,0
1581874382,1,0
1581895981,1,0
1581910381,1,0
1581924781,1,0
1581939181,1,0
1581942782,1,0
1581953582,2,0
1581960781,1,0
1581964381,5,0
1581967981,2,0
1581971581,2,0
1581975182,1,0
1581982381,3,0
1581985981,1,0
1581989581,3,0
1581996781,2,0
1582000381,2,0
1582007582,3,0
1582021982,1,0
1582036381,2,0
1582047181,1,0
1582054381,1,0
1582072382,1,0
1582083182,2,0
1582086781,2,0
1582093982,1,0
1582097582,1,0
1582101182,3,0
1582104782,2,0
1582115581,1,0
1582119181,2,0
1582122781,1,0
1582126382,2,0
1582129981,2,0
1582133582,2,0
1582137181,2,0
1582140781,1,0
1582147981,1,0
1582151581,1,0
1582158781,1,0
1582162381,3,0
1582173181,1,0
1582176781,2,0
1582183981,1,0
1582187581,2,0
1582194782,1,0
1582198381,1,0
1582205581,2,0
1582212781,2,0
1582219982,1,0
1582227182,1,0
1582230781,2,0
1582234381,3,0
1582237981,2,0
1582248782,2,0
1582259581,1,0
1582263181,2,0
1582266782,1,0
1582270382,3,0
1582273982,2,0
1582277581,2,0
1582288381,3,0
1582291982,5,0
1582295582,2,0
1582299181,2,0
1582302781,1,0
1582317181,1,0
1582320781,2,0
1582324381,1,0
1582327981,1,0
1582331581,1,0
1582342382,1,0
1582345981,1,0
1582353181,1,0
1582356781,5,0
1582360381,1,0
1582363982,1,0
1582367581,1,0
1582378381,2,0
1582381981,1,0
1582385581,2,0
1582389181,1,0
